João Almeida,UAE Team Emirates,357,24
Sergio Higuita,BORA - hansgrohe,290,20
Daniel Felipe Martínez,INEOS Grenadiers,572,18
Jai Hindley,BORA - hansgrohe,347,16
Thymen Arensman,INEOS Grenadiers,156,14
Thomas Pidcock,INEOS Grenadiers,495,14
Rui Costa,Intermarché - Circus - Wanty,417,14
Filippo Ganna,INEOS Grenadiers,607,12
Fabio Jakobsen,Soudal - Quick Step,139,12
Quinten Hermans,Alpecin-Deceuninck,0,10
Jordi Meeus,BORA - hansgrohe,354,10
Magnus Cort,EF Education-EasyPost,689,10
Mark Padun,EF Education-EasyPost,48,10
Frederico Figueiredo,Glassdrive Q8 Anicolor,0,10
Mauricio Moreira,Glassdrive Q8 Anicolor,0,10
Stefan Küng,Groupama - FDJ,324,10
Valentin Madouas,Groupama - FDJ,208,10
Tobias Foss,Jumbo-Visma,416,10
Ilan Van Wilder,Soudal - Quick Step,664,10
Warren Barguil,Team Arkéa Samsic,49,10
Hugo Hofstetter,Team Arkéa Samsic,23,10
Matis Louvel,Team Arkéa Samsic,5,10
Bauke Mollema,Trek - Segafredo,310,10
Edward Theuns,Trek - Segafredo,103,10
Marc Hirschi,UAE Team Emirates,0,10
Matteo Trentin,UAE Team Emirates,48,10
Anthon Charmig,Uno-X Pro Cycling Team,112,10
Tobias Halland Johannessen,Uno-X Pro Cycling Team,16,10
Alexander Kristoff,Uno-X Pro Cycling Team,251,10
Nicola Conci,Alpecin-Deceuninck,150,8
Eduard Prades,Caja Rural - Seguros RGA,2,8
Stefan Bissegger,EF Education-EasyPost,77,8
Paul Penhoët,Groupama - FDJ,206,8
Jake Stewart,Groupama - FDJ,0,8
Michał Kwiatkowski,INEOS Grenadiers,60,8
Kobe Goossens,Intermarché - Circus - Wanty,120,8
Mike Teunissen,Intermarché - Circus - Wanty,23,8
Sam Oomen,Jumbo-Visma,4,8
Luís Fernandes,Rádio Popular - Paredes - Boavista,0,8
Kasper Asgreen,Soudal - Quick Step,125,8
Rémi Cavagna,Soudal - Quick Step,227,8
Casper Pedersen,Soudal - Quick Step,16,8
João Matias,Tavfer-Mortágua-Ovos Matinados,20,8
John Degenkolb,Team DSM,0,8
Natnael Tesfatsion,Trek - Segafredo,95,8
Alexander Kamp,Tudor Pro Cycling Team,24,8
Sébastien Reichenbach,Tudor Pro Cycling Team,82,8
Rasmus Tiller,Uno-X Pro Cycling Team,16,8
Afonso Eulálio,ABTF Betão - Feirense,0,6
Tobias Bayer,Alpecin-Deceuninck,4,6
Jimmy Janssens,Alpecin-Deceuninck,0,6
Timo Kielich,Alpecin-Deceuninck,73,6
Xandro Meurisse,Alpecin-Deceuninck,0,6
Kristian Sbaragli,Alpecin-Deceuninck,0,6
Tomas Contte,Aviludo - Louletano - Loulé Concelho,12,6
Jesus Del Pino,Aviludo - Louletano - Loulé Concelho,0,6
César Martingil,Aviludo - Louletano - Loulé Concelho,0,6
Carlos Iván Oyarzún,Aviludo - Louletano - Loulé Concelho,0,6
Marco Haller,BORA - hansgrohe,42,6
Jonas Koch,BORA - hansgrohe,42,6
Nils Politt,BORA - hansgrohe,82,6
Frederik Wandahl,BORA - hansgrohe,108,6
Daniel Babor,Caja Rural - Seguros RGA,2,6
Yesid Albeiro Pira,Caja Rural - Seguros RGA,2,6
Gonçalo Leaça,Credibom / LA Aluminios / Marcos Car,0,6
Owain Doull,EF Education-EasyPost,48,6
Odd Christian Eiking,EF Education-EasyPost,78,6
Merhawi Kudus,EF Education-EasyPost,119,6
Julius Van Den Berg,EF Education-EasyPost,38,6
Tiago Antunes,Efapel Cycling,0,6
Henrique Casimiro,Efapel Cycling,0,6
Emanuel Duarte,Efapel Cycling,0,6
Joaquim Silva,Efapel Cycling,0,6
Fábio Costa,Glassdrive Q8 Anicolor,10,6
Luís Mendonça,Glassdrive Q8 Anicolor,35,6
Lewis Askey,Groupama - FDJ,42,6
Olivier Le Gac,Groupama - FDJ,0,6
Miles Scotson,Groupama - FDJ,0,6
Matthew Gibson,Human Powered Health,10,6
Sasha Weemaes,Human Powered Health,0,6
Jonathan Castroviejo,INEOS Grenadiers,103,6
Laurens De Plus,INEOS Grenadiers,68,6
Rune Herregodts,Intermarché - Circus - Wanty,158,6
Madis Mihkels,Intermarché - Circus - Wanty,46,6
Luís Gomes,Kelly / Simoldes / UDO,0,6
Hélder Gonçalves,Kelly / Simoldes / UDO,0,6
César Fonte,Rádio Popular - Paredes - Boavista,0,6
Hugo Nunes,Rádio Popular - Paredes - Boavista,0,6
Michael Mørkøv,Soudal - Quick Step,16,6
António Barbio,Tavfer-Mortágua-Ovos Matinados,0,6
Élie Gesbert,Team Arkéa Samsic,2,6
Thibault Guernalec,Team Arkéa Samsic,0,6
Simon Guglielmi,Team Arkéa Samsic,5,6
Oscar Onley,Team DSM,168,6
Casper Van Uden,Team DSM,0,6
Kevin Vermaerke,Team DSM,147,6
Filippo Baroncini,Trek - Segafredo,11,6
Tony Gallopin,Trek - Segafredo,11,6
Jacopo Mosca,Trek - Segafredo,11,6
Mathias Vacek,Trek - Segafredo,52,6
Tom Bohli,Tudor Pro Cycling Team,2,6
Joel Suter,Tudor Pro Cycling Team,0,6
Finn Fisher-Black,UAE Team Emirates,57,6
Ivo Oliveira,UAE Team Emirates,6,6
Rui Oliveira,UAE Team Emirates,81,6
Anders Skaarseth,Uno-X Pro Cycling Team,16,6
Søren Wærenskjold,Uno-X Pro Cycling Team,140,6
Pedro Andrade,ABTF Betão - Feirense,10,4
Santiago Mesa,ABTF Betão - Feirense,0,4
Barry Miller,ABTF Betão - Feirense,0,4
Francisco Moreira,ABTF Betão - Feirense,0,4
Fábio Oliveira,ABTF Betão - Feirense,0,4
Ivo Pinheiro,ABTF Betão - Feirense,0,4
Diogo Barbosa,APHotels and Resorts - Tavira,0,4
Samuel Blanco,APHotels and Resorts - Tavira,0,4
Venceslau Fernandes,APHotels and Resorts - Tavira,0,4
Rafael Lourenço,APHotels and Resorts - Tavira,79,4
Valter Pereira,APHotels and Resorts - Tavira,0,4
Carlos Salgueiro,APHotels and Resorts - Tavira,0,4
Rúben Simão,APHotels and Resorts - Tavira,0,4
Nahuel D'Aquila,Aviludo - Louletano - Loulé Concelho,0,4
Nuno Meireles,Aviludo - Louletano - Loulé Concelho,0,4
Daniel Viegas,Aviludo - Louletano - Loulé Concelho,10,4
Jon Barrenetxea,Caja Rural - Seguros RGA,2,4
Iúri Leitão,Caja Rural - Seguros RGA,2,4
Sergio Roman Martín,Caja Rural - Seguros RGA,2,4
Michal Schlegel,Caja Rural - Seguros RGA,2,4
Rodrigo Caixas,Credibom / LA Aluminios / Marcos Car,0,4
Daniel Dias,Credibom / LA Aluminios / Marcos Car,0,4
João Macedo,Credibom / LA Aluminios / Marcos Car,0,4
João Medeiros,Credibom / LA Aluminios / Marcos Car,0,4
Diogo Narciso,Credibom / LA Aluminios / Marcos Car,0,4
André Ramalho,Credibom / LA Aluminios / Marcos Car,0,4
Gaspar Goncalves,Efapel Cycling,15,4
Alexander Grigoryev,Efapel Cycling,31,4
Rafael Silva,Efapel Cycling,0,4
Sergio García,Glassdrive Q8 Anicolor,15,4
Artem Nych,Glassdrive Q8 Anicolor,0,4
Pedro Silva,Glassdrive Q8 Anicolor,0,4
Kristian Aasvold,Human Powered Health,0,4
Charles-Étienne Chrétien,Human Powered Health,0,4
Chad Haga,Human Powered Health,0,4
Gage Hecht,Human Powered Health,0,4
Gijs Van Hoecke,Human Powered Health,0,4
Dries De Pooter,Intermarché - Circus - Wanty,8,4
Roel van Sintmaartensdijk,Intermarché - Circus - Wanty,23,4
Owen Geleijn,Jumbo-Visma,4,4
Milan Vader,Jumbo-Visma,5,4
Tim Van Dijke,Jumbo-Visma,45,4
Adrián Bustamante,Kelly / Simoldes / UDO,0,4
Noah Campos,Kelly / Simoldes / UDO,0,4
António Ferreira,Kelly / Simoldes / UDO,98,4
Afonso Silva,Kelly / Simoldes / UDO,0,4
José Sousa,Kelly / Simoldes / UDO,0,4
Guillermo Garcia,Rádio Popular - Paredes - Boavista,10,4
Vicente Hernaiz,Rádio Popular - Paredes - Boavista,0,4
Tiago Leal,Rádio Popular - Paredes - Boavista,0,4
Pedro Miguel Lopes,Rádio Popular - Paredes - Boavista,0,4
Tim Declercq,Soudal - Quick Step,16,4
Gonçalo Amado,Tavfer-Mortágua-Ovos Matinados,10,4
Rui Carvalho,Tavfer-Mortágua-Ovos Matinados,0,4
Leangel Linarez,Tavfer-Mortágua-Ovos Matinados,0,4
Francisco Morais,Tavfer-Mortágua-Ovos Matinados,0,4
Nicolas Saenz,Tavfer-Mortágua-Ovos Matinados,0,4
Łukasz Owsian,Team Arkéa Samsic,0,4
Pavel Bittner,Team DSM,98,4
Nils Eekhoff,Team DSM,0,4
Jonas Iversby Hvideberg,Team DSM,0,4
Aloïs Charrin,Tudor Pro Cycling Team,0,4
Petr Kelemen,Tudor Pro Cycling Team,0,4
Simon Pellaud,Tudor Pro Cycling Team,0,4
Erik Nordsæter Resell,Uno-X Pro Cycling Team,16,4
