Santiago Buitrago,Bahrain - Victorious,436,24
Lenny Martinez,Bahrain - Victorious,376,20
Richard Carapaz,EF Education - EasyPost,174,20
Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,230,18
Paul Lapeira,Decathlon AG2R La Mondiale Team,2,16
Guillaume Martin,Groupama - FDJ,260,16
Dorian Godon,Decathlon AG2R La Mondiale Team,333,14
Alex Baudin,EF Education - EasyPost,0,14
Joseph Blackmore,Israel - Premier Tech,441,14
Ethan Vernon,Israel - Premier Tech,4,14
Jordan Jegat,Team TotalEnergies,110,14
Lorenzo Fortunato,XDS Astana Team,355,14
Edoardo Zambanini,Bahrain - Victorious,85,12
Pierre Gautherat,Decathlon AG2R La Mondiale Team,8,12
Victor Lafay,Decathlon AG2R La Mondiale Team,24,12
Andrea Vendrame,Decathlon AG2R La Mondiale Team,23,12
Clément Champoussin,XDS Astana Team,250,12
Ewen Costiou,Arkéa - B&B Hotels,115,10
Thibault Guernalec,Arkéa - B&B Hotels,0,10
Jefferson Alexander Cepeda,EF Education - EasyPost,121,10
Kevin Geniets,Groupama - FDJ,10,10
Rudy Molard,Groupama - FDJ,0,10
Quentin Pacher,Groupama - FDJ,40,10
Alec Segaert,Lotto,0,10
Mathieu Burgaudeau,Team TotalEnergies,0,10
Alexandre Delettre,Team TotalEnergies,15,10
Jack Haig,Bahrain - Victorious,168,8
Darren Rafferty,EF Education - EasyPost,5,8
Louis Barré,Intermarché - Wanty,277,8
Kamiel Bonneu,Intermarché - Wanty,12,8
Louis Meintjes,Intermarché - Wanty,12,8
Hugo Page,Intermarché - Wanty,12,8
Luca Van Boven,Intermarché - Wanty,2,8
Hugo Hofstetter,Israel - Premier Tech,4,8
Matis Louvel,Israel - Premier Tech,4,8
Krists Neilands,Israel - Premier Tech,4,8
Riley Sheehan,Israel - Premier Tech,85,8
Tom Van Asbroeck,Israel - Premier Tech,4,8
Jarno Widar,Lotto,240,8
Nicolas Breuillard,St Michel - Preference Home - Auber93,0,8
Thomas Champion,St Michel - Preference Home - Auber93,0,8
Mattéo Vercher,Team TotalEnergies,21,8
Odd Christian Eiking,Unibet Tietema Rockets,36,8
Nicola Conci,XDS Astana Team,268,8
Christian Scaroni,XDS Astana Team,578,8
Simon Guglielmi,Arkéa - B&B Hotels,0,6
Alessandro Verre,Arkéa - B&B Hotels,0,6
Edoardo Zamperini,Arkéa - B&B Hotels,91,6
Roman Ermakov,Bahrain - Victorious,60,6
Finlay Pickering,Bahrain - Victorious,60,6
Oliver Stockwell,Bahrain - Victorious,60,6
Ronan Augé,CIC U Nantes Atlantique,0,6
Maël Guégan,CIC U Nantes Atlantique,0,6
Similien Hamon,CIC U Nantes Atlantique,0,6
Clément Izquierdo,Cofidis,0,6
Sam Maisonobe,Cofidis,0,6
Anthony Perez,Cofidis,5,6
Sander De Pestel,Decathlon AG2R La Mondiale Team,25,6
Owain Doull,EF Education - EasyPost,5,6
Harry Sweeny,EF Education - EasyPost,140,6
Eddy Le Huitouze,Groupama - FDJ,0,6
Enzo Paleni,Groupama - FDJ,0,6
Alexy Faure Prost,Intermarché - Wanty,12,6
Simone Gualdi,Intermarché - Wanty,123,6
Henri Vandenabeele,Lotto,20,6
Damien Girard,Nice Métropole Côte d'Azur,0,6
Alexander Konijn,Nice Métropole Côte d'Azur,0,6
Andrea Mifsud,Nice Métropole Côte d'Azur,110,6
Lucas Beneteau,St Michel - Preference Home - Auber93,0,6
Dillon Corkery,St Michel - Preference Home - Auber93,4,6
Yohann Simon,St Michel - Preference Home - Auber93,0,6
Morné Van Niekerk,St Michel - Preference Home - Auber93,14,6
Samuel Leroux,Team TotalEnergies,0,6
Axel Huens,Unibet Tietema Rockets,0,6
Adrien Maire,Unibet Tietema Rockets,121,6
Sergio Meris,Unibet Tietema Rockets,84,6
Killian Verschuren,Unibet Tietema Rockets,36,6
Rémi Capron,Van Rysel - Roubaix,0,6
Maxime Jarnet,Van Rysel - Roubaix,0,6
Emmanuel Morin,Van Rysel - Roubaix,0,6
Pierre-Henry Basset,XDS Astana Team,50,6
Darren Van Bekkum,XDS Astana Team,62,6
Louis Rouland,Arkéa - B&B Hotels,0,4
Martin Tjøtta,Arkéa - B&B Hotels,75,4
Joris Chaussinand,CIC U Nantes Atlantique,0,4
Yaël Joalland,CIC U Nantes Atlantique,153,4
Matisse Julien,CIC U Nantes Atlantique,0,4
Lenaic Langella,CIC U Nantes Atlantique,0,4
Nolann Mahoudo,Cofidis,0,4
Paul Ourselin,Cofidis,0,4
Markel Beloki,EF Education - EasyPost,3,4
Niels Driesen,Lotto,0,4
Tars Poelvoorde,Lotto,0,4
Baptiste Veistroffer,Lotto,30,4
Andrei Carbunarea,Nice Métropole Côte d'Azur,0,4
Carter Guichard,Nice Métropole Côte d'Azur,0,4
Jaakko Hänninen,Nice Métropole Côte d'Azur,0,4
Axel Narbonne Zuccarelli,Nice Métropole Côte d'Azur,0,4
Théo Delacroix,St Michel - Preference Home - Auber93,0,4
Thomas Bonnet,Team TotalEnergies,0,4
Owen Geleijn,Unibet Tietema Rockets,0,4
Baptiste Huyet,Unibet Tietema Rockets,0,4
Daniel Årnes,Van Rysel - Roubaix,0,4
Célestin Guillon,Van Rysel - Roubaix,28,4
Maximilien Juillard,Van Rysel - Roubaix,0,4
Kenny Molly,Van Rysel - Roubaix,116,4
