Thomas Pidcock,Q36.5 Pro Cycling Team,811,24
Tim Merlier,Soudal Quick-Step,428,18
Eddie Dunbar,Team Jayco AlUla,238,18
Dylan Groenewegen,Team Jayco AlUla,396,16
Jordan Jegat,Team TotalEnergies,159,16
Arvid De Kleijn,Tudor Pro Cycling Team,64,16
Rafał Majka,UAE Team Emirates - XRG,72,16
Frank Van Den Broek,Team Picnic PostNL,220,14
Casper Van Uden,Team Picnic PostNL,25,14
Jonas Abrahamsen,Uno-X Mobility,69,14
Alexander Kristoff,Uno-X Mobility,150,14
Matteo Moschetti,Q36.5 Pro Cycling Team,417,12
Max Walscheid,Team Jayco AlUla,109,12
Fabio Jakobsen,Team Picnic PostNL,32,12
Yannis Voisard,Tudor Pro Cycling Team,129,12
Mikkel Bjerg,UAE Team Emirates - XRG,88,12
Juan Sebastián Molano,UAE Team Emirates - XRG,413,12
Fredrik Dversnes,Uno-X Mobility,482,12
Thomas Pesenti,Soudal Quick-Step,179,10
Luka Mezgec,Team Jayco AlUla,26,10
John Degenkolb,Team Picnic PostNL,15,10
Nils Eekhoff,Team Picnic PostNL,0,10
Ådne Holter,Uno-X Mobility,305,10
Pierre Barbier,Wagner Bazin WB,160,10
Ceriel Desal,Wagner Bazin WB,6,10
Yevgeniy Fedorov,XDS Astana Team,240,10
Alessandro Romele,XDS Astana Team,42,10
Alberto Bruttomesso,Bahrain - Victorious,202,8
Rainer Kepplinger,Bahrain - Victorious,521,8
Daniel Babor,Caja Rural - Seguros RGA,0,8
Abner González,Caja Rural - Seguros RGA,0,8
Iñigo Elosegui,Equipo Kern Pharma,50,8
Unai Iribar,Equipo Kern Pharma,128,8
Xabier Mikel Azparren,Q36.5 Pro Cycling Team,102,8
Emīls Liepiņš,Q36.5 Pro Cycling Team,52,8
Nicolò Parisini,Q36.5 Pro Cycling Team,42,8
Blake Quick,Roojai Insurance,0,8
Warre Vangheluwe,Soudal Quick-Step,18,8
Elmar Reinders,Team Jayco AlUla,26,8
Mathias Bregnhøj,Terengganu Cycling Team,141,8
Stefan De Bod,Terengganu Cycling Team,211,8
Metkel Eyob,Terengganu Cycling Team,0,8
Maikel Zijlaard,Tudor Pro Cycling Team,125,8
Ivo Oliveira,UAE Team Emirates - XRG,27,8
Adrià Pericas,UAE Team Emirates - XRG,22,8
Johannes Kulset,Uno-X Mobility,402,8
Sasha Weemaes,Wagner Bazin WB,93,8
Nicolò Buratti,Bahrain - Victorious,103,6
Žak Eržen,Bahrain - Victorious,52,6
Andrea Pasqualon,Bahrain - Victorious,52,6
Oliver Stockwell,Bahrain - Victorious,52,6
Max Van Der Meulen,Bahrain - Victorious,212,6
Sergi Darder,Caja Rural - Seguros RGA,26,6
Gorka Sorarrain,Caja Rural - Seguros RGA,0,6
Hugo Aznar,Equipo Kern Pharma,118,6
Marc Brustenga,Equipo Kern Pharma,145,6
Alessandro Fancellu,JCL Team UKYO,237,6
Yuma Koishi,JCL Team UKYO,20,6
Masaki Yamamoto,JCL Team UKYO,36,6
Frederik Frison,Q36.5 Pro Cycling Team,42,6
Nickolas Zukowsky,Q36.5 Pro Cycling Team,42,6
Dylan Hopkins,Roojai Insurance,0,6
Andreas Miltiadis,Roojai Insurance,22,6
Kane Richards,Roojai Insurance,20,6
Azzam Alabdulmunim,Saudi Arabia,10,6
Ayco Bastiaens,Soudal Quick-Step,18,6
Bert Van Lerberghe,Soudal Quick-Step,28,6
Jordi Warlop,Soudal Quick-Step,18,6
Patrick Gamper,Team Jayco AlUla,26,6
Enzo Leijnse,Team Picnic PostNL,0,6
Niklas Märkl,Team Picnic PostNL,0,6
Florian Dauphin,Team TotalEnergies,125,6
Joris Delbove,Team TotalEnergies,45,6
Samuel Leroux,Team TotalEnergies,5,6
Muhammad Nur Aiman Bin Rosli,Terengganu Cycling Team,45,6
Anže Ravbar,UAE Team Emirates - XRG,22,6
Gibbe Staes,UAE Team Emirates - XRG,8,6
Magnus Kulset,Uno-X Mobility,60,6
Rasmus Bøgh Wallin,Uno-X Mobility,65,6
Leander Van Hautegem,Wagner Bazin WB,19,6
Kenneth Van Rooy,Wagner Bazin WB,90,6
Pierre-Henry Basset,XDS Astana Team,12,6
Nicolas Vinokurov,XDS Astana Team,73,6
Jan Castellon,Caja Rural - Seguros RGA,0,4
Javier Ibañez,Caja Rural - Seguros RGA,15,4
Calum Johnston,Caja Rural - Seguros RGA,63,4
Ibai Azanza,Equipo Kern Pharma,25,4
Pablo Carrascosa,Equipo Kern Pharma,25,4
Diego Uriarte,Equipo Kern Pharma,171,4
Andrea D'Amato,JCL Team UKYO,38,4
Nicolò Garibbo,JCL Team UKYO,41,4
Marino Kobayashi,JCL Team UKYO,0,4
Simone Raccani,JCL Team UKYO,15,4
Patompob Phonarjthan,Roojai Insurance,0,4
Tanawat Saenta,Roojai Insurance,10,4
Kongphob Thimachai,Roojai Insurance,35,4
Ali Al-Jassas,Saudi Arabia,0,4
Ali Al-Shaikhahmed,Saudi Arabia,0,4
Jehad Alfairouz,Saudi Arabia,0,4
Jehad Alhassan,Saudi Arabia,0,4
Alhur Alkulaif,Saudi Arabia,10,4
Bader Almuhanna,Saudi Arabia,0,4
Jonathan Vervenne,Soudal Quick-Step,18,4
Alan Hatherly,Team Jayco AlUla,479,4
Lucas Boniface,Team TotalEnergies,13,4
Fabien Grellier,Team TotalEnergies,5,4
Nicola Marcerou,Team TotalEnergies,5,4
Muhammad Shahmir Aiman Abdul Halim,Terengganu Cycling Team,29,4
Aiman Cahyadi,Terengganu Cycling Team,0,4
Muhammad Haizam Mohd Shabri,Terengganu Cycling Team,0,4
Sebastian Kolze Changizi,Tudor Pro Cycling Team,34,4
