Thomas Pidcock,Q36.5 Pro Cycling Team,668,24
Enric Mas,Movistar Team,204,22
Maxim Van Gils,Red Bull - BORA - hansgrohe,764,20
Pavel Sivakov,UAE Team Emirates - XRG,789,16
Tim Wellens,UAE Team Emirates - XRG,545,16
Tobias Halland Johannessen,Uno-X Mobility,262,16
Axel Laurance,INEOS Grenadiers,49,14
Marc Soler,UAE Team Emirates - XRG,440,14
Clément Berthet,Decathlon AG2R La Mondiale Team,582,12
Ruben Guerreiro,Movistar Team,40,12
Nairo Quintana,Movistar Team,10,12
Damien Howson,Q36.5 Pro Cycling Team,12,12
Alan Hatherly,Team Jayco AlUla,0,12
Pierre Latour,Team TotalEnergies,24,12
Pablo Torres,UAE Team Emirates - XRG,64,12
Alexander Kristoff,Uno-X Mobility,165,12
Guillermo Thomas Silva,Caja Rural - Seguros RGA,230,10
Nicolas Prodhomme,Decathlon AG2R La Mondiale Team,254,10
José Félix Parra,Equipo Kern Pharma,65,10
Iván Ramiro Sosa,Equipo Kern Pharma,16,10
Brandon Smith Rivera,INEOS Grenadiers,137,10
Giovanni Aleotti,Red Bull - BORA - hansgrohe,130,10
Paul Double,Team Jayco AlUla,58,10
Igor Arrieta,UAE Team Emirates - XRG,220,10
Mario Aparicio,Burgos Burpellet BH,35,8
Fernando Barceló,Caja Rural - Seguros RGA,0,8
Stan Dewulf,Decathlon AG2R La Mondiale Team,112,8
Johannes Staune-Mittet,Decathlon AG2R La Mondiale Team,415,8
Unai Iribar,Equipo Kern Pharma,19,8
David Dekker,Euskaltel - Euskadi,0,8
Ben Turner,INEOS Grenadiers,217,8
Jon Barrenetxea,Movistar Team,254,8
Gonzalo Serrano,Movistar Team,0,8
Jonathan Klever Caicedo,Petrolike,0,8
Gianluca Brambilla,Q36.5 Pro Cycling Team,56,8
Emīls Liepiņš,Q36.5 Pro Cycling Team,62,8
Alexander Hajek,Red Bull - BORA - hansgrohe,14,8
Steff Cras,Team TotalEnergies,300,8
Thomas Gachignard,Team TotalEnergies,320,8
Giovanni Carboni,Unibet Tietema Rockets,202,8
Ådne Holter,Uno-X Mobility,40,8
Andreas Leknessund,Uno-X Mobility,248,8
Davide Persico,Wagner Bazin WB,0,8
Clément Alleno,Burgos Burpellet BH,0,6
José Manuel Díaz,Burgos Burpellet BH,167,6
Carlos García Pierna,Burgos Burpellet BH,5,6
Ander Okamika,Burgos Burpellet BH,41,6
Sergi Darder,Caja Rural - Seguros RGA,0,6
Jaume Guardeño,Caja Rural - Seguros RGA,2,6
Joel Nicolau,Caja Rural - Seguros RGA,40,6
Oliver Naesen,Decathlon AG2R La Mondiale Team,192,6
Callum Scotson,Decathlon AG2R La Mondiale Team,246,6
Jorge Gutiérrez,Equipo Kern Pharma,0,6
Victor De La Parte,Euskaltel - Euskadi,10,6
Jordi López,Euskaltel - Euskadi,0,6
Gotzon Martín,Euskaltel - Euskadi,5,6
Omar Fraile,INEOS Grenadiers,25,6
Connor Swift,INEOS Grenadiers,155,6
Jorge Arcas,Movistar Team,56,6
Gregor Mühlberger,Movistar Team,4,6
Cesar Macias,Petrolike,100,6
Lorenzo Peschi,Petrolike,24,6
Frederik Frison,Q36.5 Pro Cycling Team,14,6
David González,Q36.5 Pro Cycling Team,24,6
Nickolas Zukowsky,Q36.5 Pro Cycling Team,14,6
Emil Herzog,Red Bull - BORA - hansgrohe,14,6
Luke Tuckwell,Red Bull - BORA - hansgrohe,14,6
Elias Maris,Team Flanders - Baloise,0,6
Vincent Van Hemelen,Team Flanders - Baloise,0,6
Dylan Vandenstorme,Team Flanders - Baloise,0,6
Welay Berhe,Team Jayco AlUla,82,6
Anders Foldager,Team Jayco AlUla,115,6
Christopher Juul-Jensen,Team Jayco AlUla,0,6
Florian Dauphin,Team TotalEnergies,64,6
Geoffrey Soupe,Team TotalEnergies,4,6
Julius Johansen,UAE Team Emirates - XRG,84,6
Cedrik Bakke Christophersen,Unibet Tietema Rockets,0,6
Sebastian Nielsen,Unibet Tietema Rockets,0,6
Adam Ťoupalík,Unibet Tietema Rockets,0,6
Markus Hoelgaard,Uno-X Mobility,299,6
Floris De Tier,Wagner Bazin WB,50,6
Leander Van Hautegem,Wagner Bazin WB,10,6
David Delgado,Burgos Burpellet BH,10,4
David Martin,Burgos Burpellet BH,30,4
Sebastian Berwick,Caja Rural - Seguros RGA,90,4
Joseba López,Caja Rural - Seguros RGA,0,4
Jordan Labrosse,Decathlon AG2R La Mondiale Team,127,4
Pablo Carrascosa,Equipo Kern Pharma,0,4
Nil Gimeno,Equipo Kern Pharma,6,4
Diego Uriarte,Equipo Kern Pharma,195,4
Iker Mintegi,Euskaltel - Euskadi,25,4
Louis Sutton,Euskaltel - Euskadi,0,4
Danny Van Der Tuuk,Euskaltel - Euskadi,80,4
Edison Alejandro Callejas Santos,Petrolike,0,4
Lorenzo Galimberti,Petrolike,0,4
Carlos Alfonso Garcia,Petrolike,0,4
Andrii Ponomar,Petrolike,0,4
Lennart Jasch,Red Bull - BORA - hansgrohe,14,4
Toon Clynhens,Team Flanders - Baloise,10,4
Alex Colman,Team Flanders - Baloise,0,4
Siebe Deweirdt,Team Flanders - Baloise,10,4
Milan Lanhove,Team Flanders - Baloise,10,4
Jasha Sütterlin,Team Jayco AlUla,0,4
Alan Jousseaume,Team TotalEnergies,226,4
Nicola Marcerou,Team TotalEnergies,4,4
Zeb Kyffin,Unibet Tietema Rockets,10,4
Andreas Stokbro,Unibet Tietema Rockets,20,4
William Blume Levy,Uno-X Mobility,20,4
Anders Halland Johannessen,Uno-X Mobility,206,4
Jocelyn Baguelin,Wagner Bazin WB,0,4
Michiel Lambrecht,Wagner Bazin WB,0,4
Victor Papon,Wagner Bazin WB,0,4
Jelle Vermoote,Wagner Bazin WB,5,4
