Mathieu Van Der Poel,Alpecin-Deceuninck,47,24
Matej Mohorič,Bahrain - Victorious,205,20
Jasper Philipsen,Alpecin-Deceuninck,689,18
Filippo Ganna,INEOS Grenadiers,0,16
Arnaud De Lie,Lotto Dstny,385,16
Alberto Bettiol,Astana Qazaqstan Team,187,14
Magnus Sheffield,INEOS Grenadiers,212,14
Jonathan Milan,Lidl - Trek,450,14
Tim Merlier,Soudal - Quick Step,0,14
Ilan Van Wilder,Soudal - Quick Step,150,14
Olav Kooij,Team Visma | Lease a Bike,0,14
Tim Wellens,UAE Team Emirates,621,14
Maximilian Schachmann,BORA - hansgrohe,201,12
Axel Zingle,Cofidis,257,12
Benoît Cosnefroy,Decathlon AG2R La Mondiale Team,0,12
Valentin Madouas,Groupama - FDJ,201,12
Biniam Girmay,Intermarché - Wanty,0,12
Jasper Stuyven,Lidl - Trek,100,12
Yves Lampaert,Soudal - Quick Step,3,12
Dylan Groenewegen,Team Jayco AlUla,108,12
Tiesj Benoot,Team Visma | Lease a Bike,121,12
Christophe Laporte,Team Visma | Lease a Bike,537,12
Søren Kragh Andersen,Alpecin-Deceuninck,59,10
Arnaud Démare,Arkéa - B&B Hotels,90,10
Phil Bauhaus,Bahrain - Victorious,70,10
Sam Welsford,BORA - hansgrohe,15,10
Sam Bennett,Decathlon AG2R La Mondiale Team,15,10
Stefan Bissegger,EF Education-EasyPost,184,10
Mikkel Frølich Honoré,EF Education-EasyPost,56,10
Michael Valgren,EF Education-EasyPost,17,10
Paul Penhoët,Groupama - FDJ,298,10
Tobias Foss,INEOS Grenadiers,180,10
Mike Teunissen,Intermarché - Wanty,79,10
Gerben Thijssen,Intermarché - Wanty,171,10
Edward Theuns,Lidl - Trek,24,10
Florian Vermeersch,Lotto Dstny,29,10
Fernando Gaviria,Movistar Team,0,10
Fabio Jakobsen,Team dsm-firmenich PostNL,0,10
Matteo Trentin,Tudor Pro Cycling Team,262,10
Mikkel Bjerg,UAE Team Emirates,20,10
Nils Politt,UAE Team Emirates,20,10
Timo Kielich,Alpecin-Deceuninck,18,8
Matis Louvel,Arkéa - B&B Hotels,0,8
Max Kanter,Astana Qazaqstan Team,0,8
Andrea Pasqualon,Bahrain - Victorious,0,8
Fred Wright,Bahrain - Victorious,154,8
Matteo Sobrero,BORA - hansgrohe,0,8
Stan Dewulf,Decathlon AG2R La Mondiale Team,270,8
Pierre Gautherat,Decathlon AG2R La Mondiale Team,4,8
Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,107,8
Geraint Thomas,INEOS Grenadiers,24,8
Ben Turner,INEOS Grenadiers,284,8
Elia Viviani,INEOS Grenadiers,85,8
Laurenz Rex,Intermarché - Wanty,0,8
