Remco Evenepoel,Deceuninck - Quick Step,12,26
Kasper Asgreen,Deceuninck - Quick Step,302,20
Tom Dumoulin,Team Jumbo-Visma,380,20
Matej Mohorič,Bahrain - Victorious,802,18
Søren Kragh Andersen,Team DSM,68,18
Peter Sagan,BORA - hansgrohe,313,16
Mads Pedersen,Trek - Segafredo,265,16
Tim Merlier,Alpecin-Fenix,557,14
Geraint Thomas,INEOS Grenadiers,24,14
Caleb Ewan,Lotto Soudal,194,14
Tim Wellens,Lotto Soudal,332,14
Dylan Groenewegen,Team Jumbo-Visma,42,14
Jasper Stuyven,Trek - Segafredo,413,14
Jakob Fuglsang,Astana - Premier Tech,0,12
Sonny Colbrelli,Bahrain - Victorious,951,12
Wilco Kelderman,BORA - hansgrohe,5,12
Stefan Küng,Groupama - FDJ,377,12
Tiesj Benoot,Team DSM,349,12
Fernando Gaviria,UAE-Team Emirates,186,12
Oliver Naesen,AG2R Citroën Team ,50,10
Greg Van Avermaet,AG2R Citroën Team ,70,10
Christophe Laporte,Cofidis,426,10
Elia Viviani,Cofidis,2,10
Stefan Bissegger,EF Education - Nippo,246,10
Gianni Moscon,INEOS Grenadiers,39,10
Philippe Gilbert,Lotto Soudal,35,10
Cees Bol,Team DSM,26,10
Mike Teunissen,Team Jumbo-Visma,318,10
Max Walscheid,Team Qhubeka ASSOS,280,10
Marc Hirschi,UAE-Team Emirates,154,10
Brandon McNulty,UAE-Team Emirates,37,10
Jonas Rickaert,Alpecin-Fenix,56,8
Gianni Vermeersch,Alpecin-Fenix,175,8
Phil Bauhaus,Bahrain - Victorious,421,8
Emmanuel Morin,Cofidis,0,8
Szymon Sajnok,Cofidis,2,8
Álvaro José Hodeg,Deceuninck - Quick Step,142,8
Ben Swift,INEOS Grenadiers,19,8
Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,10,8
Danny Van Poppel,Intermarché - Wanty - Gobert Matériaux,547,8
Mads Würtz Schmidt,Israel Start-Up Nation,104,8
Thomas De Gendt,Lotto Soudal,10,8
Iván García Cortina,Movistar Team,4,8
Olav Kooij,Team Jumbo-Visma,12,8
Victor Campenaerts,Team Qhubeka ASSOS,438,8
Reinardt Janse Van Rensburg,Team Qhubeka ASSOS,39,8
Edward Theuns,Trek - Segafredo,8,8
Mikkel Bjerg,UAE-Team Emirates,0,8
Michael Schär,AG2R Citroën Team ,0,6
Gijs Van Hoecke,AG2R Citroën Team ,0,6
Dries De Bondt,Alpecin-Fenix,46,6
Oscar Riesebeek,Alpecin-Fenix,98,6
Petr Vakoč,Alpecin-Fenix,46,6
Samuele Battistella,Astana - Premier Tech,102,6
Matteo Sobrero,Astana - Premier Tech,10,6
Heinrich Haussler,Bahrain - Victorious,108,6
Fred Wright,Bahrain - Victorious,269,6
Stanisław Aniołkowski,Bingoal - Wallonie Bruxelles,57,6
Sean De Bie,Bingoal - Wallonie Bruxelles,0,6
Timothy Dupont,Bingoal - Wallonie Bruxelles,0,6
Maciej Bodnar,BORA - hansgrohe,0,6
Daniel Oss,BORA - hansgrohe,10,6
Lukas Pöstlberger,BORA - hansgrohe,115,6
Jempy Drucker,Cofidis,2,6
Dries Devenyns,Deceuninck - Quick Step,32,6
Iljo Keisse,Deceuninck - Quick Step,12,6
Michael Mørkøv,Deceuninck - Quick Step,12,6
Stijn Steels,Deceuninck - Quick Step,12,6
Daniel Arroyave,EF Education - Nippo,12,6
Sebastian Langeveld,EF Education - Nippo,32,6
Julius Van Den Berg,EF Education - Nippo,12,6
Fabian Lienhard,Groupama - FDJ,40,6
Jake Stewart,Groupama - FDJ,25,6
Benjamin Thomas,Groupama - FDJ,25,6
Attila Valter,Groupama - FDJ,10,6
Andrey Amador,INEOS Grenadiers,91,6
Michał Gołaś,INEOS Grenadiers,19,6
Sebastián Henao,INEOS Grenadiers,19,6
Aimé De Gendt,Intermarché - Wanty - Gobert Matériaux,55,6
Taco Van Der Hoorn,Intermarché - Wanty - Gobert Matériaux,167,6
Pieter Vanspeybrouck,Intermarché - Wanty - Gobert Matériaux,10,6
Tom Van Asbroeck,Israel Start-Up Nation,163,6
Jasper De Buyst,Lotto Soudal,10,6
Tosh Van Der Sande,Lotto Soudal,50,6
