Mads Pedersen,Lidl - Trek,0,26
Arnaud De Lie,Lotto,370,20
Kévin Vauquelin,Arkéa - B&B Hotels,875,18
Maxim Van Gils,Red Bull - BORA - hansgrohe,135,18
Marijn Van Den Berg,EF Education - EasyPost,144,16
Filippo Ganna,INEOS Grenadiers,0,16
Axel Laurance,INEOS Grenadiers,149,14
Jordi Meeus,Red Bull - BORA - hansgrohe,278,14
Magnus Cort,Uno-X Mobility,11,14
Sam Bennett,Decathlon AG2R La Mondiale Team,40,12
Richard Carapaz,EF Education - EasyPost,6,12
Kevin Geniets,Groupama - FDJ,498,12
Paul Penhoët,Groupama - FDJ,318,12
Joshua Tarling,INEOS Grenadiers,0,12
Oier Lazkano,Red Bull - BORA - hansgrohe,24,12
Søren Wærenskjold,Uno-X Mobility,154,12
Simon Dehairs,Alpecin - Deceuninck,10,10
Arnaud Démare,Arkéa - B&B Hotels,336,10
Benjamin Thomas,Cofidis,17,10
Dries De Bondt,Decathlon AG2R La Mondiale Team,0,10
Lionel Taminiaux,Lotto,12,10
Jan Tratnik,Red Bull - BORA - hansgrohe,95,10
Paul Magnier,Soudal Quick-Step,320,10
Pierre Latour,Team TotalEnergies,373,10
Rasmus Tiller,Uno-X Mobility,10,10
Timo Kielich,Alpecin - Deceuninck,134,8
Dylan Teuns,Cofidis,553,8
Damien Touzé,Cofidis,358,8
Tord Gudmestad,Decathlon AG2R La Mondiale Team,0,8
Rasmus Søjberg Pedersen,Decathlon AG2R La Mondiale Team,0,8
Nicolas Prodhomme,Decathlon AG2R La Mondiale Team,0,8
Hugh Carthy,EF Education - EasyPost,6,8
Madis Mihkels,EF Education - EasyPost,66,8
Hugo Aznar,Equipo Kern Pharma,14,8
Urko Berrade,Equipo Kern Pharma,2,8
Francisco Galván,Equipo Kern Pharma,0,8
Pau Miquel,Equipo Kern Pharma,0,8
Ben Turner,INEOS Grenadiers,0,8
Julien Bernard,Lidl - Trek,1,8
Alex Kirsch,Lidl - Trek,6,8
Mattia Cattaneo,Soudal Quick-Step,20,8
Yves Lampaert,Soudal Quick-Step,20,8
Dries Van Gestel,Soudal Quick-Step,20,8
Alexandre Delettre,Team TotalEnergies,124,8
Sandy Dujardin,Team TotalEnergies,272,8
Marco Tizza,Wagner Bazin WB,83,8
Juri Hollmann,Alpecin - Deceuninck,10,6
Jimmy Janssens,Alpecin - Deceuninck,0,6
Stan Van Tricht,Alpecin - Deceuninck,0,6
Anthony Delaplace,Arkéa - B&B Hotels,25,6
Thibault Guernalec,Arkéa - B&B Hotels,329,6
Florian Sénéchal,Arkéa - B&B Hotels,25,6
Pierre Thierry,Arkéa - B&B Hotels,25,6
Ronan Augé,CIC U Nantes Atlantique,107,6
Maël Guégan,CIC U Nantes Atlantique,26,6
Axel Mariault,CIC U Nantes Atlantique,10,6
Anthony Perez,Cofidis,91,6
Oscar Chamberlain,Decathlon AG2R La Mondiale Team,0,6
Gianluca Pollefliet,Decathlon AG2R La Mondiale Team,0,6
Samuele Battistella,EF Education - EasyPost,6,6
Harry Sweeny,EF Education - EasyPost,6,6
Marc Brustenga,Equipo Kern Pharma,0,6
Cyril Barthe,Groupama - FDJ,77,6
Rémi Cavagna,Groupama - FDJ,303,6
Olivier Le Gac,Groupama - FDJ,42,6
Clément Russo,Groupama - FDJ,47,6
Omar Fraile,INEOS Grenadiers,0,6
Ryan Gibbons,Lidl - Trek,0,6
Jonas Gregaard,Lotto,12,6
Sébastien Grignard,Lotto,12,6
Jaakko Hänninen,Nice Métropole Côte d'Azur,0,6
Alexander Hajek,Red Bull - BORA - hansgrohe,24,6
Emil Herzog,Red Bull - BORA - hansgrohe,24,6
Jonas Koch,Red Bull - BORA - hansgrohe,24,6
Josef Černý,Soudal Quick-Step,20,6
Gil Gelders,Soudal Quick-Step,20,6
Martin Svrček,Soudal Quick-Step,20,6
Nicolas Breuillard,St Michel - Preference Home - Auber93,334,6
Romain Cardis,St Michel - Preference Home - Auber93,31,6
Thomas Champion,St Michel - Preference Home - Auber93,324,6
Théo Delacroix,St Michel - Preference Home - Auber93,369,6
Jérémy Lecroq,St Michel - Preference Home - Auber93,41,6
Vincent Van Hemelen,Team Flanders - Baloise,262,6
Dylan Vandenstorme,Team Flanders - Baloise,65,6
Alexys Brunel,Team TotalEnergies,38,6
Fabien Doubey,Team TotalEnergies,187,6
Valentin Retailleau,Team TotalEnergies,66,6
Hartthijs De Vries,Unibet Tietema Rockets,0,6
Lukáš Kubiš,Unibet Tietema Rockets,53,6
Adrien Maire,Unibet Tietema Rockets,0,6
Jonas Iversby Hvideberg,Uno-X Mobility,6,6
Maxime Jarnet,Van Rysel - Roubaix,42,6
Baptiste Planckaert,Van Rysel - Roubaix,25,6
Sasha Weemaes,Wagner Bazin WB,0,6
Lennert Belmans,Alpecin - Deceuninck,0,4
Louis Kitzki,Alpecin - Deceuninck,10,4
Baptiste Gillet,Arkéa - B&B Hotels,25,4
Joris Chaussinand,CIC U Nantes Atlantique,0,4
Corentin Devroute,CIC U Nantes Atlantique,0,4
Justin Ducret,CIC U Nantes Atlantique,0,4
Antoine Hue,CIC U Nantes Atlantique,21,4
Clément Izquierdo,Cofidis,191,4
Oliver Knight,Cofidis,120,4
Sam Maisonobe,Cofidis,69,4
Unai Aznar,Equipo Kern Pharma,0,4
Mikel Retegi,Equipo Kern Pharma,0,4
Maxime Decomble,Groupama - FDJ,205,4
Salvatore Puccio,INEOS Grenadiers,0,4
Artem Shmidt,INEOS Grenadiers,0,4
Patrick Boje Frydkjær,Lidl - Trek,5,4
Martin Pedersen,Lidl - Trek,0,4
Otto Vergaerde,Lidl - Trek,0,4
Jarrad Drizners,Lotto,12,4
Lorenz Van De Wynkele,Lotto,12,4
Baptiste Veistroffer,Lotto,12,4
Damien Girard,Nice Métropole Côte d'Azur,92,4
Noah Knecht,Nice Métropole Côte d'Azur,0,4
Alexander Konijn,Nice Métropole Côte d'Azur,0,4
Dylan Massa,Nice Métropole Côte d'Azur,0,4
Andrea Mifsud,Nice Métropole Côte d'Azur,50,4
Axel Narbonne Zuccarelli,Nice Métropole Côte d'Azur,0,4
Alan Riou,St Michel - Preference Home - Auber93,96,4
Yohann Simon,St Michel - Preference Home - Auber93,33,4
Alex Colman,Team Flanders - Baloise,40,4
Jonas Geens,Team Flanders - Baloise,2,4
Elias Maris,Team Flanders - Baloise,88,4
Ward Vanhoof,Team Flanders - Baloise,8,4
Victor Vercouillie,Team Flanders - Baloise,172,4
Thomas Bonnet,Team TotalEnergies,26,4
Axel Huens,Unibet Tietema Rockets,30,4
Tomáš Kopecký,Unibet Tietema Rockets,0,4
Andreas Stokbro,Unibet Tietema Rockets,0,4
Killian Verschuren,Unibet Tietema Rockets,0,4
Amund Grøndahl Jansen,Uno-X Mobility,6,4
Erik Nordsæter Resell,Uno-X Mobility,6,4
Anders Skaarseth,Uno-X Mobility,6,4
Kévin Avoine,Van Rysel - Roubaix,0,4
Rémi Capron,Van Rysel - Roubaix,0,4
Célestin Guillon,Van Rysel - Roubaix,21,4
Valentin Tabellion,Van Rysel - Roubaix,98,4
Killian Theot,Van Rysel - Roubaix,14,4
Jocelyn Baguelin,Wagner Bazin WB,3,4
Victor Papon,Wagner Bazin WB,0,4
Axandre Van Petegem,Wagner Bazin WB,64,4
Jelle Vermoote,Wagner Bazin WB,0,4
Giacomo Villa,Wagner Bazin WB,60,4
