Lorena Wiebes,Team SD Worx - Protime,320,28
Anna Henderson,Lidl - Trek,320,16
Karlijn Swinkels,UAE Team ADQ,539,16
Kimberley Le Court-Pienaar,AG Insurance - Soudal Team,217,14
Chiara Consonni,CANYON//SRAM zondacrypto,90,14
Kristen Faulkner,EF Education-Oatly,432,14
Riejanne Markus,Lidl - Trek,412,14
Letizia Paternoster,Liv AlUla Jayco,0,14
Charlotte Kool,Team Picnic PostNL,239,14
Marta Lach,Team SD Worx - Protime,70,14
Sarah Van Dam,CERATIZIT Pro Cycling Team,348,12
Amber Kraak,FDJ - SUEZ,227,12
Ally Wollaston,FDJ - SUEZ,890,12
Cat Ferguson,Movistar Team,809,12
Eleonora Camilla Gasparrini,UAE Team ADQ,167,12
Cecilie Uttrup Ludwig,CANYON//SRAM zondacrypto,317,10
Mylène De Zoete,CERATIZIT Pro Cycling Team,10,10
Letizia Borghesi,EF Education-Oatly,14,10
Millie Couzens,Great Britain,316,10
Elizabeth Deignan,Lidl - Trek,47,10
Ruby Roseman-Gannon,Liv AlUla Jayco,0,10
Martina Fidanza,Team Visma | Lease a Bike,0,10
Dominika Włodarczyk,UAE Team ADQ,129,10
Anniina Ahtosalo,Uno-X Mobility,0,10
Linda Zanetti,Uno-X Mobility,234,10
Alexandra Manly,AG Insurance - Soudal Team,12,8
Gladys Verhulst-Wild,AG Insurance - Soudal Team,12,8
Zoe Bäckstedt,CANYON//SRAM zondacrypto,37,8
Alice Towers,CANYON//SRAM zondacrypto,2,8
Maike Van Der Duin,CANYON//SRAM zondacrypto,0,8
Kristýna Burlová,CERATIZIT Pro Cycling Team,0,8
Marta Jaskulska,CERATIZIT Pro Cycling Team,74,8
Sarah Roy,EF Education-Oatly,14,8
Célia Gery,FDJ - SUEZ,169,8
Alessia Vigilia,FDJ - SUEZ,68,8
Jade Wiel,FDJ - SUEZ,68,8
Flora Perkins,Great Britain,32,8
Emma Norsgaard,Lidl - Trek,35,8
Georgia Baker,Liv AlUla Jayco,0,8
Josie Talbot,Liv AlUla Jayco,0,8
Floortje Mackaij,Movistar Team,86,8
Rachele Barbieri,Team Picnic PostNL,42,8
Josie Nelson,Team Picnic PostNL,230,8
Barbara Guarischi,Team SD Worx - Protime,4,8
Femke Markus,Team SD Worx - Protime,10,8
Nienke Veenhoven,Team Visma | Lease a Bike,30,8
Margaux Vigié,Team Visma | Lease a Bike,4,8
Sofia Bertizzolo,UAE Team ADQ,14,8
Lara Gillespie,UAE Team ADQ,19,8
Anouska Koster,Uno-X Mobility,34,8
Solbjørk Minke Anderson,Uno-X Mobility,0,8
Fauve Bastiaenssen,AG Insurance - Soudal Team,12,6
Julia Borgström,AG Insurance - Soudal Team,12,6
Anya Louw,AG Insurance - Soudal Team,12,6
Wilma Aintila,CANYON//SRAM zondacrypto,0,6
Franziska Brauße,CERATIZIT Pro Cycling Team,15,6
Célia Le Mouel,CERATIZIT Pro Cycling Team,0,6
Lucy Lee,DAS - Hutchinson,0,6
Nina Berton,EF Education-Oatly,16,6
Mirre Knaven,EF Education-Oatly,14,6
Babette Van Der Wolf,EF Education-Oatly,94,6
Marie Le Net,FDJ - SUEZ,183,6
April Tacey,Great Britain,0,6
Kate Richardson,Handsling Alba Development Road Team,0,6
Danique Braam,Hess Cycling Team,0,6
Lauretta Hanson,Lidl - Trek,52,6
Amber Pate,Liv AlUla Jayco,0,6
Quinty Ton,Liv AlUla Jayco,289,6
Aude Biannic,Movistar Team,33,6
Lucía Ruiz Pérez,Movistar Team,29,6
Megan Jastrab,Team Picnic PostNL,389,6
Mara Roldan,Team Picnic PostNL,200,6
Skylar Schneider,Team SD Worx - Protime,10,6
Lisa Van Belle,Team SD Worx - Protime,10,6
Linda Riedmann,Team Visma | Lease a Bike,97,6
Imogen Wolff,Team Visma | Lease a Bike,170,6
Elynor Bäckstedt,UAE Team ADQ,14,6
Teuntje Beekhuis,Uno-X Mobility,0,6
Emilie Fortin,CJ O'Shea Racing,0,4
S'Annara Grove,CJ O'Shea Racing,0,4
Frøya Knox,CJ O'Shea Racing,0,4
Katie Scott,CJ O'Shea Racing,0,4
Ella Wahlström,CJ O'Shea Racing,0,4
Sannah Zaman,CJ O'Shea Racing,0,4
Robyn Clay,DAS - Hutchinson,5,4
Tiffany Keep,DAS - Hutchinson,31,4
Tamsin Miller,DAS - Hutchinson,0,4
Aoife O'Brien,DAS - Hutchinson,0,4
Morven Yeoman,DAS - Hutchinson,0,4
Ella Maclean-Howell,Great Britain,0,4
Anna Morris,Great Britain,0,4
Jessica Roberts,Great Britain,0,4
Lauren Dickson,Handsling Alba Development Road Team,137,4
Amy Gornall,Handsling Alba Development Road Team,0,4
Arianne Holland,Handsling Alba Development Road Team,0,4
Madelaine Leech,Handsling Alba Development Road Team,12,4
Beth Morrow,Handsling Alba Development Road Team,0,4
Karlijn Koops,Hess Cycling Team,0,4
Grace Lister,Hess Cycling Team,98,4
Maeve Plouffe,Hess Cycling Team,0,4
Holly Ramsey,Hess Cycling Team,0,4
Liv Wenzel,Hess Cycling Team,0,4
Laura Ruiz Pérez,Movistar Team,29,4
Bexy Dew,Smurfit Westrock Cycling Team,0,4
Lucy Gadd,Smurfit Westrock Cycling Team,21,4
Lucy Harris,Smurfit Westrock Cycling Team,0,4
Alex Morrice,Smurfit Westrock Cycling Team,0,4
Annabel Ramsay,Smurfit Westrock Cycling Team,0,4
Jo Tindley,Smurfit Westrock Cycling Team,0,4
Esmée Peperkamp,Team Picnic PostNL,42,4
