Wout Van Aert,Jumbo-Visma,1197,26
Thomas Pidcock,INEOS Grenadiers,289,22
Olav Kooij,Jumbo-Visma,1016,18
Tobias Halland Johannessen,Uno-X Pro Cycling Team,539,16
Sam Bennett,BORA - hansgrohe,315,14
Danny Van Poppel,BORA - hansgrohe,999,14
Ethan Vernon,Great Britain,813,14
Carlos Rodríguez,INEOS Grenadiers,372,14
Fernando Gaviria,Movistar Team,6,14
Rasmus Tiller,Uno-X Pro Cycling Team,526,14
Nils Politt,BORA - hansgrohe,260,12
Stephen Williams,Great Britain,260,12
Magnus Sheffield,INEOS Grenadiers,403,12
Nathan Van Hooydonck,Jumbo-Visma,99,12
Max Kanter,Movistar Team,537,12
Gonzalo Serrano,Movistar Team,201,12
Ide Schelling,BORA - hansgrohe,44,10
Roger Adrià,Equipo Kern Pharma,141,10
Ben Turner,INEOS Grenadiers,84,10
Carlos Verona,Movistar Team,6,10
Tobias Lund Andresen,Team dsm - firmenich,23,10
Casper Van Uden,Team dsm - firmenich,385,10
Fredrik Dversnes,Uno-X Pro Cycling Team,115,10
Alexander Salby,Bingoal Pauwels Sauces WB,119,8
Lennert Teugels,Bingoal Pauwels Sauces WB,105,8
Mark Stewart,Bolton Equities Black Spoke Pro Cycling,100,8
Rory Townsend,Bolton Equities Black Spoke Pro Cycling,138,8
Connor Swift,INEOS Grenadiers,23,8
Edoardo Affini,Jumbo-Visma,98,8
Steven Kruijswijk,Jumbo-Visma,98,8
Gregor Mühlberger,Movistar Team,291,8
Mark Donovan,Q36.5 Pro Cycling Team,390,8
Damien Howson,Q36.5 Pro Cycling Team,448,8
Jack Rootkin-Gray,Saint Piran,58,8
Patrick Bevin,Team dsm - firmenich,6,8
Kamiel Bonneu,Team Flanders - Baloise,198,8
Milan Fretin,Team Flanders - Baloise,153,8
Luke Lamperti,Trinity Racing,108,8
Floris De Tier,Bingoal Pauwels Sauces WB,19,6
Davide Persico,Bingoal Pauwels Sauces WB,294,6
Dimitri Peyskens,Bingoal Pauwels Sauces WB,19,6
Matthew Bostock,Bolton Equities Black Spoke Pro Cycling,21,6
James Fouché,Bolton Equities Black Spoke Pro Cycling,216,6
Jacob Scott,Bolton Equities Black Spoke Pro Cycling,10,6
Ryan Mullen,BORA - hansgrohe,44,6
Matthew Walls,BORA - hansgrohe,44,6
Igor Arrieta,Equipo Kern Pharma,86,6
Iñigo Elosegui,Equipo Kern Pharma,19,6
José Félix Parra,Equipo Kern Pharma,80,6
Ibon Ruiz,Equipo Kern Pharma,17,6
Giacomo Ballabio,Global 6 Cycling,39,6
Callum Ormiston,Global 6 Cycling,22,6
Nícolas Sessler,Global 6 Cycling,57,6
Noah Hobbs,Great Britain,36,6
Luke Rowe,INEOS Grenadiers,18,6
Jos Van Emden,Jumbo-Visma,98,6
Óscar Rodríguez,Movistar Team,6,6
Nicolò Parisini,Q36.5 Pro Cycling Team,139,6
Harry Birchill,Saint Piran,14,6
Finn Crockett,Saint Piran,26,6
Zeb Kyffin,Saint Piran,355,6
Alexandar Richardson,Saint Piran,10,6
William Tidball,Saint Piran,43,6
Joren Bloem,TDT-Unibet,0,6
Davide Bomboi,TDT-Unibet,289,6
Martijn Budding,TDT-Unibet,0,6
Hartthijs De Vries,TDT-Unibet,10,6
Harry Tanfield,TDT-Unibet,101,6
Sander De Pestel,Team Flanders - Baloise,0,6
Elias Maris,Team Flanders - Baloise,0,6
Ward Vanhoof,Team Flanders - Baloise,0,6
Liam Johnston,Trinity Racing,71,6
Paul Magnier,Trinity Racing,117,6
Stian Fredheim,Uno-X Pro Cycling Team,352,6
Johan Meens,Bingoal Pauwels Sauces WB,91,4
Ryan Christensen,Bolton Equities Black Spoke Pro Cycling,0,4
Danny Van Der Tuuk,Equipo Kern Pharma,12,4
Tomoya Koyama,Global 6 Cycling,0,4
Evan Russell,Global 6 Cycling,0,4
Tom Wirtgen,Global 6 Cycling,4,4
Jack Brough,Great Britain,26,4
Joshua Giddings,Great Britain,26,4
Oliver Wood,Great Britain,40,4
Kamil Małecki,Q36.5 Pro Cycling Team,44,4
Joey Rosskopf,Q36.5 Pro Cycling Team,94,4
Szymon Sajnok,Q36.5 Pro Cycling Team,124,4
Abram Stockman,TDT-Unibet,173,4
Enzo Leijnse,Team dsm - firmenich,6,4
Niklas Märkl,Team dsm - firmenich,68,4
Tim Naberman,Team dsm - firmenich,6,4
Alex Colman,Team Flanders - Baloise,2,4
Robert Donaldson,Trinity Racing,155,4
Oliver Rees,Trinity Racing,14,4
Max Walker,Trinity Racing,30,4
Tord Gudmestad,Uno-X Pro Cycling Team,203,4
Martin Urianstad,Uno-X Pro Cycling Team,128,4
