Wout Van Aert,Team Jumbo-Visma,1260,24
Julian Alaphilippe,Deceuninck - Quick Step,903,22
Michał Kwiatkowski,INEOS Grenadiers,166,18
Yves Lampaert,Deceuninck - Quick Step,303,16
Ethan Hayter,INEOS Grenadiers,1290,16
Michael Woods,Israel Start-Up Nation,562,16
Davide Ballerini,Deceuninck - Quick Step,207,14
Mark Cavendish,Deceuninck - Quick Step,302,14
Richie Porte,INEOS Grenadiers,148,14
George Bennett,Team Jumbo-Visma,145,14
Giacomo Nizzolo,Team Qhubeka ASSOS,242,14
Mikkel Frølich Honoré,Deceuninck - Quick Step,619,12
Rohan Dennis,INEOS Grenadiers,420,12
Dan Martin,Israel Start-Up Nation,364,12
Marc Soler,Movistar Team,18,12
Xandro Meurisse,Alpecin-Fenix,235,10
Matteo Jorgenson,Movistar Team,287,10
Gonzalo Serrano,Movistar Team,493,10
James Shaw,Ribble Weldtite Pro Cycling,268,10
Max Kanter,Team DSM,283,10
Simon Clarke,Team Qhubeka ASSOS,135,10
Kristian Sbaragli,Alpecin-Fenix,472,8
Ben Tulett,Alpecin-Fenix,25,8
Owain Doull,INEOS Grenadiers,146,8
Carlos Rodriguez,INEOS Grenadiers,353,8
Alex Dowsett,Israel Start-Up Nation,16,8
André Greipel,Israel Start-Up Nation,132,8
Dario Cataldo,Movistar Team,18,8
Gabriel Cullaigh,Movistar Team,53,8
Joey Rosskopf,Rally Cycling,30,8
Daniel McLay,Team Arkéa Samsic,131,8
Connor Swift,Team Arkéa Samsic,145,8
Nicolas Roche,Team DSM,207,8
Pascal Eenkhoorn,Team Jumbo-Visma,194,8
Carlos Barbero,Team Qhubeka ASSOS,29,8
Thomas Gloag,Trinity Racing,24,8
Silvan Dillier,Alpecin-Fenix,48,6
Jimmy Janssens,Alpecin-Fenix,55,6
David González,Caja Rural - Seguros RGA,17,6
Matthew Bostock,Canyon dhb SunGod,40,6
Maximilian Stedman,Canyon dhb SunGod,55,6
Rory Townsend,Canyon dhb SunGod,406,6
Tim Declercq,Deceuninck - Quick Step,154,6
Ethan Vernon,Great Britain,50,6
Mason Hollyman,Israel Start-Up Nation,16,6
Juri Hollmann,Movistar Team,14,6
Colin Joyce,Rally Cycling,238,6
Gavin Mannion,Rally Cycling,109,6
Kyle Murphy,Rally Cycling,16,6
Charles Page,Ribble Weldtite Pro Cycling,2,6
Steven Lampier,Saint Piran,0,6
Tom Mazzone,Saint Piran,10,6
Alex Peters,SwiftCarbon Pro Cycling,168,6
Łukasz Owsian,Team Arkéa Samsic,81,6
Bram Welten,Team Arkéa Samsic,0,6
Romain Combaud,Team DSM,43,6
Mark Donovan,Team DSM,237,6
Nils Eekhoff,Team DSM,164,6
Chris Harper,Team Jumbo-Visma,16,6
Gijs Leemreize,Team Jumbo-Visma,75,6
Tony Martin,Team Jumbo-Visma,45,6
Sean Bennett,Team Qhubeka ASSOS,4,6
Nic Dlamini,Team Qhubeka ASSOS,26,6
Mauro Schmid,Team Qhubeka ASSOS,9,6
Christopher Blevins,Trinity Racing,26,6
Ben Healy,Trinity Racing,20,6
Luke Lamperti,Trinity Racing,90,6
Rudy Porter,Trinity Racing,0,6
Alexandar Richardson,Alpecin-Fenix,25,4
Jon Barrenetxea,Caja Rural - Seguros RGA,0,4
Josu Etxeberria,Caja Rural - Seguros RGA,0,4
Sergio Roman Martín,Caja Rural - Seguros RGA,65,4
Jokin Murguialday,Caja Rural - Seguros RGA,58,4
Joel Nicolau,Caja Rural - Seguros RGA,36,4
Ryan Christensen,Canyon dhb SunGod,0,4
Thomas Mein,Canyon dhb SunGod,25,4
Jacob Scott,Canyon dhb SunGod,300,4
Hans Becking,Global 6 Cycling,0,4
Dan Erik Hansen,Global 6 Cycling,0,4
James Mitri,Global 6 Cycling,0,4
Michał Paluta,Global 6 Cycling,116,4
Tim Edvard Pettersen,Global 6 Cycling,0,4
Nícolas Sessler,Global 6 Cycling,128,4
Rhys Britton,Great Britain,45,4
Robert Donaldson,Great Britain,57,4
Max Rushby,Great Britain,0,4
Oliver Stockwell,Great Britain,21,4
William Tidball,Great Britain,0,4
Reto Hollenstein,Israel Start-Up Nation,16,4
Robin Carpenter,Rally Cycling,386,4
Nickolas Zukowsky,Rally Cycling,37,4
Daniel Bigham,Ribble Weldtite Pro Cycling,20,4
Matthew Gibson,Ribble Weldtite Pro Cycling,205,4
Gruffudd Lewis,Ribble Weldtite Pro Cycling,28,4
Simon Wilson,Ribble Weldtite Pro Cycling,4,4
Ross Holland,Saint Piran,0,4
Oliver Maxwell,Saint Piran,0,4
Leon Mazzone,Saint Piran,34,4
Bradley Symonds,Saint Piran,0,4
William Bjergfelt,SwiftCarbon Pro Cycling,16,4
Ross Lamb,SwiftCarbon Pro Cycling,2,4
Christopher Latham,SwiftCarbon Pro Cycling,2,4
Ollie Peckover,SwiftCarbon Pro Cycling,69,4
Andrew Turner,SwiftCarbon Pro Cycling,2,4
Maxime Bouet,Team Arkéa Samsic,153,4
Tim Naberman,Team DSM,43,4
Max Walker,Trinity Racing,28,4
