Lotte Kopecky,Team SD Worx - Protime,395,24
Marlen Reusser,Movistar Team,1018,22
Elisa Longo Borghini,UAE Team ADQ,721,20
Lorena Wiebes,Team SD Worx - Protime,451,18
Juliette Labous,FDJ - SUEZ,469,16
Elisa Balsamo,Lidl - Trek,292,16
Chiara Consonni,CANYON//SRAM zondacrypto,9,12
Antonia Niedermaier,CANYON//SRAM zondacrypto,15,12
Elise Chabbey,FDJ - SUEZ,410,12
Silke Smulders,Liv AlUla Jayco,90,12
Silvia Persico,UAE Team ADQ,83,12
Lotte Claes,Arkéa - B&B Hotels Women,77,10
Ricarda Bauernfeind,CANYON//SRAM zondacrypto,0,10
Kim Cadzow,EF Education-Oatly,0,10
Ally Wollaston,FDJ - SUEZ,133,10
Yara Kastelijn,Fenix-Deceuninck,446,10
Ruth Edwards,Human Powered Health,4,10
Kathrin Schweinberger,Human Powered Health,0,10
Clara Copponi,Lidl - Trek,28,10
Amanda Spratt,Lidl - Trek,337,10
Ruby Roseman-Gannon,Liv AlUla Jayco,15,10
Ella Wyllie,Liv AlUla Jayco,20,10
Tamara Dronova-Balabolina,Roland,20,10
Franziska Koch,Team Picnic PostNL,128,10
Katrine Aalerud,Uno-X Mobility,289,10
Maria Giulia Confalonieri,Uno-X Mobility,20,10
Mie Bjørndal Ottestad,Uno-X Mobility,523,10
Linda Zanetti,Uno-X Mobility,64,10
Mireia Benito,AG Insurance - Soudal Team,135,8
Alexandra Manly,AG Insurance - Soudal Team,0,8
Julie Van De Velde,AG Insurance - Soudal Team,0,8
Michaela Drummond,Arkéa - B&B Hotels Women,17,8
Zoe Bäckstedt,CANYON//SRAM zondacrypto,76,8
Agnieszka Skalniak-Sójka,CANYON//SRAM zondacrypto,313,8
Nina Berton,EF Education-Oatly,1,8
Alison Jackson,EF Education-Oatly,20,8
Alessia Vigilia,FDJ - SUEZ,40,8
Millie Couzens,Fenix-Deceuninck,60,8
Barbara Malcotti,Human Powered Health,182,8
Lily Williams,Human Powered Health,75,8
Silvia Zanardi,Human Powered Health,10,8
Alice Maria Arzuffi,Laboral Kutxa - Fundación Euskadi,0,8
Catalina Anais Soto,Laboral Kutxa - Fundación Euskadi,15,8
Lauretta Hanson,Lidl - Trek,8,8
Jelena Erić,Movistar Team,50,8
Floortje Mackaij,Movistar Team,25,8
Nienke Vinke,Team Picnic PostNL,79,8
Barbara Guarischi,Team SD Worx - Protime,36,8
Paula Blasi,UAE Team ADQ,65,8
Brodie Chapman,UAE Team ADQ,28,8
Karolina Perekitko,Winspace Orange Seal,78,8
Anya Louw,AG Insurance - Soudal Team,0,6
Ilse Pluimers,AG Insurance - Soudal Team,0,6
Gladys Verhulst-Wild,AG Insurance - Soudal Team,60,6
Valentina Cavallar,Arkéa - B&B Hotels Women,244,6
Maho Kakita,BePink - Imatra - Bongioanni,0,6
Gaia Segato,BePink - Imatra - Bongioanni,0,6
Anastasiya Kolesava,CANYON//SRAM zondacrypto,14,6
Veronica Ewers,EF Education-Oatly,0,6
Mirre Knaven,EF Education-Oatly,0,6
Valentina Basilico,Eneicat - CMTeam,0,6
Ariana Gilabert,Eneicat - CMTeam,0,6
Eugénie Duval,FDJ - SUEZ,40,6
Célia Gery,FDJ - SUEZ,108,6
Iurani Blanco,Human Powered Health,0,6
Debora Silvestri,Laboral Kutxa - Fundación Euskadi,0,6
Alba Teruel,Laboral Kutxa - Fundación Euskadi,0,6
Laura Tomasi,Laboral Kutxa - Fundación Euskadi,0,6
Ilaria Sanguineti,Lidl - Trek,8,6
Amber Pate,Liv AlUla Jayco,0,6
Aude Biannic,Movistar Team,25,6
Sara Martín,Movistar Team,25,6
Paula Patiño,Movistar Team,119,6
Morgane Coston,Roland,31,6
Sylvie Swinkels,Roland,0,6
Alison Avoine,St Michel - Preference Home - Auber93 WE,0,6
Lucie Fityus,St Michel - Preference Home - Auber93 WE,0,6
Alicia González,St Michel - Preference Home - Auber93 WE,10,6
Ségolène Thomas,St Michel - Preference Home - Auber93 WE,152,6
Steffi Häberlin,Team SD Worx - Protime,54,6
Femke Markus,Team SD Worx - Protime,36,6
Marie Schreiber,Team SD Worx - Protime,46,6
Chiara Reghini,Top Girls Fassa Bortolo,10,6
Elynor Bäckstedt,UAE Team ADQ,28,6
Greta Marturano,UAE Team ADQ,58,6
Rebecca Koerner,Uno-X Mobility,45,6
Kiara Lylyk,Winspace Orange Seal,0,6
Aurela Nerlo,Winspace Orange Seal,0,6
Amandine Fouquenet,Arkéa - B&B Hotels Women,17,4
Clémence Latimier,Arkéa - B&B Hotels Women,19,4
Océane Mahé,Arkéa - B&B Hotels Women,2,4
Irene Cagnazzo,BePink - Imatra - Bongioanni,10,4
Linda Ferrari,BePink - Imatra - Bongioanni,0,4
Aileen Schweikart,BePink - Imatra - Bongioanni,0,4
Alexandra Volstad,EF Education-Oatly,0,4
Ainara Albert,Eneicat - CMTeam,0,4
Andrea Alzate,Eneicat - CMTeam,10,4
Angie Mariana Londoño,Eneicat - CMTeam,0,4
Claudia San Justo,Eneicat - CMTeam,0,4
Ceylin del Carmen Alvarado,Fenix-Deceuninck,53,4
Aniek Van Alphen,Fenix-Deceuninck,10,4
Inge Van Der Heijden,Fenix-Deceuninck,10,4
Annemarie Worst,Fenix-Deceuninck,20,4
Idoia Eraso,Laboral Kutxa - Fundación Euskadi,32,4
Amber Van Der Hulst,Liv AlUla Jayco,0,4
Mia Griffin,Roland,0,4
Petra Stiasny,Roland,131,4
Elyne Roussel,St Michel - Preference Home - Auber93 WE,0,4
Emily Watts,St Michel - Preference Home - Auber93 WE,0,4
Ella Heremans,Team Picnic PostNL,0,4
Juliana Londoño,Team Picnic PostNL,0,4
Esmée Peperkamp,Team Picnic PostNL,0,4
Becky Storrie,Team Picnic PostNL,0,4
Virginia Bortoli,Top Girls Fassa Bortolo,1,4
Monica Castagna,Top Girls Fassa Bortolo,0,4
Alessia Foligno,Top Girls Fassa Bortolo,0,4
Sara Luccon,Top Girls Fassa Bortolo,0,4
Marta Pavesi,Top Girls Fassa Bortolo,0,4
Teuntje Beekhuis,Uno-X Mobility,20,4
Marine Allione,Winspace Orange Seal,0,4
Fiona Mangan,Winspace Orange Seal,21,4
Constance Valentin,Winspace Orange Seal,35,4
