Juan Ayuso,UAE Team Emirates - XRG,867,26
Primož Roglič,Red Bull - BORA - hansgrohe,1105,22
Mikel Landa,Soudal Quick-Step,498,18
Adam Yates,UAE Team Emirates - XRG,90,18
Ben O'Connor,Team Jayco AlUla,145,16
Lenny Martinez,Bahrain - Victorious,431,14
Felix Gall,Decathlon AG2R La Mondiale Team,70,14
Richard Carapaz,EF Education - EasyPost,220,14
Egan Bernal,INEOS Grenadiers,272,14
Lennert Van Eetvelt,Lotto,568,14
Enric Mas,Movistar Team,559,14
Simon Yates,Team Visma | Lease a Bike,311,14
Kaden Groves,Alpecin - Deceuninck,293,12
Marijn Van Den Berg,EF Education - EasyPost,150,12
Axel Laurance,INEOS Grenadiers,274,12
Corbin Strong,Israel - Premier Tech,239,12
Wilco Kelderman,Team Visma | Lease a Bike,146,12
Sepp Kuss,Team Visma | Lease a Bike,148,12
Pavel Sivakov,UAE Team Emirates - XRG,52,12
Dorian Godon,Decathlon AG2R La Mondiale Team,399,10
Andrea Vendrame,Decathlon AG2R La Mondiale Team,187,10
Geraint Thomas,INEOS Grenadiers,14,10
Matthew Riccitello,Israel - Premier Tech,195,10
Ethan Vernon,Israel - Premier Tech,287,10
Tao Geoghegan Hart,Lidl - Trek,0,10
Giulio Pellizzari,Red Bull - BORA - hansgrohe,184,10
Valentin Paret-Peintre,Soudal Quick-Step,4,10
Pavel Bittner,Team Picnic PostNL,346,10
Marc Soler,UAE Team Emirates - XRG,108,10
Lorenzo Fortunato,XDS Astana Team,157,10
Cristián Rodríguez,Arkéa - B&B Hotels,45,8
Matevž Govekar,Bahrain - Victorious,8,8
Rainer Kepplinger,Bahrain - Victorious,16,8
Eric Antonio Fagúndez,Burgos Burpellet BH,50,8
Stanisław Aniołkowski,Cofidis,50,8
Emanuel Buchmann,Cofidis,40,8
Clément Berthet,Decathlon AG2R La Mondiale Team,0,8
Johannes Staune-Mittet,Decathlon AG2R La Mondiale Team,12,8
Hugh Carthy,EF Education - EasyPost,0,8
Georg Steinhauser,EF Education - EasyPost,10,8
Urko Berrade,Equipo Kern Pharma,0,8
Iván Ramiro Sosa,Equipo Kern Pharma,10,8
Jon Aberasturi,Euskaltel - Euskadi,20,8
Rudy Molard,Groupama - FDJ,30,8
Laurens De Plus,INEOS Grenadiers,390,8
Louis Meintjes,Intermarché - Wanty,0,8
George Bennett,Israel - Premier Tech,31,8
Itamar Einhorn,Israel - Premier Tech,6,8
Nick Schultz,Israel - Premier Tech,6,8
Juan Pedro López,Lidl - Trek,156,8
Quinn Simmons,Lidl - Trek,198,8
Carlos Verona,Lidl - Trek,6,8
Nairo Quintana,Movistar Team,92,8
Giovanni Aleotti,Red Bull - BORA - hansgrohe,57,8
Jan Tratnik,Red Bull - BORA - hansgrohe,59,8
Ethan Hayter,Soudal Quick-Step,4,8
Junior Lecerf,Soudal Quick-Step,211,8
Frank Van Den Broek,Team Picnic PostNL,46,8
Bart Lemmen,Team Visma | Lease a Bike,34,8
Harold Martín López,XDS Astana Team,287,8
