Primož Roglič,Jumbo-Visma,932,24
Wout Van Aert,Jumbo-Visma,1016,18
Enric Mas,Movistar Team,33,18
Jack Haig,Bahrain - Victorious,313,16
David Gaudu,Groupama - FDJ,363,16
Ben O'Connor,AG2R Citroën Team,476,14
Damiano Caruso,Bahrain - Victorious,481,14
Wilco Kelderman,BORA - hansgrohe,53,14
Jonas Vingegaard,Jumbo-Visma,799,14
Dylan Teuns,Bahrain - Victorious,83,12
Patrick Konrad,BORA - hansgrohe,180,12
Ethan Hayter,INEOS Grenadiers,695,12
Juan Ayuso,UAE Team Emirates,76,12
Brandon McNulty,UAE Team Emirates,182,12
Aurélien Paret-Peintre,AG2R Citroën Team,6,10
Franck Bonnamour,B&B Hotels - KTM,28,10
Esteban Chaves,EF Education-EasyPost,341,10
Ruben Guerreiro,EF Education-EasyPost,345,10
Mark Padun,EF Education-EasyPost,10,10
Michael Storer,Groupama - FDJ,45,10
Tao Geoghegan Hart,INEOS Grenadiers,323,10
Jan Hirt,Intermarché - Wanty - Gobert Matériaux,83,10
Tiesj Benoot,Jumbo-Visma,138,10
Steven Kruijswijk,Jumbo-Visma,223,10
Mattia Cattaneo,Quick-Step Alpha Vinyl Team,178,10
Warren Barguil,Team Arkéa Samsic,184,10
George Bennett,UAE Team Emirates,84,10
Tobias Halland Johannessen,Uno-X Pro Cycling Team,288,10
Geoffrey Bouchard,AG2R Citroën Team,98,8
Samuele Battistella,Astana Qazaqstan Team,0,8
Phil Bauhaus,Bahrain - Victorious,0,8
Matteo Fabbro,BORA - hansgrohe,43,8
Jordi Meeus,BORA - hansgrohe,150,8
Victor Lafay,Cofidis,266,8
Valentin Madouas,Groupama - FDJ,16,8
Eddie Dunbar,INEOS Grenadiers,60,8
Filippo Ganna,INEOS Grenadiers,185,8
Michał Kwiatkowski,INEOS Grenadiers,37,8
Louis Meintjes,Intermarché - Wanty - Gobert Matériaux,286,8
Simon Clarke,Israel - Premier Tech,25,8
Chris Froome,Israel - Premier Tech,0,8
Christophe Laporte,Jumbo-Visma,118,8
Gorka Izagirre,Movistar Team,21,8
Matteo Jorgenson,Movistar Team,245,8
Andrea Bagioli,Quick-Step Alpha Vinyl Team,266,8
Rémi Cavagna,Quick-Step Alpha Vinyl Team,14,8
Mikkel Frølich Honoré,Quick-Step Alpha Vinyl Team,24,8
Dylan Groenewegen,Team BikeExchange - Jayco,50,8
Nick Schultz,Team BikeExchange - Jayco,90,8
Jasper Stuyven,Trek - Segafredo,191,8
Juan Sebastián Molano,UAE Team Emirates,32,8
Anthon Charmig,Uno-X Pro Cycling Team,8,8
Stan Dewulf,AG2R Citroën Team,14,6
Oliver Naesen,AG2R Citroën Team,6,6
Greg Van Avermaet,AG2R Citroën Team,6,6
Clément Venturini,AG2R Citroën Team,145,6
