Annemiek Van Vleuten,Movistar Team,810,24
Demi Vollering,Team SD Worx,603,20
Cecilie Uttrup Ludwig,FDJ Nouvelle-Aquitaine Futuroscope,425,18
Elisa Longo Borghini,Trek - Segafredo,735,18
Katarzyna Niewiadoma,Canyon//SRAM Racing,380,16
Juliette Labous,Team DSM,244,16
Elisa Balsamo,Trek - Segafredo,342,16
Liane Lippert,Team DSM,542,14
Lotte Kopecky,Team SD Worx,480,14
Mavi García,UAE Team ADQ,178,14
Elise Chabbey,Canyon//SRAM Racing,412,12
Kristen Faulkner,Team BikeExchange - Jayco,28,12
Alexandra Manly,Team BikeExchange - Jayco,252,12
Ruby Roseman-Gannon,Team BikeExchange - Jayco,30,12
Floortje Mackaij,Team DSM,63,12
Niamh Fisher-Black,Team SD Worx,152,12
Marlen Reusser,Team SD Worx,89,12
Shirin Van Anrooij,Trek - Segafredo,85,12
Marta Bastianelli,UAE Team ADQ,100,12
Silvia Persico,Valcar - Travel & Service,499,12
Sarah Roy,Canyon//SRAM Racing,102,10
Lauren Stephens,EF Education-TIBCO-SVB,0,10
Brodie Chapman,FDJ Nouvelle-Aquitaine Futuroscope,204,10
Évita Muzic,FDJ Nouvelle-Aquitaine Futuroscope,56,10
Katrine Aalerud,Movistar Team,40,10
Emma Norsgaard,Movistar Team,62,10
Arlenis Sierra,Movistar Team,226,10
Anna Kiesenhofer,Soltec Team,68,10
Ane Santesteban,Team BikeExchange - Jayco,266,10
Karlijn Swinkels,Team Jumbo-Visma,0,10
Anna Shackley,Team SD Worx,299,10
Lucinda Brand,Trek - Segafredo,190,10
Sofia Bertizzolo,UAE Team ADQ,112,10
Chiara Consonni,Valcar - Travel & Service,6,10
Mikayla Harvey,Canyon//SRAM Racing,24,8
Pauliena Rooijakkers,Canyon//SRAM Racing,56,8
Maria Giulia Confalonieri,Ceratizit-WNT Pro Cycling,70,8
Kristabel Doebel-Hickok,EF Education-TIBCO-SVB,0,8
Veronica Ewers,EF Education-TIBCO-SVB,142,8
Grace Brown,FDJ Nouvelle-Aquitaine Futuroscope,179,8
Vittoria Guazzini,FDJ Nouvelle-Aquitaine Futuroscope,86,8
Thalita De Jong,Liv Racing Xstra,0,8
Valerie Demey,Liv Racing Xstra,0,8
Tereza Neumanova,Liv Racing Xstra,60,8
Sabrina Stultiens,Liv Racing Xstra,0,8
Andrea Alzate,Soltec Team,0,8
Georgia Williams,Team BikeExchange - Jayco,30,8
Blanka Vas,Team SD Worx,95,8
Maaike Boogaard,UAE Team ADQ,2,8
Daniela Campos,Bizkaia Durango,0,6
Alena Amialiusik,Canyon//SRAM Racing,0,6
Sandra Alonso,Ceratizit-WNT Pro Cycling,10,6
Marta Lach,Ceratizit-WNT Pro Cycling,0,6
Hanna Nilsson,Ceratizit-WNT Pro Cycling,0,6
Letizia Borghesi,EF Education-TIBCO-SVB,45,6
Omer Shapira,EF Education-TIBCO-SVB,0,6
Marie Le Net,FDJ Nouvelle-Aquitaine Futuroscope,56,6
Nina Buysman,Human Powered Health,10,6
Antri Christoforou,Human Powered Health,0,6
Barbara Malcotti,Human Powered Health,0,6
Marit Raaijmakers,Human Powered Health,0,6
Eri Yonamine,Human Powered Health,61,6
Marta Jaskulska,Liv Racing Xstra,0,6
Quinty Ton,Liv Racing Xstra,0,6
Nathalie Eklund,Massi - Tactic Women Team,0,6
Aurela Nerlo,Massi - Tactic Women Team,0,6
Miryam Maritza Nuñez,Massi - Tactic Women Team,0,6
Aude Biannic,Movistar Team,40,6
Sara Martín,Movistar Team,40,6
