Ethan Hayter,INEOS Grenadiers,196,24
Michael Matthews,Team Jayco AlUla,460,18
Geraint Thomas,INEOS Grenadiers,10,16
Rohan Dennis,Jumbo-Visma,211,16
Caleb Ewan,UniSA-Australia,282,16
Ben O'Connor,AG2R Citroën Team,330,14
Jai Hindley,BORA - hansgrohe,235,14
Luke Plapp,INEOS Grenadiers,57,14
Simon Yates,Team Jayco AlUla,800,14
Jay Vine,UAE Team Emirates,992,14
Kaden Groves,Alpecin-Deceuninck,182,12
Pello Bilbao,Bahrain - Victorious,469,12
Mauro Schmid,Soudal - Quick Step,357,12
Phil Bauhaus,Bahrain - Victorious,184,10
Jordi Meeus,BORA - hansgrohe,0,10
Maximilian Schachmann,BORA - hansgrohe,29,10
Bryan Coquard,Cofidis,326,10
Magnus Sheffield,INEOS Grenadiers,420,10
Gerben Thijssen,Intermarché - Circus - Wanty,38,10
Simon Clarke,Israel - Premier Tech,0,10
Corbin Strong,Israel - Premier Tech,218,10
Patrick Bevin,Team DSM,0,10
Marc Hirschi,UAE Team Emirates,229,10
Robert Stannard,Alpecin-Deceuninck,10,8
Luis León Sánchez,Astana Qazaqstan Team,0,8
Davide Cimolai,Cofidis,6,8
Alberto Bettiol,EF Education-EasyPost,303,8
Mikkel Frølich Honoré,EF Education-EasyPost,132,8
Michael Storer,Groupama - FDJ,44,8
Ben Swift,INEOS Grenadiers,22,8
Hugo Page,Intermarché - Circus - Wanty,384,8
Dion Smith,Intermarché - Circus - Wanty,8,8
Chris Froome,Israel - Premier Tech,0,8
Daryl Impey,Israel - Premier Tech,20,8
Gorka Izagirre,Movistar Team,183,8
Mattia Cattaneo,Soudal - Quick Step,53,8
Hugo Hofstetter,Team Arkéa Samsic,50,8
Luke Durbridge,Team Jayco AlUla,26,8
Lucas Hamilton,Team Jayco AlUla,40,8
Chris Harper,Team Jayco AlUla,6,8
Natnael Tesfatsion,Trek - Segafredo,199,8
Sjoerd Bax,UAE Team Emirates,82,8
George Bennett,UAE Team Emirates,174,8
Alessandro Covi,UAE Team Emirates,211,8
Alex Baudin,AG2R Citroën Team,32,6
Dorian Godon,AG2R Citroën Team,107,6
Paul Lapeira,AG2R Citroën Team,22,6
Nans Peters,AG2R Citroën Team,53,6
Damien Touzé,AG2R Citroën Team,22,6
Michael Gogl,Alpecin-Deceuninck,19,6
Oscar Riesebeek,Alpecin-Deceuninck,10,6
Manuele Boaro,Astana Qazaqstan Team,0,6
Fabio Felline,Astana Qazaqstan Team,86,6
Martin Laas,Astana Qazaqstan Team,0,6
Gianni Moscon,Astana Qazaqstan Team,0,6
Nikias Arndt,Bahrain - Victorious,76,6
Hermann Pernsteiner,Bahrain - Victorious,20,6
Jasha Sütterlin,Bahrain - Victorious,20,6
Giovanni Aleotti,BORA - hansgrohe,119,6
Marco Haller,BORA - hansgrohe,12,6
Victor Lafay,Cofidis,20,6
Jens Keukeleire,EF Education-EasyPost,10,6
Sean Quinn,EF Education-EasyPost,10,6
Jonas Rutsch,EF Education-EasyPost,19,6
Rudy Molard,Groupama - FDJ,156,6
Paul Penhoët,Groupama - FDJ,262,6
Laurence Pithie,Groupama - FDJ,19,6
Miles Scotson,Groupama - FDJ,47,6
Reuben Thompson,Groupama - FDJ,56,6
Leo Hayter,INEOS Grenadiers,11,6
Sven Erik Bystrøm,Intermarché - Circus - Wanty,358,6
Taco Van Der Hoorn,Intermarché - Circus - Wanty,8,6
Robert Gesink,Jumbo-Visma,0,6
Timo Roosen,Jumbo-Visma,22,6
Jos Van Emden,Jumbo-Visma,12,6
Johan Jacobs,Movistar Team,46,6
James Knox,Soudal - Quick Step,0,6
Jannik Steimle,Soudal - Quick Step,84,6
Stan Van Tricht,Soudal - Quick Step,11,6
