Lotte Kopecky,Team SD Worx - Protime,356,24
Elisa Longo Borghini,UAE Team ADQ,1335,24
Marlen Reusser,Movistar Team,1133,20
Lorena Wiebes,Team SD Worx - Protime,484,18
Anna Van Der Breggen,Team SD Worx - Protime,667,16
Marianne Vos,Team Visma | Lease a Bike,160,16
Juliette Labous,FDJ - SUEZ,162,14
Chiara Consonni,CANYON//SRAM zondacrypto,10,12
Antonia Niedermaier,CANYON//SRAM zondacrypto,498,12
Évita Muzic,FDJ - SUEZ,280,12
Pauliena Rooijakkers,Fenix-Deceuninck,628,12
Ashleigh Moolman,AG Insurance - Soudal Team,167,10
Soraya Paladin,CANYON//SRAM zondacrypto,133,10
Cecilie Uttrup Ludwig,CANYON//SRAM zondacrypto,108,10
Christina Schweinberger,Fenix-Deceuninck,180,10
Ruth Edwards,Human Powered Health,9,10
Anna Henderson,Lidl - Trek,436,10
Shirin Van Anrooij,Lidl - Trek,458,10
Silke Smulders,Liv AlUla Jayco,252,10
Monica Trinca Colonel,Liv AlUla Jayco,92,10
Liane Lippert,Movistar Team,482,10
Tamara Dronova-Balabolina,Roland,0,10
Pfeiffer Georgi,Team Picnic PostNL,5,10
Eleonora Camilla Gasparrini,UAE Team ADQ,135,10
Silvia Persico,UAE Team ADQ,114,10
Anniina Ahtosalo,Uno-X Mobility,0,10
Mireia Benito,AG Insurance - Soudal Team,82,8
Sarah Gigante,AG Insurance - Soudal Team,850,8
Urška Žigart,AG Insurance - Soudal Team,349,8
Elena Hartmann,CERATIZIT Pro Cycling Team,33,8
Marta Jaskulska,CERATIZIT Pro Cycling Team,4,8
Sarah Van Dam,CERATIZIT Pro Cycling Team,160,8
Kim Cadzow,EF Education-Oatly,0,8
Yara Kastelijn,Fenix-Deceuninck,289,8
Marthe Truyen,Fenix-Deceuninck,66,8
Iurani Blanco,Human Powered Health,2,8
Giada Borghesi,Human Powered Health,0,8
Barbara Malcotti,Human Powered Health,358,8
Silvia Zanardi,Human Powered Health,0,8
Alice Maria Arzuffi,Laboral Kutxa - Fundación Euskadi,0,8
Usoa Ostolaza,Laboral Kutxa - Fundación Euskadi,120,8
Ane Santesteban,Laboral Kutxa - Fundación Euskadi,0,8
Lucinda Brand,Lidl - Trek,65,8
