Geraint Thomas,Ineos Grenadiers,All Rounder,260,24
Simon Yates,Mitchelton-Scott,Climber,45,22
Jakob Fuglsang,Astana Pro Team,All Rounder,1197,20
Steven Kruijswijk,Team Jumbo-Visma,All Rounder,191,20
Vincenzo Nibali,Trek - Segafredo,All Rounder,1116,18
Aleksandr Vlasov,Astana Pro Team,All Rounder,0,16
Peter Sagan,BORA - hansgrohe,Sprinter,1486,16
Miguel Angel López,Astana Pro Team,Climber,0,14
Rafał Majka,BORA - hansgrohe,Climber,1039,14
Wilco Kelderman,Team Sunweb,All Rounder,2174,14
Michael Matthews,Team Sunweb,Sprinter,771,14
João Almeida,Deceuninck - Quick Step,All Rounder,2966,12
Arnaud Démare,Groupama - FDJ,Sprinter,1363,12
Pello Bilbao,Bahrain - McLaren,Climber,1481,10
Patrick Konrad,BORA - hansgrohe,All Rounder,1386,10
Ilnur Zakarin,CCC Team,Climber,377,10
Fausto Masnada,Deceuninck - Quick Step,Climber,946,10
Rohan Dennis,Ineos Grenadiers,All Rounder,1022,10
Tao Geoghegan Hart,Ineos Grenadiers,All Rounder,2459,10
Domenico Pozzovivo,NTT Pro Cycling,Climber,871,10
Giulio Ciccone,Trek - Segafredo,Climber,24,10
Fernando Gaviria,UAE-Team Emirates,Sprinter,247,10
Diego Ulissi,UAE-Team Emirates,All Rounder,651,10
Andrea Vendrame,AG2R La Mondiale,Unclassed,780,8
Óscar Rodríguez,Astana Pro Team,Climber,102,8
Elia Viviani,Cofidis Solutions Crédits,Sprinter,310,8
Davide Ballerini,Deceuninck - Quick Step,Sprinter,734,8
James Knox,Deceuninck - Quick Step,Climber,629,8
Simon Clarke,EF Pro Cycling,Unclassed,454,8
Lawson Craddock,EF Pro Cycling,Unclassed,157,8
Ruben Guerreiro,EF Pro Cycling,Unclassed,841,8
Jhonatan Narváez,Ineos Grenadiers,Unclassed,461,8
Thomas De Gendt,Lotto Soudal,Unclassed,685,8
Carl Fredrik Hagen,Lotto Soudal,Climber,31,8
Jack Haig,Mitchelton-Scott,Climber,16,8
Lucas Hamilton,Mitchelton-Scott,Unclassed,302,8
Antwan Tolhoek,Team Jumbo-Visma,Climber,2,8
Sam Oomen,Team Sunweb,Climber,278,8
Gianluca Brambilla,Trek - Segafredo,Climber,139,8
Joe Dombrowski,UAE-Team Emirates,Climber,46,8
Giovanni Visconti,Vini Zabù - KTM,Unclassed,426,8
François Bidard,AG2R La Mondiale,Unclassed,90,6
