Geraint Thomas;Ineos Grenadiers;LEADER;260;24
Simon Yates;Mitchelton-Scott;CLIMBER;45;22
Jakob Fuglsang;Astana Pro Team;LEADER;1197;20
Steven Kruijswijk;Team Jumbo-Visma;LEADER;191;20
Vincenzo Nibali;Trek - Segafredo;LEADER;1116;18
Aleksandr Vlasov;Astana Pro Team;LEADER;0;16
Peter Sagan;BORA - hansgrohe;SPRINTER;1486;16
Miguel Angel López;Astana Pro Team;CLIMBER;0;14
Rafał Majka;BORA - hansgrohe;CLIMBER;1039;14
Wilco Kelderman;Team Sunweb;LEADER;2174;14
Michael Matthews;Team Sunweb;SPRINTER;771;14
João Almeida;Deceuninck - Quick Step;LEADER;2966;12
Arnaud Démare;Groupama - FDJ;SPRINTER;1363;12
Pello Bilbao;Bahrain - McLaren;CLIMBER;1481;10
Patrick Konrad;BORA - hansgrohe;LEADER;1386;10
Ilnur Zakarin;CCC Team;CLIMBER;377;10
Fausto Masnada;Deceuninck - Quick Step;CLIMBER;946;10
Rohan Dennis;Ineos Grenadiers;LEADER;1022;10
Tao Geoghegan Hart;Ineos Grenadiers;LEADER;2459;10
Domenico Pozzovivo;NTT Pro Cycling;CLIMBER;871;10
Giulio Ciccone;Trek - Segafredo;CLIMBER;24;10
Fernando Gaviria;UAE-Team Emirates;SPRINTER;247;10
Diego Ulissi;UAE-Team Emirates;LEADER;651;10
Andrea Vendrame;AG2R La Mondiale;UNCLASSED;780;8
Óscar Rodríguez;Astana Pro Team;CLIMBER;102;8
Elia Viviani;Cofidis Solutions Crédits;SPRINTER;310;8
Davide Ballerini;Deceuninck - Quick Step;SPRINTER;734;8
James Knox;Deceuninck - Quick Step;CLIMBER;629;8
Simon Clarke;EF Pro Cycling;UNCLASSED;454;8
Lawson Craddock;EF Pro Cycling;UNCLASSED;157;8
Ruben Guerreiro;EF Pro Cycling;UNCLASSED;841;8
Jhonatan Narváez;Ineos Grenadiers;UNCLASSED;461;8
Thomas De Gendt;Lotto Soudal;UNCLASSED;685;8
Carl Fredrik Hagen;Lotto Soudal;CLIMBER;31;8
Jack Haig;Mitchelton-Scott;CLIMBER;16;8
Lucas Hamilton;Mitchelton-Scott;UNCLASSED;302;8
Antwan Tolhoek;Team Jumbo-Visma;CLIMBER;2;8
Sam Oomen;Team Sunweb;CLIMBER;278;8
Gianluca Brambilla;Trek - Segafredo;CLIMBER;139;8
Joe Dombrowski;UAE-Team Emirates;CLIMBER;46;8
Giovanni Visconti;Vini Zabù - KTM;UNCLASSED;426;8
François Bidard;AG2R La Mondiale;UNCLASSED;90;6
Geoffrey Bouchard;AG2R La Mondiale;UNCLASSED;184;6
Tony Gallopin;AG2R La Mondiale;UNCLASSED;2;6
Aurélien Paret-Peintre;AG2R La Mondiale;UNCLASSED;136;6
