Derek Gee,Israel - Premier Tech,842,20
Mauri Vansevenant,Soudal Quick-Step,230,20
Magnus Cort,Uno-X Mobility,1061,20
Jefferson Cepeda,Movistar Team,329,18
Davide Piganzoli,Team Polti VisitMalta,752,18
Giovanni Lonardi,Team Polti VisitMalta,266,16
Urko Berrade,Equipo Kern Pharma,123,14
Carlos Canal,Movistar Team,467,14
Jonathan Klever Caicedo,Petrolike,54,14
Fredrik Dversnes,Uno-X Mobility,156,14
Andreas Kron,Uno-X Mobility,51,14
Eric Antonio Fagúndez,Burgos Burpellet BH,461,12
Simon Clarke,Israel - Premier Tech,16,12
Marco Frigo,Israel - Premier Tech,21,12
Nelson Oliveira,Movistar Team,67,12
Thomas Pesenti,Soudal Quick-Step,176,12
Mirco Maestri,Team Polti VisitMalta,94,12
Johannes Kulset,Uno-X Mobility,216,12
Filippo Magli,VF Group - Bardiani CSF - Faizanè,47,12
Artem Nych,Anicolor / Tien 21,16,10
Jakob Fuglsang,Israel - Premier Tech,51,10
Cesar Macias,Petrolike,176,10
Alessandro Tonelli,Team Polti VisitMalta,18,10
Luca Covili,VF Group - Bardiani CSF - Faizanè,38,10
Martin Marcellusi,VF Group - Bardiani CSF - Faizanè,172,10
Xavier Cañellas,Anicolor / Tien 21,70,8
Rubén Fernández,Anicolor / Tien 21,118,8
Rafael Reis,Anicolor / Tien 21,10,8
Harrison Wood,Anicolor / Tien 21,15,8
Josh Burnett,Burgos Burpellet BH,221,8
Sergio Geovani Chumil,Burgos Burpellet BH,503,8
Ander Okamika,Burgos Burpellet BH,216,8
Jambaljamts Sainbayar,Burgos Burpellet BH,71,8
Alex Molenaar,Caja Rural - Seguros RGA,42,8
Mauricio Moreira,Efapel Cycling,26,8
Iván Cobo,Equipo Kern Pharma,445,8
Ibon Ruiz,Equipo Kern Pharma,0,8
Mats Wenzel,Equipo Kern Pharma,30,8
Txomin Juaristi,Euskaltel - Euskadi,185,8
Jordi López,Euskaltel - Euskadi,0,8
Clément Braz Afonso,Groupama - FDJ,47,8
Rémy Rochas,Groupama - FDJ,99,8
Hugo Houle,Israel - Premier Tech,56,8
Jorge Arcas,Movistar Team,22,8
Albert Torres,Movistar Team,12,8
James Knox,Soudal Quick-Step,21,8
Federico Savino,Soudal Quick-Step,33,8
Andrea Pietrobon,Team Polti VisitMalta,14,8
Fernando Tercero,Team Polti VisitMalta,14,8
Simon Dalby,Uno-X Mobility,115,8
Martin Urianstad,Uno-X Mobility,68,8
Francisco Campos,APHotels & Resorts / Tavira / SC Farense,0,6
Delio Fernández,APHotels & Resorts / Tavira / SC Farense,0,6
Jesús David Peña,APHotels & Resorts / Tavira / SC Farense,226,6
Carlos Salgueiro,APHotels & Resorts / Tavira / SC Farense,0,6
Afonso Silva,APHotels & Resorts / Tavira / SC Farense,0,6
Daniel Cavia,Burgos Burpellet BH,189,6
Sinuhé Fernández,Burgos Burpellet BH,56,6
Abel Balderstone,Caja Rural - Seguros RGA,36,6
Alex Diaz,Caja Rural - Seguros RGA,2,6
Samuel Fernández,Caja Rural - Seguros RGA,84,6
Francisco Joel Peñuela,Caja Rural - Seguros RGA,136,6
Santiago Mesa,Efapel Cycling,151,6
Joaquim Silva,Efapel Cycling,8,6
Keegan Swirbul,Efapel Cycling,38,6
Unai Aznar,Equipo Kern Pharma,5,6
Mikel Retegi,Equipo Kern Pharma,5,6
Jon Agirre,Euskaltel - Euskadi,0,6
Iker Mintegi,Euskaltel - Euskadi,0,6
Jokin Murguialday,Euskaltel - Euskadi,51,6
Maxime Decomble,Groupama - FDJ,223,6
Oscar Nilsson-Julien,Groupama - FDJ,0,6
Daniel Lima,Israel - Premier Tech,18,6
Pau Martí,Israel - Premier Tech,16,6
Antonio Pedrero,Movistar Team,22,6
Diego Pescador,Movistar Team,22,6
Edison Alejandro Callejas Santos,Petrolike,59,6
Filippo D'Aiuto,Petrolike,4,6
Andrii Ponomar,Petrolike,4,6
César Fonte,Rádio Popular - Paredes - Boavista,0,6
Tiago Leal,Rádio Popular - Paredes - Boavista,0,6
Viktor Soenens,Soudal Quick-Step,228,6
Jordi Warlop,Soudal Quick-Step,100,6
João Matias,Tavfer-Ovos Matinados-Mortágua,33,6
Diego Pablo Sevilla,Team Polti VisitMalta,19,6
Sakarias Koller Løland,Uno-X Mobility,68,6
Luca Paletti,VF Group - Bardiani CSF - Faizanè,101,6
Matteo Scalco,VF Group - Bardiani CSF - Faizanè,23,6
Alex Tolio,VF Group - Bardiani CSF - Faizanè,8,6
Filippo Turconi,VF Group - Bardiani CSF - Faizanè,62,6
Victor Martínez,Anicolor / Tien 21,14,4
Pedro Silva,Anicolor / Tien 21,1,4
Ailetz Lasa,APHotels & Resorts / Tavira / SC Farense,0,4
Guilherme Mestre,APHotels & Resorts / Tavira / SC Farense,0,4
Julen Arriola-Bengoa,Caja Rural - Seguros RGA,2,4
Jan Castellon,Caja Rural - Seguros RGA,2,4
André Carvalho,Efapel Cycling,8,4
Pedro Castro Pinto,Efapel Cycling,18,4
Pedro Pinto,Efapel Cycling,8,4
Ibai Azanza,Equipo Kern Pharma,0,4
Nicolás Alustiza,Euskaltel - Euskadi,10,4
Ander Ganzabal,Euskaltel - Euskadi,0,4
Max Bock,Groupama - FDJ,0,4
Rémi Daumas,Groupama - FDJ,25,4
Gonzalo Ariño,Illes Balears Arabay,0,4
Unai Esparza,Illes Balears Arabay,10,4
Asier Pablo Gonzalez,Illes Balears Arabay,12,4
Pau Llaneras,Illes Balears Arabay,10,4
José Marín,Illes Balears Arabay,0,4
Alvaro Sagrado,Illes Balears Arabay,22,4
Sergio Trueba,Illes Balears Arabay,27,4
Jose Antonio Prieto,Petrolike,44,4
Jose Juan Prieto,Petrolike,54,4
Alberto Alvarez,Rádio Popular - Paredes - Boavista,0,4
Daniel Dias,Rádio Popular - Paredes - Boavista,0,4
Hélder Gonçalves,Rádio Popular - Paredes - Boavista,0,4
Lucas Lopes,Rádio Popular - Paredes - Boavista,0,4
Raúl Rota,Rádio Popular - Paredes - Boavista,3,4
Gauthier Servranckx,Soudal Quick-Step,21,4
Francisco Alves,Tavfer-Ovos Matinados-Mortágua,0,4
Rafael Barbas,Tavfer-Ovos Matinados-Mortágua,0,4
António Barbio,Tavfer-Ovos Matinados-Mortágua,0,4
Gonçalo Carvalho,Tavfer-Ovos Matinados-Mortágua,0,4
Lois Dejesus,Tavfer-Ovos Matinados-Mortágua,0,4
Ángel Sánchez,Tavfer-Ovos Matinados-Mortágua,0,4
