Demi Vollering,FDJ - SUEZ,668,28
Anna Van Der Breggen,Team SD Worx - Protime,21,20
Mischa Bredewold,Team SD Worx - Protime,789,18
Évita Muzic,FDJ - SUEZ,241,16
Karlijn Swinkels,UAE Team ADQ,138,16
Thalita De Jong,Human Powered Health,368,14
Mavi García,Liv AlUla Jayco,198,14
Silke Smulders,Liv AlUla Jayco,18,14
Olivia Baril,Movistar Team,10,14
Liane Lippert,Movistar Team,158,14
Marta Lach,Team SD Worx - Protime,34,14
Antonia Niedermaier,CANYON//SRAM zondacrypto,231,12
Cecilie Uttrup Ludwig,CANYON//SRAM zondacrypto,22,12
Pauliena Rooijakkers,Fenix-Deceuninck,113,12
Gaia Realini,Lidl - Trek,0,12
Shirin Van Anrooij,Lidl - Trek,62,12
Tamara Dronova-Balabolina,Roland,0,12
Justine Ghekiere,AG Insurance - Soudal Team,393,10
Soraya Paladin,CANYON//SRAM zondacrypto,161,10
Elena Hartmann,CERATIZIT Pro Cycling Team,46,10
Amber Kraak,FDJ - SUEZ,29,10
Yara Kastelijn,Fenix-Deceuninck,8,10
Ruth Edwards,Human Powered Health,36,10
Usoa Ostolaza,Laboral Kutxa - Fundación Euskadi,100,10
Mareille Meijering,Movistar Team,28,10
Marion Bunel,Team Visma | Lease a Bike,4,10
Erica Magnaldi,UAE Team ADQ,0,10
Mireia Benito,AG Insurance - Soudal Team,28,8
Urška Žigart,AG Insurance - Soudal Team,123,8
Ricarda Bauernfeind,CANYON//SRAM zondacrypto,12,8
Marta Jaskulska,CERATIZIT Pro Cycling Team,59,8
Sarah Van Dam,CERATIZIT Pro Cycling Team,611,8
Léa Curinier,FDJ - SUEZ,29,8
Iurani Blanco,Human Powered Health,6,8
Giada Borghesi,Human Powered Health,6,8
Alice Maria Arzuffi,Laboral Kutxa - Fundación Euskadi,0,8
Ane Santesteban,Laboral Kutxa - Fundación Euskadi,5,8
Lauretta Hanson,Lidl - Trek,0,8
Amanda Spratt,Lidl - Trek,281,8
Caroline Andersson,Liv AlUla Jayco,104,8
Giorgia Vettorello,Roland,0,8
Eleonora Ciabocco,Team Picnic PostNL,83,8
Steffi Häberlin,Team SD Worx - Protime,128,8
Mikayla Harvey,Team SD Worx - Protime,34,8
Marie Schreiber,Team SD Worx - Protime,34,8
Paula Blasi,UAE Team ADQ,105,8
Karolina Perekitko,Winspace Orange Seal,130,8
Anya Louw,AG Insurance - Soudal Team,28,6
Gaia Masetti,AG Insurance - Soudal Team,28,6
Julie Van De Velde,AG Insurance - Soudal Team,215,6
Andrea Casagranda,BePink - Imatra - Bongioanni,0,6
Elisabeth Ebras,BePink - Imatra - Bongioanni,0,6
Silvia Milesi,BePink - Imatra - Bongioanni,0,6
Elisa Valtulini,BePink - Imatra - Bongioanni,0,6
Wilma Aintila,CANYON//SRAM zondacrypto,2,6
Justyna Czapla,CANYON//SRAM zondacrypto,12,6
Fariba Hashimi,CERATIZIT Pro Cycling Team,4,6
Célia Le Mouel,CERATIZIT Pro Cycling Team,61,6
Dilyxine Miermont,CERATIZIT Pro Cycling Team,207,6
Valentina Basilico,Eneicat - CMTeam,0,6
Daniela Campos,Eneicat - CMTeam,0,6
Ariana Gilabert,Eneicat - CMTeam,15,6
Nina Buijsman,FDJ - SUEZ,29,6
Eglantine Rayer,FDJ - SUEZ,14,6
Ceylin del Carmen Alvarado,Fenix-Deceuninck,8,6
Millie Couzens,Fenix-Deceuninck,153,6
Inge Van Der Heijden,Fenix-Deceuninck,8,6
Annemarie Worst,Fenix-Deceuninck,8,6
Katia Ragusa,Human Powered Health,48,6
Debora Silvestri,Laboral Kutxa - Fundación Euskadi,0,6
Ava Holmgren,Lidl - Trek,0,6
Isabella Holmgren,Lidl - Trek,92,6
Jeanne Korevaar,Liv AlUla Jayco,13,6
Quinty Ton,Liv AlUla Jayco,54,6
Sara Martín,Movistar Team,48,6
Paula Patiño,Movistar Team,10,6
Claire Steels,Movistar Team,0,6
Morgane Coston,Roland,89,6
Petra Stiasny,Roland,69,6
Stine Dale,Team Coop - Repsol,0,6
India Grangier,Team Coop - Repsol,45,6
Tiril Jørgensen,Team Coop - Repsol,61,6
Stina Kagevi,Team Coop - Repsol,2,6
Juliana Londoño,Team Picnic PostNL,0,6
Esmée Peperkamp,Team Picnic PostNL,0,6
Abi Smith,Team Picnic PostNL,0,6
Maud Oudeman,Team Visma | Lease a Bike,118,6
Rosita Reijnhout,Team Visma | Lease a Bike,4,6
Eva Van Agt,Team Visma | Lease a Bike,109,6
Margaux Vigié,Team Visma | Lease a Bike,264,6
Alena Ivanchenko,UAE Team ADQ,0,6
Greta Marturano,UAE Team ADQ,15,6
Camille Fahy,Winspace Orange Seal,0,6
Nadia Gontova,Winspace Orange Seal,81,6
Marie-Morgane Le Deunff,Winspace Orange Seal,0,6
Florence Normand,Winspace Orange Seal,0,6
Linda Laporta,BePink - Imatra - Bongioanni,0,4
Gaia Segato,BePink - Imatra - Bongioanni,119,4
Angie Mariana Londoño,Eneicat - CMTeam,0,4
Nicole Steinmetz,Eneicat - CMTeam,0,4
Carolina Vargas,Eneicat - CMTeam,0,4
Carlotta Cipressi,Human Powered Health,6,4
Naia Amondarain,Laboral Kutxa - Fundación Euskadi,0,4
Idoia Eraso,Laboral Kutxa - Fundación Euskadi,0,4
Anna Trevisi,Liv AlUla Jayco,8,4
Giulia Giuliani,Roland,0,4
Ella Heremans,Team Picnic PostNL,0,4
Becky Storrie,Team Picnic PostNL,0,4
Mijntje Geurts,Team Visma | Lease a Bike,16,4
Jenaya Francis,Winspace Orange Seal,0,4
