Primož Roglič,Jumbo-Visma,679,28
Adam Yates,INEOS Grenadiers,304,22
Jonas Vingegaard,Jumbo-Visma,549,20
Julian Alaphilippe,Quick-Step Alpha Vinyl Team,570,20
Sergio Higuita,BORA - hansgrohe,4,18
David Gaudu,Groupama - FDJ,248,18
Daniel Felipe Martínez,INEOS Grenadiers,998,18
Remco Evenepoel,Quick-Step Alpha Vinyl Team,739,18
Aleksandr Vlasov,BORA - hansgrohe,727,16
Michael Woods,Israel - Premier Tech,118,16
Enric Mas,Movistar Team,339,16
Pello Bilbao,Bahrain - Victorious,647,14
Geraint Thomas,INEOS Grenadiers,249,14
Sepp Kuss,Jumbo-Visma,42,14
Ion Izagirre,Cofidis,700,12
Rigoberto Urán,EF Education-EasyPost,205,12
Tao Geoghegan Hart,INEOS Grenadiers,87,12
Pierre Latour,TotalEnergies,111,12
Marc Soler,UAE Team Emirates,423,12
Diego Ulissi,UAE Team Emirates,229,12
Aurélien Paret-Peintre,AG2R Citroën Team,1,10
Emanuel Buchmann,BORA - hansgrohe,17,10
Felix Großschartner,BORA - hansgrohe,20,10
Ruben Guerreiro,EF Education-EasyPost,154,10
Mark Padun,EF Education-EasyPost,0,10
Carlos Rodriguez,INEOS Grenadiers,300,10
Rémi Cavagna,Quick-Step Alpha Vinyl Team,184,10
Lucas Hamilton,Team BikeExchange - Jayco,10,10
George Bennett,UAE Team Emirates,0,10
Alessandro Covi,UAE Team Emirates,33,10
Andrea Vendrame,AG2R Citroën Team,0,8
Gino Mäder,Bahrain - Victorious,18,8
Luis León Sánchez,Bahrain - Victorious,8,8
Lennard Kämna,BORA - hansgrohe,10,8
Mikel Nieve,Caja Rural - Seguros RGA,0,8
Victor Lafay,Cofidis,44,8
Sébastien Reichenbach,Groupama - FDJ,66,8
Gorka Izagirre,Movistar Team,49,8
Nelson Oliveira,Movistar Team,66,8
Antonio Pedrero,Movistar Team,2,8
Sergio Samitier,Movistar Team,19,8
James Knox,Quick-Step Alpha Vinyl Team,42,8
Mauri Vansevenant,Quick-Step Alpha Vinyl Team,55,8
Tanel Kangert,Team BikeExchange - Jayco,0,8
Nick Schultz,Team BikeExchange - Jayco,0,8
Andreas Leknessund,Team DSM,10,8
Gianluca Brambilla,Trek - Segafredo,114,8
Kenny Elissonde,Trek - Segafredo,25,8
Antwan Tolhoek,Trek - Segafredo,0,8
Davide Formolo,UAE Team Emirates,190,8
Rafał Majka,UAE Team Emirates,28,8
Jan Polanc,UAE Team Emirates,53,8
Stefan De Bod,Astana Qazaqstan Team,0,6
Sebastián Henao,Astana Qazaqstan Team,0,6
Javier Romo,Astana Qazaqstan Team,0,6
Yukiya Arashiro,Bahrain - Victorious,8,6
Hermann Pernsteiner,Bahrain - Victorious,18,6
Jetse Bol,Burgos-BH,0,6
Óscar Cabedo,Burgos-BH,0,6
Ángel Madrazo,Burgos-BH,0,6
Daniel Navarro,Burgos-BH,35,6
Julen Amezqueta,Caja Rural - Seguros RGA,22,6
Fernando Barceló,Caja Rural - Seguros RGA,30,6
Jonathan Lastra,Caja Rural - Seguros RGA,71,6
