Annemiek Van Vleuten,Movistar Team,618,24
Cecilie Uttrup Ludwig,FDJ Nouvelle Aquitaine Futuroscope,410,20
Mavi García,Alé BTC Ljubljana,215,18
Marta Cavalli,FDJ Nouvelle Aquitaine Futuroscope,8,16
Ashleigh Moolman,SD Worx,444,16
Niamh Fisher-Black,SD Worx,216,14
Liane Lippert,Team DSM,40,14
Elise Chabbey,Canyon SRAM Racing ,334,12
Christine Majerus,SD Worx,221,12
Juliette Labous,Team DSM,250,12
Coryn Rivera,Team DSM,323,12
Lucinda Brand,Trek-Segafredo Women,349,12
Eugenia Bujak,Alé BTC Ljubljana,34,10
Tatiana Guderzo,Alé BTC Ljubljana,125,10
Urša Pintar,Alé BTC Ljubljana,55,10
Marlen Reusser,Alé BTC Ljubljana,339,10
Alice Barnes,Canyon SRAM Racing ,140,10
Hannah Barnes,Canyon SRAM Racing ,23,10
Mikayla Harvey,Canyon SRAM Racing ,112,10
Sheyla Gutiérrez,Movistar Team,18,10
Leah Thomas,Movistar Team,63,10
Mischa Bredewold,Parkhotel Valkenburg,27,10
Elena Cecchini,SD Worx,114,10
Sarah Roy,Team BikeExchange,173,10
Urška Žigart,Team BikeExchange,5,10
Floortje Mackaij,Team DSM,76,10
Kristen Faulkner,Team TIBCO - SVB,696,10
Audrey Cordon-Ragot,Trek-Segafredo Women,26,10
Chloe Hosking,Trek-Segafredo Women,176,10
Emilie Moberg,Drops - Le Col s/b TEMPUR,34,8
Marjolein Van'T Geloof,Drops - Le Col s/b TEMPUR,0,8
Sofia Bertizzolo,Liv Racing,45,8
Alison Jackson,Liv Racing,285,8
Sabrina Stultiens,Liv Racing,2,8
Barbara Guarischi,Movistar Team,72,8
Vita Heine,Norway,10,8
Yara Kastelijn,Plantur-Pura,146,8
Inge Van Der Heijden,Plantur-Pura,0,8
Roxane Fournier,SD Worx,117,8
Anna Shackley,SD Worx,161,8
Susanne Andersen,Team DSM,215,8
Anna Henderson,Team Jumbo-Visma Women,0,8
Anouska Koster,Team Jumbo-Visma Women,27,8
Riejanne Markus,Team Jumbo-Visma Women,402,8
Chiara Consonni,Valcar - Travel & Service,100,8
Ilaria Sanguineti,Valcar - Travel & Service,31,8
Rotem Gafinovitz,Bingoal Casino - Chevalmeire,0,6
Rossella Ratto,Bingoal Casino - Chevalmeire,71,6
Natalie Van Gogh,Bingoal Casino - Chevalmeire,22,6
Ella Harris,Canyon SRAM Racing ,74,6
Alexis Ryan,Canyon SRAM Racing ,8,6
Joscelin Lowden,Drops - Le Col s/b TEMPUR,78,6
Sara Penton,Drops - Le Col s/b TEMPUR,0,6
Stine Borgli,FDJ Nouvelle Aquitaine Futuroscope,81,6
Brodie Chapman,FDJ Nouvelle Aquitaine Futuroscope,38,6
Eugénie Duval,FDJ Nouvelle Aquitaine Futuroscope,78,6
Jeanne Korevaar,Liv Racing,2,6
Aude Biannic,Movistar Team,61,6
Mie Bjørndal Ottestad,Norway,5,6
Femke Markus,Parkhotel Valkenburg,96,6
Rachel Neylan,Parkhotel Valkenburg,229,6
Annemarie Worst,Plantur-Pura,0,6
Janneke Ensing,Team BikeExchange,76,6
Lucy Kennedy,Team BikeExchange,26,6
Julie Van De Velde,Team Jumbo-Visma Women,96,6
Nancy Van Der Burg,Team Jumbo-Visma Women,13,6
Tanja Erath,Team TIBCO - SVB,51,6
Nina Kessler,Team TIBCO - SVB,20,6
Eri Yonamine,Team TIBCO - SVB,20,6
Elynor Bäckstedt,Trek-Segafredo Women,6,6
Shirin Van Anrooij,Trek-Segafredo Women,41,6
Eleonora Camilla Gasparrini,Valcar - Travel & Service,57,6
Silvia Persico,Valcar - Travel & Service,2,6
Sophie Wright,Alé BTC Ljubljana,34,4
Demi De Jong,Bingoal Casino - Chevalmeire,0,4
Justine Ghekiere,Bingoal Casino - Chevalmeire,0,4
Claudia Jongerius,Bingoal Casino - Chevalmeire,0,4
Anna Christian,Drops - Le Col s/b TEMPUR,85,4
Elise Marie Olsen,Drops - Le Col s/b TEMPUR,0,4
Evy Kuijpers,Liv Racing,2,4
Gloria Rodríguez,Movistar Team,18,4
Nina Buysman,Parkhotel Valkenburg,130,4
Femke Gerritse,Parkhotel Valkenburg,0,4
Pien Limpens,Parkhotel Valkenburg,0,4
Manon Bakker,Plantur-Pura,0,4
Sanne Cant,Plantur-Pura,129,4
Julie De Wilde,Plantur-Pura,0,4
Jessica Allen,Team BikeExchange,5,4
Caroline Andersson,Team Coop - Hitec Products,0,4
Ingvild Gaskjenn,Team Coop - Hitec Products,83,4
Amalie Lutro,Team Coop - Hitec Products,0,4
Mari Hole Mohr,Team Coop - Hitec Products,0,4
Ann Helen Olsen,Team Coop - Hitec Products,0,4
Anne Dorthe Ysland,Team Coop - Hitec Products,7,4
Wilma Olausson,Team DSM,42,4
Diana Peñuela,Team TIBCO - SVB,22,4
Trixi Worrack,Trek-Segafredo Women,6,4
Alice Maria Arzuffi,Valcar - Travel & Service,79,4
Silvia Pollicini,Valcar - Travel & Service,2,4
