Lorena Wiebes,Team SD Worx - Protime,1018,28
Lotte Kopecky,Team SD Worx - Protime,614,22
Chiara Consonni,UAE Team ADQ,25,18
Charlotte Kool,Team dsm-firmenich PostNL,657,16
Soraya Paladin,Canyon//SRAM Racing,390,14
Cédrine Kerbaol,CERATIZIT-WNT Pro Cycling Team,69,14
Daria Pikulik,Human Powered Health,0,14
Pfeiffer Georgi,Team dsm-firmenich PostNL,62,14
Agnieszka Skalniak-Sójka,Canyon//SRAM Racing,116,12
Maike Van Der Duin,Canyon//SRAM Racing,129,12
Martina Fidanza,CERATIZIT-WNT Pro Cycling Team,44,12
Marta Lach,CERATIZIT-WNT Pro Cycling Team,188,12
Elizabeth Deignan,Lidl - Trek,104,12
Megan Jastrab,Team dsm-firmenich PostNL,4,12
Eleonora Gasparrini,UAE Team ADQ,311,12
Ally Wollaston,AG Insurance - Soudal Team,194,10
Mylène De Zoete,CERATIZIT-WNT Pro Cycling Team,269,10
Kathrin Schweinberger,CERATIZIT-WNT Pro Cycling Team,130,10
Audrey Cordon-Ragot,Human Powered Health,0,10
Clara Copponi,Lidl - Trek,465,10
Georgia Baker,Liv AlUla Jayco,39,10
Rachele Barbieri,Team dsm-firmenich PostNL,12,10
Femke Gerritse,Team SD Worx - Protime,46,10
Christine Majerus,Team SD Worx - Protime,48,10
Anniina Ahtosalo,Uno-X Mobility,35,10
Maria Giulia Confalonieri,Uno-X Mobility,344,10
Amalie Dideriksen,Uno-X Mobility,20,10
Sofie Van Rooijen,VolkerWessels Womens Pro Cycling Team,95,10
Marthe Goossens,AG Insurance - Soudal Team,0,8
Kimberly Le Court-Pienaar,AG Insurance - Soudal Team,0,8
Zoe Bäckstedt,Canyon//SRAM Racing,8,8
Romy Kasper,Human Powered Health,0,8
Lauretta Hanson,Lidl - Trek,14,8
Kristýna Burlová,Lifeplus Wahoo,98,8
Letizia Paternoster,Liv AlUla Jayco,557,8
Roxane Fournier,St Michel - Mavic - Auber93 WE,218,8
Franziska Koch,Team dsm-firmenich PostNL,12,8
Lieke Nooijen,Team Visma | Lease a Bike,0,8
Eugenia Bujak,UAE Team ADQ,5,8
Elinor Barker,Uno-X Mobility,5,8
Leonie Bentveld,AG Insurance - Soudal Team,0,6
Maaike Boogaard,AG Insurance - Soudal Team,0,6
Ilse Pluimers,AG Insurance - Soudal Team,0,6
Sophie Marr,ARA | Skip Capital,0,6
Lucinda Stewart,ARA | Skip Capital,51,6
Tiffany Cromwell,Canyon//SRAM Racing,32,6
Alice Towers,Canyon//SRAM Racing,47,6
Lea Lin Teutenberg,CERATIZIT-WNT Pro Cycling Team,142,6
Alice Sharpe,DAS - Hutchinson - Brother - UK,35,6
Nora Tveit,DAS - Hutchinson - Brother - UK,20,6
Elynor Bäckstedt,Lidl - Trek,14,6
Fleur Moors,Lidl - Trek,14,6
Ilaria Sanguineti,Lidl - Trek,14,6
Alicia González,Lifeplus Wahoo,115,6
Kaja Rysz,Lifeplus Wahoo,0,6
Teniel Campbell,Liv AlUla Jayco,16,6
Georgie Howe,Liv AlUla Jayco,16,6
Jeanne Korevaar,Liv AlUla Jayco,40,6
Marion Borras,St Michel - Mavic - Auber93 WE,19,6
Dilyxine Miermont,St Michel - Mavic - Auber93 WE,21,6
Monica Greenwood,Team Coop - Repsol,1,6
Sigrid Ytterhus Haugset,Team Coop - Repsol,0,6
Tiril Jørgensen,Team Coop - Repsol,0,6
April Tacey,Team Coop - Repsol,23,6
Daniek Hengeveld,Team dsm-firmenich PostNL,12,6
Barbara Guarischi,Team SD Worx - Protime,46,6
Femke Markus,Team SD Worx - Protime,46,6
Carlijn Achtereekte,Team Visma | Lease a Bike,0,6
Linda Riedmann,Team Visma | Lease a Bike,93,6
Margaux Vigie,Team Visma | Lease a Bike,0,6
Bronwyn Macgregor,Torelli,0,6
Anastasia Carbonari,UAE Team ADQ,0,6
Mikayla Harvey,UAE Team ADQ,0,6
Marte Berg Edseth,Uno-X Mobility,47,6
Margot Vanpachtenbeke,VolkerWessels Womens Pro Cycling Team,243,6
Alli Anderson,ARA | Skip Capital,0,4
Lucie Fityus,ARA | Skip Capital,0,4
Rachael Wales,ARA | Skip Capital,0,4
Keira Will,ARA | Skip Capital,0,4
Andrea Casagranda,Bepink - Bongioanni,30,4
Carmela Cipriani,Bepink - Bongioanni,0,4
Vittoria Grassi,Bepink - Bongioanni,0,4
Karolina Karasiewicz,Bepink - Bongioanni,0,4
Angela Oro,Bepink - Bongioanni,0,4
Monica Trinca Colonel,Bepink - Bongioanni,45,4
Charlotte Hodgkins-Byrne,DAS - Hutchinson - Brother - UK,0,4
Tiffany Keep,DAS - Hutchinson - Brother - UK,0,4
