Tadej Pogačar,UAE Team Emirates,1191,28
Jonas Vingegaard,Jumbo-Visma,706,26
Daniel Felipe Martínez,INEOS Grenadiers,125,18
Simon Yates,Team Jayco AlUla,607,18
Pavel Sivakov,INEOS Grenadiers,261,16
David Gaudu,Groupama - FDJ,868,14
Tim Merlier,Soudal - Quick Step,340,14
Romain Bardet,Team DSM,388,14
Kaden Groves,Alpecin-Deceuninck,50,12
Jack Haig,Bahrain - Victorious,226,12
Sam Bennett,BORA - hansgrohe,231,12
Ion Izagirre,Cofidis,101,12
Tobias Foss,Jumbo-Visma,150,12
Olav Kooij,Jumbo-Visma,533,12
Arnaud De Lie,Lotto Dstny,98,12
Matteo Jorgenson,Movistar Team,351,12
Michael Matthews,Team Jayco AlUla,262,12
Pierre Latour,TotalEnergies,196,12
Mads Pedersen,Trek - Segafredo,473,12
Søren Kragh Andersen,Alpecin-Deceuninck,25,10
Gino Mäder,Bahrain - Victorious,503,10
Jonathan Milan,Bahrain - Victorious,6,10
Wout Poels,Bahrain - Victorious,109,10
Danny Van Poppel,BORA - hansgrohe,51,10
Benjamin Thomas,Cofidis,0,10
Magnus Cort,EF Education-EasyPost,219,10
Neilson Powless,EF Education-EasyPost,459,10
Arnaud Démare,Groupama - FDJ,131,10
Rohan Dennis,Jumbo-Visma,71,10
Mattias Skjelmose,Trek - Segafredo,59,10
Felix Großschartner,UAE Team Emirates,64,10
Matteo Trentin,UAE Team Emirates,154,10
Anthon Charmig,Uno-X Pro Cycling Team,0,10
Alexander Kristoff,Uno-X Pro Cycling Team,30,10
Aurélien Paret-Peintre,AG2R Citroën Team,250,8
Cees Bol,Astana Qazaqstan Team,90,8
David De La Cruz,Astana Qazaqstan Team,197,8
Luis León Sánchez,Astana Qazaqstan Team,30,8
Fred Wright,Bahrain - Victorious,50,8
Bob Jungels,BORA - hansgrohe,88,8
Maximilian Schachmann,BORA - hansgrohe,41,8
Bryan Coquard,Cofidis,171,8
Simon Geschke,Cofidis,0,8
Max Walscheid,Cofidis,0,8
Marijn Van Den Berg,EF Education-EasyPost,110,8
Kevin Geniets,Groupama - FDJ,102,8
Stefan Küng,Groupama - FDJ,85,8
Nick Schultz,Israel - Premier Tech,0,8
Pascal Eenkhoorn,Lotto Dstny,82,8
Iván García Cortina,Movistar Team,60,8
Max Kanter,Movistar Team,80,8
Mauro Schmid,Soudal - Quick Step,20,8
Clément Champoussin,Team Arkéa Samsic,12,8
David Dekker,Team Arkéa Samsic,0,8
Matis Louvel,Team Arkéa Samsic,0,8
Daniel McLay,Team Arkéa Samsic,90,8
Kévin Vauquelin,Team Arkéa Samsic,168,8
Lucas Hamilton,Team Jayco AlUla,150,8
Matteo Sobrero,Team Jayco AlUla,134,8
Anthony Turgis,TotalEnergies,10,8
Tim Wellens,UAE Team Emirates,64,8
Søren Wærenskjold,Uno-X Pro Cycling Team,10,8
Clément Berthet,AG2R Citroën Team,110,6
Mikaël Cherel,AG2R Citroën Team,12,6
Stan Dewulf,AG2R Citroën Team,15,6
Dorian Godon,AG2R Citroën Team,51,6
Oliver Naesen,AG2R Citroën Team,39,6
Lionel Taminiaux,Alpecin-Deceuninck,80,6
Vadim Pronskiy,Astana Qazaqstan Team,0,6
Marco Haller,BORA - hansgrohe,14,6
Nils Politt,BORA - hansgrohe,31,6
Rubén Fernández,Cofidis,0,6
Stefan Bissegger,EF Education-EasyPost,51,6
Andrea Piccolo,EF Education-EasyPost,43,6
Rudy Molard,Groupama - FDJ,141,6
Miles Scotson,Groupama - FDJ,49,6
Omar Fraile,INEOS Grenadiers,6,6
Jhonatan Narváez,INEOS Grenadiers,6,6
Ben Swift,INEOS Grenadiers,6,6
Connor Swift,INEOS Grenadiers,6,6
Joshua Tarling,INEOS Grenadiers,16,6
Lilian Calmejane,Intermarché - Circus - Wanty,103,6
Aimé De Gendt,Intermarché - Circus - Wanty,0,6
Kobe Goossens,Intermarché - Circus - Wanty,114,6
Arne Marit,Intermarché - Circus - Wanty,87,6
Hugo Page,Intermarché - Circus - Wanty,40,6
Baptiste Planckaert,Intermarché - Circus - Wanty,0,6
Taco Van Der Hoorn,Intermarché - Circus - Wanty,0,6
Hugo Houle,Israel - Premier Tech,24,6
Stephen Williams,Israel - Premier Tech,0,6
Edoardo Affini,Jumbo-Visma,71,6
Jan Tratnik,Jumbo-Visma,100,6
Nathan Van Hooydonck,Jumbo-Visma,102,6
Cedric Beullens,Lotto Dstny,0,6
Thomas De Gendt,Lotto Dstny,6,6
Brent Van Moer,Lotto Dstny,10,6
Gorka Izagirre,Movistar Team,0,6
Kasper Asgreen,Soudal - Quick Step,22,6
Rémi Cavagna,Soudal - Quick Step,32,6
Yves Lampaert,Soudal - Quick Step,22,6
Florian Sénéchal,Soudal - Quick Step,32,6
John Degenkolb,Team DSM,0,6
Matthew Dinham,Team DSM,0,6
Nils Eekhoff,Team DSM,0,6
Chris Hamilton,Team DSM,0,6
Kevin Vermaerke,Team DSM,0,6
Chris Harper,Team Jayco AlUla,178,6
Edvald Boasson Hagen,TotalEnergies,17,6
Sandy Dujardin,TotalEnergies,64,6
Mikkel Bjerg,UAE Team Emirates,64,6
Domen Novak,UAE Team Emirates,66,6
Rui Oliveira,UAE Team Emirates,104,6
Jonas Gregaard,Uno-X Pro Cycling Team,193,6
Anders Skaarseth,Uno-X Pro Cycling Team,28,6
Rasmus Tiller,Uno-X Pro Cycling Team,0,6
Larry Warbasse,AG2R Citroën Team,32,4
Maurice Ballerstedt,Alpecin-Deceuninck,10,4
Senne Leysen,Alpecin-Deceuninck,1,4
Jason Osborne,Alpecin-Deceuninck,0,4
Edward Planckaert,Alpecin-Deceuninck,0,4
Dmitriy Gruzdev,Astana Qazaqstan Team,0,4
Davide Martinelli,Astana Qazaqstan Team,0,4
Javier Romo,Astana Qazaqstan Team,17,4
Kamil Gradek,Bahrain - Victorious,42,4
Filip Maciejuk,Bahrain - Victorious,42,4
Ryan Mullen,BORA - hansgrohe,13,4
Alexis Renard,Cofidis,40,4
Owain Doull,EF Education-EasyPost,43,4
Tom Scully,EF Education-EasyPost,43,4
Ignatas Konovalovas,Groupama - FDJ,47,4
Sebastian Berwick,Israel - Premier Tech,0,4
Taj Jones,Israel - Premier Tech,0,4
Guy Sagiv,Israel - Premier Tech,0,4
Tom Van Asbroeck,Israel - Premier Tech,0,4
Jacopo Guarnieri,Lotto Dstny,0,4
Harry Sweeny,Lotto Dstny,10,4
Imanol Erviti,Movistar Team,0,4
Gregor Mühlberger,Movistar Team,10,4
Mathias Norsgaard,Movistar Team,0,4
Tim Declercq,Soudal - Quick Step,23,4
Thibault Guernalec,Team Arkéa Samsic,0,4
Michel Ries,Team Arkéa Samsic,0,4
Pavel Bittner,Team DSM,0,4
Luke Durbridge,Team Jayco AlUla,84,4
Kelland O'Brien,Team Jayco AlUla,106,4
Jérémy Cabot,TotalEnergies,20,4
Alan Jousseaume,TotalEnergies,2,4
Paul Ourselin,TotalEnergies,27,4
Julien Bernard,Trek - Segafredo,28,4
