Adam Yates,UAE Team Emirates,727,28
Mauri Vansevenant,Soudal - Quick Step,379,20
Diego Ulissi,UAE Team Emirates,559,20
Warren Barguil,Team dsm-firmenich PostNL,257,18
Jesús Herrada,Cofidis,145,16
Cristián Rodríguez,Arkéa - B&B Hotels,322,14
Lorenzo Rota,Intermarché - Wanty,135,14
Roger Adrià,BORA - hansgrohe,338,12
Emanuel Buchmann,BORA - hansgrohe,84,12
Ben Zwiehoff,BORA - hansgrohe,216,12
Jambaljamts Sainbayar,Burgos-BH,8,12
Louis Meintjes,Intermarché - Wanty,82,12
Fabio Jakobsen,Team dsm-firmenich PostNL,39,12
Finn Fisher-Black,UAE Team Emirates,753,12
Élie Gesbert,Arkéa - B&B Hotels,16,10
Anthon Charmig,Astana Qazaqstan Team,151,10
Ide Schelling,Astana Qazaqstan Team,122,10
Bryan Coquard,Cofidis,302,10
Kenny Elissonde,Cofidis,111,10
Francesco Busatto,Intermarché - Wanty,40,10
Lionel Taminiaux,Lotto Dstny,71,10
Harm Vanhoucke,Lotto Dstny,0,10
Luke Lamperti,Soudal - Quick Step,466,10
Fausto Masnada,Soudal - Quick Step,152,10
Tobias Lund Andresen,Team dsm-firmenich PostNL,35,10
Caleb Ewan,Team Jayco AlUla,205,10
Max Walscheid,Team Jayco AlUla,14,10
Yevgeniy Gidich,Astana Qazaqstan Team,76,8
Gleb Syritsa,Astana Qazaqstan Team,114,8
Aimé De Gendt,Cofidis,10,8
Nathan Earle,JCL Team UKYO,102,8
Matteo Malucelli,JCL Team UKYO,73,8
Jenno Berckmoes,Lotto Dstny,279,8
Arjen Livyns,Lotto Dstny,0,8
Tegsh-bayar Batsaikhan,Roojai Insurance,122,8
Lucas Carstensen,Roojai Insurance,0,8
Adne Van Engelen,Roojai Insurance,30,8
Jan Hirt,Soudal - Quick Step,458,8
Frank Van Den Broeck,Team dsm-firmenich PostNL,0,8
Davide De Pretto,Team Jayco AlUla,177,8
Merhawi Kudus,Terengganu Cycling Team,50,8
Álvaro José Hodeg,UAE Team Emirates,101,8
Stian Fredheim,Uno-X Mobility,2,8
Alexander Kristoff,Uno-X Mobility,160,8
Johannes Kulset,Uno-X Mobility,190,8
Rasmus Bøgh Wallin,Uno-X Mobility,46,8
Florian Dauphin,Arkéa - B&B Hotels,16,6
Embret Svestad-Bårdseng,Arkéa - B&B Hotels,67,6
Anton Palzer,BORA - hansgrohe,45,6
Mario Aparicio,Burgos-BH,33,6
David Delgado,Burgos-BH,18,6
Alejandro Franco,Burgos-BH,8,6
Ángel Fuentes,Burgos-BH,23,6
Óscar Pelegrí,Burgos-BH,206,6
Marc Brustenga,Equipo Kern Pharma,50,6
Unai Iribar,Equipo Kern Pharma,10,6
Huub Artz,Intermarché - Wanty,165,6
Dries De Pooter,Intermarché - Wanty,181,6
Giovanni Carboni,JCL Team UKYO,0,6
Thomas Pesenti,JCL Team UKYO,157,6
Thomas De Gendt,Lotto Dstny,0,6
Said Al Rahbi,Oman National Team,0,6
Mohammed Al-Wahibi,Oman National Team,10,6
Polychronis Tzortzakis,Roojai Insurance,90,6
Gil Gelders,Soudal - Quick Step,72,6
Antoine Huby,Soudal - Quick Step,72,6
Paul Magnier,Soudal - Quick Step,368,6
Julius Van Den Berg,Team dsm-firmenich PostNL,0,6
Luke Durbridge,Team Jayco AlUla,14,6
Blake Quick,Team Jayco AlUla,74,6
Campbell Stewart,Team Jayco AlUla,14,6
Aiman Cahyadi,Terengganu Cycling Team,0,6
Jesse Ewart,Terengganu Cycling Team,0,6
Andreas Miltiadis,Terengganu Cycling Team,0,6
Abdulla Alhammadi,UAE Team Emirates,98,6
Vegard Stake Laengen,UAE Team Emirates,98,6
Idar Andersen,Uno-X Mobility,2,6
Tord Gudmestad,Uno-X Mobility,12,6
Amaury Capiot,Arkéa - B&B Hotels,297,4
Alessandro Verre,Arkéa - B&B Hotels,185,4
Savelii Laptev,Astana Qazaqstan Development Team,11,4
Davide Toneatti,Astana Qazaqstan Development Team,6,4
Nicolas Vinokurov,Astana Qazaqstan Team,6,4
Cesare Benedetti,BORA - hansgrohe,15,4
Emil Herzog,BORA - hansgrohe,72,4
Luis-Joe Lührs,BORA - hansgrohe,15,4
Rodrigo Álvarez,Burgos-BH,8,4
Nicolas Debeaumarché,Cofidis,10,4
Hugo Toumire,Cofidis,10,4
Unai Aznar,Equipo Kern Pharma,0,4
Iván Cobo,Equipo Kern Pharma,204,4
Carlos García Pierna,Equipo Kern Pharma,0,4
Mikel Retegi,Equipo Kern Pharma,0,4
Danny Van Der Tuuk,Equipo Kern Pharma,0,4
Alexy Faure Prost,Intermarché - Wanty,155,4
Roel Van Sintmaartensdijk,Intermarché - Wanty,19,4
Manabu Ishibashi,JCL Team UKYO,0,4
Nariyuki Masuda,JCL Team UKYO,44,4
Masaki Yamamoto,JCL Team UKYO,0,4
Johannes Adamietz,Lotto Dstny,0,4
Henri Vandenabeele,Lotto Dstny,0,4
Saif Al Aamri,Oman National Team,0,4
Munther al Hsani,Oman National Team,10,4
Mazin Al Riyami,Oman National Team,0,4
Abdullah Al-Gheilani,Oman National Team,0,4
Abdulrahman Alyaqoobi,Oman National Team,0,4
Carter Bettles,Roojai Insurance,0,4
Patompob Phonarjthan,Roojai Insurance,0,4
Ariya Phounsavath,Roojai Insurance,10,4
Tim Naberman,Team dsm-firmenich PostNL,0,4
Timo Roosen,Team dsm-firmenich PostNL,0,4
Wan Abdul Rahman Hamdan,Terengganu Cycling Team,0,4
Irwandie Lakasek,Terengganu Cycling Team,2,4
Nur Amirul Fakhruddin Mazuki,Terengganu Cycling Team,20,4
Mohammad Almutaiwei,UAE Team Emirates,98,4
William Blume Levy,Uno-X Mobility,2,4
