Alexey Lutsenko,Astana Qazaqstan Team,209,18
Diego Ulissi,UAE Team Emirates,671,18
Cian Uijtdebroeks,BORA - hansgrohe,309,16
Louis Meintjes,Intermarché - Circus - Wanty,97,16
Iván Ramiro Sosa,Movistar Team,28,16
Jan Hirt,Soudal - Quick Step,166,16
Davide Formolo,UAE Team Emirates,84,16
Emanuel Buchmann,BORA - hansgrohe,219,14
Matteo Jorgenson,Movistar Team,905,14
Carlos Verona,Movistar Team,227,14
Fausto Masnada,Soudal - Quick Step,56,14
Mauri Vansevenant,Soudal - Quick Step,797,14
Andrea Vendrame,AG2R Citroën Team,83,12
Mark Cavendish,Astana Qazaqstan Team,0,12
Rein Taaramäe,Intermarché - Circus - Wanty,398,12
Eduardo Sepúlveda,Lotto Dstny,8,12
Maxim Van Gils,Lotto Dstny,540,12
Tim Merlier,Soudal - Quick Step,259,12
Cristián Rodríguez,Team Arkéa Samsic,387,12
Geoffrey Bouchard,AG2R Citroën Team,477,10
Giovanni Aleotti,BORA - hansgrohe,0,10
Jesús Herrada,Cofidis,528,10
Axel Zingle,Cofidis,299,10
Thomas De Gendt,Lotto Dstny,8,10
Pascal Ackermann,UAE Team Emirates,103,10
Stan Dewulf,AG2R Citroën Team,63,8
Oliver Naesen,AG2R Citroën Team,23,8
Greg Van Avermaet,AG2R Citroën Team,23,8
Yevgeniy Fedorov,Astana Qazaqstan Team,10,8
Martin Laas,Astana Qazaqstan Team,0,8
Harold Tejada,Astana Qazaqstan Team,132,8
Lennert Teugels,Bingoal Pauwels Sauces WB,103,8
Ide Schelling,BORA - hansgrohe,158,8
Matthew Walls,BORA - hansgrohe,86,8
Ben Zwiehoff,BORA - hansgrohe,146,8
Rémy Rochas,Cofidis,139,8
Roger Adrià,Equipo Kern Pharma,0,8
Barnabás Peák,Human Powered Health,0,8
Francesco Busatto,Intermarché - Circus - Wanty,21,8
Sylvain Moniquet,Lotto Dstny,77,8
Max Kanter,Movistar Team,80,8
Josef Černý,Soudal - Quick Step,56,8
Jenthe Biermans,Team Arkéa Samsic,105,8
David Dekker,Team Arkéa Samsic,169,8
Anthony Delaplace,Team Arkéa Samsic,20,8
Nicolas Edet,Team Arkéa Samsic,20,8
Jambaljamts Sainbayar,Terengganu Polygon,2,8
Ryan Gibbons,UAE Team Emirates,20,8
Kristoffer Halvorsen,Uno-X Pro Cycling Team,96,8
Jaakko Hänninen,AG2R Citroën Team,48,6
Manuele Boaro,Astana Qazaqstan Team,0,6
Floris De Tier,Bingoal Pauwels Sauces WB,54,6
Alexander Salby,Bingoal Pauwels Sauces WB,61,6
Florian Lipowitz,BORA - hansgrohe,50,6
Miguel Ángel Fernández,Burgos-BH,15,6
Victor Langellotti,Burgos-BH,241,6
Pelayo Sánchez,Burgos-BH,6,6
Urko Berrade,Equipo Kern Pharma,12,6
Jordi López,Equipo Kern Pharma,0,6
Alan Banaszek,Human Powered Health,1,6
Bart Lemmen,Human Powered Health,0,6
Benjamin Perry,Human Powered Health,12,6
Embret Svestad-Bårdseng,Human Powered Health,0,6
Arne Marit,Intermarché - Circus - Wanty,129,6
Simone Petilli,Intermarché - Circus - Wanty,36,6
Baptiste Planckaert,Intermarché - Circus - Wanty,21,6
Raymond Kreder,JCL Team UKYO,4,6
Benjamin Prades,JCL Team UKYO,31,6
Arjen Livyns,Lotto Dstny,8,6
Rüdiger Selig,Lotto Dstny,47,6
Abner González,Movistar Team,28,6
Mathias Norsgaard,Movistar Team,28,6
Said Al Rahbi,Oman National Team,36,6
Faisal Al-Mamari,Oman National Team,20,6
Bert Van Lerberghe,Soudal - Quick Step,56,6
Jordi Warlop,Soudal - Quick Step,146,6
Jesse Ewart,Terengganu Polygon,2,6
Irwandie Lakasek,Terengganu Polygon,12,6
Jeroen Meijers,Terengganu Polygon,161,6
Mohd Harrif Saleh,Terengganu Polygon,22,6
Vegard Stake Laengen,UAE Team Emirates,20,6
Niklas Eg,Uno-X Pro Cycling Team,165,6
Lawrence Naesen,AG2R Citroën Team,111,4
Leonardo Basso,Astana Qazaqstan Team,0,4
Ceriel Desal,Bingoal Pauwels Sauces WB,10,4
Johan Meens,Bingoal Pauwels Sauces WB,59,4
Luca Van Boven,Bingoal Pauwels Sauces WB,42,4
Guillaume Van Keirsbulck,Bingoal Pauwels Sauces WB,0,4
Rodrigo Alvarez,Burgos-BH,81,4
Mario Aparicio,Burgos-BH,6,4
Alejandro Franco,Burgos-BH,20,4
Ángel Fuentes,Burgos-BH,36,4
François Bidard,Cofidis,22,4
Wesley Kreder,Cofidis,22,4
Alexis Renard,Cofidis,22,4
Harrison Wood,Cofidis,22,4
Giovanni Carboni,Equipo Kern Pharma,30,4
Pablo Castrillo,Equipo Kern Pharma,2,4
Iván Cobo,Equipo Kern Pharma,79,4
Danny Van Der Tuuk,Equipo Kern Pharma,0,4
Stephen Bassett,Human Powered Health,15,4
August Jensen,Human Powered Health,0,4
Tom Paquot,Intermarché - Circus - Wanty,21,4
Manabu Ishibashi,JCL Team UKYO,16,4
Yuma Koishi,JCL Team UKYO,4,4
Atsushi Oka,JCL Team UKYO,6,4
Kosuke Takeyama,JCL Team UKYO,16,4
Masaki Yamamoto,JCL Team UKYO,4,4
Michael Schwarzmann,Lotto Dstny,8,4
Imanol Erviti,Movistar Team,28,4
Munther Al Hasani,Oman National Team,0,4
Mazin Al Riyami,Oman National Team,0,4
Abdullah Al-Gheilani,Oman National Team,0,4
Mohammed Al-Wahibi,Oman National Team,0,4
Andrii Ponomar,Team Arkéa Samsic,20,4
Michel Ries,Team Arkéa Samsic,60,4
Nur Amirul Muzuki ,Terengganu Polygon,2,4
Youcef Reguigui,Terengganu Polygon,22,4
Michael Vink,UAE Team Emirates,20,4
Louis Bendixen,Uno-X Pro Cycling Team,80,4
Fredrik Dversnes,Uno-X Pro Cycling Team,155,4
Tord Gudmestad,Uno-X Pro Cycling Team,0,4
Magnus Kulset,Uno-X Pro Cycling Team,5,4
Lasse Norman,Uno-X Pro Cycling Team,0,4
