Primož Roglič,Team Jumbo-Visma,964,24
Maximilian Schachmann,BORA - hansgrohe,786,20
Aleksandr Vlasov,Astana - Premier Tech,570,18
Tao Geoghegan Hart,INEOS Grenadiers,0,18
Steven Kruijswijk,Team Jumbo-Visma,163,18
Ion Izagirre,Astana - Premier Tech,545,16
Richie Porte,INEOS Grenadiers,0,16
Guillaume Martin,Cofidis,374,14
Sam Bennett,Deceuninck - Quick Step,563,14
David Gaudu,Groupama - FDJ,96,14
Rohan Dennis,INEOS Grenadiers,70,14
Warren Barguil,Team Arkéa Samsic,236,14
Tiesj Benoot,Team DSM,461,14
Dylan Teuns,Bahrain - Victorious,286,12
Pascal Ackermann,BORA - hansgrohe,282,12
Arnaud Démare,Groupama - FDJ,165,12
Michael Matthews,Team BikeExchange,352,12
Jai Hindley,Team DSM,108,12
Søren Kragh Andersen,Team DSM,125,12
George Bennett,Team Jumbo-Visma,65,12
Giacomo Nizzolo,Team Qhubeka ASSOS,80,12
Pierre Latour,Team Total Direct Energie,269,12
Mads Pedersen,Trek - Segafredo,344,12
Rui Costa,UAE-Team Emirates,4,12
Bob Jungels,AG2R Citroën Team ,34,10
Jasper Philipsen,Alpecin-Fenix,177,10
Alexey Lutsenko,Astana - Premier Tech,76,10
Bryan Coquard,B&B Hotels p/b KTM,339,10
Felix Großschartner,BORA - hansgrohe,35,10
Christophe Laporte,Cofidis,513,10
Rémi Cavagna,Deceuninck - Quick Step,164,10
Harm Vanhoucke,Lotto Soudal,153,10
Gregor Mühlberger,Movistar Team,0,10
Cees Bol,Team DSM,188,10
Sam Oomen,Team Jumbo-Visma,63,10
Fabio Aru,Team Qhubeka ASSOS,20,10
Sergio Henao,Team Qhubeka ASSOS,108,10
Max Walscheid,Team Qhubeka ASSOS,0,10
Alexis Vuillermoz,Team Total Direct Energie,0,10
David De La Cruz,UAE-Team Emirates,15,10
Alexander Kristoff,UAE-Team Emirates,74,10
Brandon McNulty,UAE-Team Emirates,158,10
Matteo Trentin,UAE-Team Emirates,11,10
Ben O'Connor,AG2R Citroën Team ,151,8
Kristian Sbaragli,Alpecin-Fenix,0,8
Luis Leon Sánchez,Astana - Premier Tech,181,8
Phil Bauhaus,Bahrain - Victorious,249,8
Jack Haig,Bahrain - Victorious,260,8
Heinrich Haussler,Bahrain - Victorious,14,8
Simon Geschke,Cofidis,81,8
Laurens De Plus,INEOS Grenadiers,31,8
Ben Swift,INEOS Grenadiers,28,8
Danny Van Poppel,Intermarché - Wanty - Gobert Matériaux,30,8
André Greipel,Israel Start-Up Nation,85,8
Thomas De Gendt,Lotto Soudal,12,8
John Degenkolb,Lotto Soudal,99,8
Philippe Gilbert,Lotto Soudal,0,8
Florian Vermeersch,Lotto Soudal,18,8
José Joaquín Rojas,Movistar Team,12,8
Nacer Bouhanni,Team Arkéa Samsic,120,8
Daniel McLay,Team Arkéa Samsic,4,8
Victor Campenaerts,Team Qhubeka ASSOS,34,8
Edvald Boasson Hagen,Team Total Direct Energie,2,8
Anthony Turgis,Team Total Direct Energie,33,8
Jacopo Mosca,Trek - Segafredo,10,8
Jasper Stuyven,Trek - Segafredo,48,8
Edward Theuns,Trek - Segafredo,24,8
Stan Dewulf,AG2R Citroën Team ,19,6
Dorian Godon,AG2R Citroën Team ,39,6
Oliver Naesen,AG2R Citroën Team ,65,6
Aurélien Paret-Peintre,AG2R Citroën Team ,311,6
Dries De Bondt,Alpecin-Fenix,2,6
Louis Vervaeke,Alpecin-Fenix,0,6
Samuele Battistella,Astana - Premier Tech,0,6
Omar Fraile,Astana - Premier Tech,72,6
Cyril Gautier,B&B Hotels p/b KTM,0,6
Jonathan Hivert,B&B Hotels p/b KTM,10,6
Quentin Pacher,B&B Hotels p/b KTM,141,6
Marco Haller,Bahrain - Victorious,34,6
Gino Mäder,Bahrain - Victorious,301,6
Jordi Meeus,BORA - hansgrohe,47,6
Michael Schwarzmann,BORA - hansgrohe,34,6
Piet Allegaert,Cofidis,22,6
Jelle Wallays,Cofidis,22,6
Mattia Cattaneo,Deceuninck - Quick Step,51,6
Yves Lampaert,Deceuninck - Quick Step,125,6
Michael Mørkøv,Deceuninck - Quick Step,27,6
Florian Sénéchal,Deceuninck - Quick Step,22,6
Stefan Bissegger,EF Education - Nippo,206,6
Magnus Cort,EF Education - Nippo,179,6
Jens Keukeleire,EF Education - Nippo,0,6
Neilson Powless,EF Education - Nippo,50,6
Bruno Armirail,Groupama - FDJ,8,6
Jacopo Guarnieri,Groupama - FDJ,8,6
Andrey Amador,INEOS Grenadiers,10,6
Dylan Van Baarle,INEOS Grenadiers,274,6
Odd Christian Eiking,Intermarché - Wanty - Gobert Matériaux,0,6
Louis Meintjes,Intermarché - Wanty - Gobert Matériaux,36,6
