João Almeida,UAE Team Emirates,879,24
Geraint Thomas,INEOS Grenadiers,126,20
Sergio Higuita,BORA - hansgrohe,162,18
Thymen Arensman,INEOS Grenadiers,30,18
Pavel Sivakov,INEOS Grenadiers,142,16
Olav Kooij,Jumbo-Visma,314,16
Damiano Caruso,Bahrain - Victorious,161,14
Michał Kwiatkowski,INEOS Grenadiers,715,14
Fernando Gaviria,Movistar Team,250,14
Tim Merlier,Soudal - Quick Step,475,14
Matej Mohorič,Bahrain - Victorious,995,12
Sam Bennett,BORA - hansgrohe,191,12
Lennard Kämna,BORA - hansgrohe,0,12
Lenny Martinez,Groupama - FDJ,285,12
Gerben Thijssen,Intermarché - Circus - Wanty,131,12
Tobias Foss,Jumbo-Visma,60,12
Ruben Guerreiro,Movistar Team,54,12
Max Poole,Team DSM,2,12
Eddie Dunbar,Team Jayco AlUla,280,12
Matteo Sobrero,Team Jayco AlUla,15,12
Rafał Majka,UAE Team Emirates,485,12
Brandon McNulty,UAE Team Emirates,361,12
Max Walscheid,Cofidis,188,10
Max Kanter,Movistar Team,6,10
Jan Hirt,Soudal - Quick Step,58,10
Ilan Van Wilder,Soudal - Quick Step,590,10
Kévin Vauquelin,Team Arkéa Samsic,112,10
Pascal Ackermann,UAE Team Emirates,98,10
Davide Formolo,UAE Team Emirates,100,10
Tim Wellens,UAE Team Emirates,179,10
Andrea Vendrame,AG2R Citroën Team,138,8
Nicola Conci,Alpecin-Deceuninck,87,8
Jakub Mareczko,Alpecin-Deceuninck,132,8
Samuele Battistella,Astana Qazaqstan Team,275,8
Andrea Pasqualon,Bahrain - Victorious,76,8
Stefan Bissegger,EF Education-EasyPost,20,8
Mark Padun,EF Education-EasyPost,10,8
Marijn Van Den Berg,EF Education-EasyPost,366,8
Paul Penhoët,Groupama - FDJ,105,8
Stanisław Aniołkowski,Human Powered Health,174,8
Barnabás Peák,Human Powered Health,0,8
Rune Herregodts,Intermarché - Circus - Wanty,0,8
Hugo Page,Intermarché - Circus - Wanty,0,8
Koen Bouwman,Jumbo-Visma,20,8
