João Almeida,Deceuninck - Quick Step,1125,24
Diego Ulissi,UAE-Team Emirates,635,20
Pascal Ackermann,BORA - hansgrohe,0,18
Tao Geoghegan Hart,INEOS Grenadiers,2,18
Matej Mohorič,Bahrain - Victorious,890,14
Tim Wellens,Lotto Soudal,316,14
Jai Hindley,Team DSM,343,14
Fernando Gaviria,UAE-Team Emirates,236,14
Andrea Vendrame,AG2R Citroën Team ,149,12
Rémi Cavagna,Deceuninck - Quick Step,244,12
Álvaro José Hodeg,Deceuninck - Quick Step,314,12
Michał Kwiatkowski,INEOS Grenadiers,764,12
Gianni Moscon,INEOS Grenadiers,102,12
David Dekker,Team Jumbo-Visma,168,12
Dylan Teuns,Bahrain - Victorious,294,10
Mikkel Frølich Honoré,Deceuninck - Quick Step,534,10
Ilnur Zakarin,Gazprom - RusVelo,40,10
Attila Valter,Groupama - FDJ,41,10
Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,66,10
Iván García Cortina,Movistar Team,2,10
Matteo Jorgenson,Movistar Team,115,10
Kaden Groves,Team BikeExchange,8,10
George Bennett,Team Jumbo-Visma,63,10
Max Walscheid,Team Qhubeka ASSOS,150,10
Edward Theuns,Trek - Segafredo,131,10
Jonas Rickaert,Alpecin-Fenix,258,8
Yevgeniy Fedorov,Astana - Premier Tech,113,8
Matteo Sobrero,Astana - Premier Tech,17,8
Giovanni Aleotti,BORA - hansgrohe,247,8
Matteo Fabbro,BORA - hansgrohe,0,8
Lorenzo Rota,Intermarché - Wanty - Gobert Matériaux,278,8
Hugo Hofstetter,Israel Start-Up Nation,235,8
John Degenkolb,Lotto Soudal,92,8
Tanel Kangert,Team BikeExchange,94,8
Dion Smith,Team BikeExchange,323,8
Max Kanter,Team DSM,116,8
Simon Clarke,Team Qhubeka ASSOS,14,8
Mikkel Bjerg,UAE-Team Emirates,112,8
Alessandro Covi,UAE-Team Emirates,108,8
Tony Gallopin,AG2R Citroën Team ,109,6
Nans Peters,AG2R Citroën Team ,11,6
Gijs Van Hoecke,AG2R Citroën Team ,11,6
Larry Warbasse,AG2R Citroën Team ,28,6
Silvan Dillier,Alpecin-Fenix,34,6
Xandro Meurisse,Alpecin-Fenix,32,6
Kristian Sbaragli,Alpecin-Fenix,61,6
Lionel Taminiaux,Alpecin-Fenix,72,6
Ben Tulett,Alpecin-Fenix,261,6
Manuele Boaro,Astana - Premier Tech,2,6
Davide Martinelli,Astana - Premier Tech,2,6
Vadim Pronskiy,Astana - Premier Tech,2,6
Nikita Stalnov,Astana - Premier Tech,12,6
Phil Bauhaus,Bahrain - Victorious,402,6
Heinrich Haussler,Bahrain - Victorious,24,6
Marcel Sieberg,Bahrain - Victorious,48,6
Maciej Bodnar,BORA - hansgrohe,100,6
