João Rodrigues,W52 / FC Porto,630,22
Gustavo César,W52 / FC Porto,1217,20
Joni Brandão,Efapel,794,18
Amaro Antunes,W52 / FC Porto,1164,18
Vicente García De Mateos,Aviludo-Louletano,355,16
Antonio Carvalho,Efapel,895,16
Daniel Mestre,W52 / FC Porto,511,16
Alejandro Manuel Marque,Atum General - Tavira - Maria Nova Hotel,494,14
Ángel Madrazo,Burgos-BH,35,14
Mauro Finetto,NIPPO DELKO One Provence,256,14
João Benta,Radio Popular Boavista,562,14
David Rodrigues,Radio Popular Boavista,98,14
Frederico Figueiredo,Atum General - Tavira - Maria Nova Hotel,710,12
Alexander Grigoryev,Atum General - Tavira - Maria Nova Hotel,37,12
Luis Mendonça,Efapel,59,12
Henrique Casimiro,Kelly / InOutBuild / UD Oliveirense,145,12
Hugo Sancho,Miranda - Mortágua,50,12
Delio Fernández,NIPPO DELKO One Provence,287,12
Ricardo Mestre,W52 / FC Porto,284,12
Sergey Shilov,Aviludo-Louletano,50,10
José Carlos Prates Neves Fernandes,Burgos-BH,17,10
Juan Felipe Osorio,Burgos-BH,0,10
Héctor Sáez,Caja Rural - Seguros RGA,16,10
Rafael Reis,Feirense,199,10
Luis Gomes,Kelly / InOutBuild / UD Oliveirense,803,10
Joaquim Silva,Miranda - Mortágua,42,10
Riccardo Minali,NIPPO DELKO One Provence,282,10
Luis Fernandes,Radio Popular Boavista,383,10
Daniel Silva,Radio Popular Boavista,85,10
Gavin Mannion,Rally Cycling,72,10
Anthony Delaplace,Team Arkéa Samsic,269,10
David Livramento,Atum General - Tavira - Maria Nova Hotel,37,8
Cesar Martingil,Atum General - Tavira - Maria Nova Hotel,172,8
David De La Fuente,Aviludo-Louletano,0,8
Jesus Del Pino,Aviludo-Louletano,0,8
Joao Matias,Aviludo-Louletano,95,8
Diego Rubio,Burgos-BH,48,8
Cristián Rodríguez,Caja Rural - Seguros RGA,287,8
César Fonte,Efapel,59,8
Tiago Machado,Efapel,56,8
Emanuel Duarte,LA Aluminios,22,8
Daniel Freitas,Miranda - Mortágua,550,8
Gaspar Goncalves,Miranda - Mortágua,18,8
José Manuel Díaz,NIPPO DELKO One Provence,161,8
Mulu Hailemichael,NIPPO DELKO One Provence,2,8
Gonçalo Carvalho,Radio Popular Boavista,228,8
Alberto Gallego,Radio Popular Boavista,54,8
Hugo Nunes,Radio Popular Boavista,226,8
Rob Britton,Rally Cycling,0,8
Kyle Murphy,Rally Cycling,0,8
Keegan Swirbull,Rally Cycling,141,8
Daniel McLay,Team Arkéa Samsic,520,8
Christophe Noppe,Team Arkéa Samsic,88,8
Samuel José Caldeira,W52 / FC Porto,242,8
Rui Vinhas,W52 / FC Porto,150,8
Alvaro Trueba,Atum General - Tavira - Maria Nova Hotel,37,6
Carlos Canal,Burgos-BH,35,6
Willie Smit,Burgos-BH,22,6
Ricardo Vilela,Burgos-BH,199,6
Jon Irisarri,Caja Rural - Seguros RGA,38,6
Oier Lazkano,Caja Rural - Seguros RGA,218,6
Joel Nicolau,Caja Rural - Seguros RGA,8,6
Sérgio Paulinho,Efapel,46,6
Rafael Silva,Efapel,136,6
Óscar Pelegrí,Feirense,105,6
Pedro Miguel Lopes,Kelly / InOutBuild / UD Oliveirense,18,6
Gonçalo Leaça,LA Aluminios,12,6
André Ramalho,LA Aluminios,120,6
David Ribeiro,LA Aluminios,3,6
Bruno Silva,LA Aluminios,17,6
Leangel Linarez,Miranda - Mortágua,381,6
Hideto Nakane,NIPPO DELKO One Provence,30,6
Nathan Brown,Rally Cycling,0,6
Nigel Ellsay,Rally Cycling,0,6
Bram Welten,Team Arkéa Samsic,18,6
Valter Pereira,Atum General - Tavira - Maria Nova Hotel,37,4
Márcio Barbosa,Aviludo-Louletano,0,4
Nuno Meireles,Aviludo-Louletano,10,4
David González,Caja Rural - Seguros RGA,146,4
Sergio Roman Martín,Caja Rural - Seguros RGA,41,4
Gonçalo Amado,Feirense,10,4
Jesús Alfonso Arozamena,Feirense,0,4
Fabio Oliveira,Feirense,0,4
Bernardo Saavedra,Feirense,0,4
Antonio Sousa Ferreira,Feirense,0,4
Fábio Costa,Kelly / InOutBuild / UD Oliveirense,30,4
Venceslau Fernandes,Kelly / InOutBuild / UD Oliveirense,20,4
Rafael Lourenço,Kelly / InOutBuild / UD Oliveirense,16,4
José Sousa,Kelly / InOutBuild / UD Oliveirense,8,4
Carlos Salgueiro,LA Aluminios,0,4
Marvin Scheulen,LA Aluminios,62,4
Pedro Pinto,Miranda - Mortágua,20,4
Ángel Sánchez,Miranda - Mortágua,10,4
Simon Carr,NIPPO DELKO One Provence,185,4
Emerson Oronte,Rally Cycling,0,4
Romain Le Roux,Team Arkéa Samsic,18,4
Matis Louvel,Team Arkéa Samsic,108,4
Alan Riou,Team Arkéa Samsic,18,4
