Amaro Antunes,W52 / FC Porto,1123,22
João Rodrigues,W52 / FC Porto,494,20
Gustavo César Veloso,Atum general / Tavira / Maria Nova Hotel,216,18
Antonio Carvalho,Efapel,598,18
Joni Brandão,W52 / FC Porto,939,18
Frederico Figueiredo,Efapel,816,16
João Benta,Radio Popular Boavista,3,16
Vicente García De Mateos,Antarte - Feirense,119,14
Mauricio Moreira,Efapel,1345,14
Luis Gomes,Kelly / Simoldes / UDO,524,14
Sergio Samitier,Movistar Team,134,14
Daniel Mestre,W52 / FC Porto,225,14
Alejandro Marque,Atum general / Tavira / Maria Nova Hotel,765,12
Jelle Vanendert,Bingoal - Wallonie Bruxelles,0,12
Rafael Reis,Efapel,1187,12
Luís Fernandes,Radio Popular Boavista,217,12
Daniel Freitas,Radio Popular Boavista,271,12
Luís Mendonça,Efapel,214,10
Henrique Casimiro,Kelly / Simoldes / UDO,377,10
César Paredes,Louletano - Loulé Concelho,2,10
Abner González,Movistar Team,540,10
Gonçalo Carvalho,Radio Popular Boavista,6,10
Samuel Caldeira,W52 / FC Porto,166,10
Ricardo Mestre,W52 / FC Porto,307,10
Ricardo Vilela,W52 / FC Porto,286,10
Alexander Grigoryev,Atum general / Tavira / Maria Nova Hotel,99,8
Laurens Huys,Bingoal - Wallonie Bruxelles,2,8
Orluis Aular,Caja Rural - Seguros RGA,89,8
Jhojan García,Caja Rural - Seguros RGA,0,8
André Cardoso,Efapel,179,8
Diego Lopez,Equipo Kern Pharma,347,8
Marti Marquez,Equipo Kern Pharma,30,8
José Félix Parra,Equipo Kern Pharma,482,8
Enrique Sanz,Equipo Kern Pharma,4,8
César Fonte,Kelly / Simoldes / UDO,138,8
Roniel Campos,Louletano - Loulé Concelho,188,8
Héctor Carretero,Movistar Team,29,8
Tiago Machado,Radio Popular Boavista,0,8
Hugo Nunes,Radio Popular Boavista,42,8
Keegan Swirbul,Rally Cycling,46,8
Tiago Antunes,Tavfer-Measindot-Mortágua,281,8
Iúri Leitão,Tavfer-Measindot-Mortágua,25,8
Joaquim Silva,Tavfer-Measindot-Mortágua,196,8
Fábio Oliveira,Antarte - Feirense,0,6
