Mads Pedersen,Lidl - Trek,857,26
Matej Mohorič,Bahrain - Victorious,436,24
Marijn Van Den Berg,EF Education - EasyPost,546,20
Paul Penhoët,Groupama - FDJ,190,18
Sam Bennett,Decathlon AG2R La Mondiale Team,472,16
Pascal Ackermann,Israel - Premier Tech,0,16
Toms Skujiņš,Lidl - Trek,155,16
Raúl García Pierna,Arkéa - B&B Hotels,334,14
Pierre Gautherat,Decathlon AG2R La Mondiale Team,76,14
Dorian Godon,Decathlon AG2R La Mondiale Team,283,14
Stanisław Aniołkowski,Cofidis,62,12
Damien Touzé,Cofidis,111,12
Jake Stewart,Israel - Premier Tech,255,12
Tom Van Asbroeck,Israel - Premier Tech,0,12
Bauke Mollema,Lidl - Trek,110,12
Ewen Costiou,Arkéa - B&B Hotels,79,10
Matevž Govekar,Bahrain - Victorious,16,10
Fred Wright,Bahrain - Victorious,413,10
Valentin Ferron,Cofidis,168,10
Dries De Bondt,Decathlon AG2R La Mondiale Team,43,10
Tord Gudmestad,Decathlon AG2R La Mondiale Team,53,10
Jefferson Alexander Cepeda,EF Education - EasyPost,98,10
Alex Kirsch,Lidl - Trek,230,10
Mathieu Burgaudeau,Team TotalEnergies,94,10
Sandy Dujardin,Team TotalEnergies,0,10
Lukáš Kubiš,Unibet Tietema Rockets,468,10
Pierre Barbier,Wagner Bazin WB,0,10
Ceriel Desal,Wagner Bazin WB,10,10
Marco Tizza,Wagner Bazin WB,144,10
Mathis Le Berre,Arkéa - B&B Hotels,0,8
Aimé De Gendt,Cofidis,32,8
Alexis Renard,Cofidis,201,8
Samuele Battistella,EF Education - EasyPost,6,8
Darren Rafferty,EF Education - EasyPost,16,8
Clément Russo,Groupama - FDJ,143,8
Matis Louvel,Israel - Premier Tech,79,8
Riley Pickrell,Israel - Premier Tech,0,8
Julien Bernard,Lidl - Trek,97,8
Ryan Gibbons,Lidl - Trek,81,8
Théo Delacroix,St Michel - Preference Home - Auber93,0,8
Jérémy Lecroq,St Michel - Preference Home - Auber93,0,8
Matyáš Kopecký,Team Novo Nordisk,90,8
Mattéo Vercher,Team TotalEnergies,40,8
Hartthijs De Vries,Unibet Tietema Rockets,96,8
Kévin Avoine,Van Rysel - Roubaix,0,8
Emmanuel Morin,Van Rysel - Roubaix,0,8
Victor Guernalec,Arkéa - B&B Hotels,12,6
Simon Guglielmi,Arkéa - B&B Hotels,3,6
Laurens Huys,Arkéa - B&B Hotels,0,6
Edoardo Zamperini,Arkéa - B&B Hotels,0,6
Alessandro Borgo,Bahrain - Victorious,66,6
Nicolò Buratti,Bahrain - Victorious,26,6
Roman Ermakov,Bahrain - Victorious,16,6
Oliver Stockwell,Bahrain - Victorious,16,6
Similien Hamon,CIC U Nantes Atlantique,0,6
Ludovic Robeet,Cofidis,32,6
Oscar Chamberlain,Decathlon AG2R La Mondiale Team,43,6
Sander De Pestel,Decathlon AG2R La Mondiale Team,261,6
Colby Simmons,EF Education - Aevolo,11,6
Owain Doull,EF Education - EasyPost,36,6
Cyril Barthe,Groupama - FDJ,14,6
Thibaud Gruel,Groupama - FDJ,271,6
Olivier Le Gac,Groupama - FDJ,24,6
Oscar Nilsson-Julien,Groupama - FDJ,14,6
Guillaume Boivin,Israel - Premier Tech,0,6
Tim Declercq,Lidl - Trek,60,6
Romain Cardis,St Michel - Preference Home - Auber93,0,6
Alan Riou,St Michel - Preference Home - Auber93,0,6
Morné Van Niekerk,St Michel - Preference Home - Auber93,0,6
Fabien Grellier,Team TotalEnergies,10,6
Samuel Leroux,Team TotalEnergies,15,6
Joren Bloem,Unibet Tietema Rockets,17,6
Martijn Budding,Unibet Tietema Rockets,15,6
Jelle Johannink,Unibet Tietema Rockets,15,6
Tomáš Kopecký,Unibet Tietema Rockets,30,6
Kenny Molly,Van Rysel - Roubaix,0,6
Valentin Tabellion,Van Rysel - Roubaix,60,6
Quentin Bezza,Wagner Bazin WB,0,6
Louka Matthys,Wagner Bazin WB,0,6
Henri-François Renard-Haquin,Wagner Bazin WB,0,6
Kenneth Van Rooy,Wagner Bazin WB,20,6
Corentin Devroute,CIC U Nantes Atlantique,25,4
Justin Ducret,CIC U Nantes Atlantique,0,4
Antoine Hue,CIC U Nantes Atlantique,21,4
Yaël Joalland,CIC U Nantes Atlantique,0,4
Matisse Julien,CIC U Nantes Atlantique,10,4
Lenaic Langella,CIC U Nantes Atlantique,0,4
Oliver Knight,Cofidis,4,4
Gavin Hlady,EF Education - Aevolo,6,4
Titouan Fontaine,Groupama - FDJ,14,4
Michael Schwarzmann,Israel - Premier Tech,0,4
Andrei Carbunarea,Nice Métropole Côte d'Azur,0,4
Damien Girard,Nice Métropole Côte d'Azur,125,4
Carter Guichard,Nice Métropole Côte d'Azur,2,4
Alexander Konijn,Nice Métropole Côte d'Azur,100,4
Dylan Massa,Nice Métropole Côte d'Azur,2,4
Andrea Mifsud,Nice Métropole Côte d'Azur,2,4
Axel Narbonne Zuccarelli,Nice Métropole Côte d'Azur,2,4
Lucas Beneteau,St Michel - Preference Home - Auber93,110,4
Dillon Corkery,St Michel - Preference Home - Auber93,15,4
Lucas Dauge,Team Novo Nordisk,0,4
David Lozano,Team Novo Nordisk,0,4
Anton Muller,Team Novo Nordisk,0,4
Andrea Peron,Team Novo Nordisk,0,4
Alessandro Perracchione,Team Novo Nordisk,0,4
Umberto Poli,Team Novo Nordisk,0,4
Lucas Boniface,Team TotalEnergies,10,4
Baptiste Vadic,Team TotalEnergies,5,4
Abram Stockman,Unibet Tietema Rockets,15,4
Daniel Årnes,Van Rysel - Roubaix,24,4
Maximilien Juillard,Van Rysel - Roubaix,81,4
Killian Theot,Van Rysel - Roubaix,0,4
