Annemiek Van Vleuten,Movistar Team,459,26
Demi Vollering,Team SD Worx,344,20
Cecilie Uttrup Ludwig,FDJ Nouvelle-Aquitaine Futuroscope,191,18
Elisa Longo Borghini,Trek - Segafredo,489,18
Marta Cavalli,FDJ Nouvelle-Aquitaine Futuroscope,94,16
Liane Lippert,Team DSM,606,16
Elise Chabbey,Canyon//SRAM Racing,225,14
Juliette Labous,Team DSM,229,14
Ashleigh Moolman,Team SD Worx,635,14
Mavi García,UAE Team ADQ,29,14
Veronica Ewers,EF Education-TIBCO-SVB,269,12
Arlenis Sierra,Movistar Team,388,12
Floortje Mackaij,Team DSM,90,12
Marlen Reusser,Team SD Worx,241,12
Anna Shackley,Team SD Worx,218,12
Ellen Van Dijk,Trek - Segafredo,120,12
Alice Barnes,Canyon//SRAM Racing,5,10
Soraya Paladin,Canyon//SRAM Racing,412,10
Évita Muzic,FDJ Nouvelle-Aquitaine Futuroscope,294,10
Ane Santesteban,Team BikeExchange - Jayco,97,10
Amanda Spratt,Team BikeExchange - Jayco,198,10
Victorie Guilman,FDJ Nouvelle-Aquitaine Futuroscope,82,8
Marie Le Net,FDJ Nouvelle-Aquitaine Futuroscope,93,8
Jeanne Korevaar,Liv Racing Xstra,10,8
Katia Ragusa,Liv Racing Xstra,29,8
Sabrina Stultiens,Liv Racing Xstra,35,8
Mischa Bredewold,Parkhotel Valkenburg,20,8
Yara Kastelijn,Plantur-Pura,282,8
Marthe Truyen,Plantur-Pura,30,8
Tamara Dronova-Balabolina,Roland Cogeas Edelweiss Squad,145,8
Georgia Williams,Team BikeExchange - Jayco,100,8
Chloe Hosking,Trek - Segafredo,0,8
Leah Thomas,Trek - Segafredo,6,8
Neve Bradbury,Canyon//SRAM Racing,5,6
Ella Harris,Canyon//SRAM Racing,50,6
Marta Lach,Ceratizit-WNT Pro Cycling,188,6
Hanna Nilsson,Ceratizit-WNT Pro Cycling,6,6
Kathrin Hammes,EF Education-TIBCO-SVB,5,6
Omer Shapira,EF Education-TIBCO-SVB,20,6
Jade Wiel,FDJ Nouvelle-Aquitaine Futuroscope,23,6
Eva Buurman,Liv Racing Xstra,0,6
Silke Smulders,Liv Racing Xstra,0,6
Quinty Ton,Liv Racing Xstra,50,6
Jelena Erić,Movistar Team,26,6
Sheyla Gutiérrez,Movistar Team,26,6
Sara Martín,Movistar Team,28,6
Nicole Frain,Parkhotel Valkenburg,0,6
Femke Gerritse,Parkhotel Valkenburg,0,6
Julia Van Bokhoven,Parkhotel Valkenburg,0,6
Kirstie Van Haaften,Parkhotel Valkenburg,0,6
Christina Schweinberger,Plantur-Pura,0,6
Julie Van De Velde,Plantur-Pura,72,6
Caroline Baur,Roland Cogeas Edelweiss Squad,0,6
Alessandra Keller,Switzerland,0,6
Jessica Allen,Team BikeExchange - Jayco,10,6
Nina Kessler,Team BikeExchange - Jayco,102,6
Urška Žigart,Team BikeExchange - Jayco,10,6
Urša Pintar,UAE Team ADQ,51,6
Laura Tomasi,UAE Team ADQ,0,6
Sophie Wright,UAE Team ADQ,0,6
Elena Pirrone,Valcar - Travel & Service,0,6
Margaux Vigie,Valcar - Travel & Service,0,6
Clea Seidel,Ceratizit-WNT Pro Cycling,6,4
Lara Vieceli,Ceratizit-WNT Pro Cycling,6,4
Sara Poidevin,EF Education-TIBCO-SVB,0,4
Magdeleine Vallieres-Hill,EF Education-TIBCO-SVB,0,4
Quinty Schoens,Parkhotel Valkenburg,20,4
Imogen Cotter,Plantur-Pura,0,4
Hannah Buch,Roland Cogeas Edelweiss Squad,4,4
Léa Stern,Roland Cogeas Edelweiss Squad,4,4
Petra Stiasny,Roland Cogeas Edelweiss Squad,172,4
Anna Traxler,Roland Cogeas Edelweiss Squad,4,4
Ginia Caluori,Switzerland,0,4
Lea Fuchs,Switzerland,0,4
Elena Hartmann,Switzerland,11,4
Michelle Startk,Switzerland,0,4
Francesca Barale,Team DSM,82,4
Elise Uijen,Team DSM,151,4
Linda Zanetti,UAE Team ADQ,0,4
Carlotta Cipressi,Valcar - Travel & Service,0,4
Emma Redaelli,Valcar - Travel & Service,0,4
Elizabeth Stannard,Valcar - Travel & Service,0,4
