Demi Vollering,Team SD Worx - Protime,651,26
Lotte Kopecky,Team SD Worx - Protime,948,24
Évita Muzic,FDJ - SUEZ,52,16
Liane Lippert,Movistar Team,301,16
Juliette Labous,Team dsm-firmenich PostNL,343,16
Ashleigh Moolman,AG Insurance - Soudal Team,303,14
Elisa Balsamo,Lidl - Trek,291,14
Gaia Realini,Lidl - Trek,366,14
Elise Chabbey,Canyon//SRAM Racing,47,12
Chloe Dygert,Canyon//SRAM Racing,25,12
Cecilie  Uttrup Ludwig,FDJ - SUEZ,2,12
Pauliena Rooijakkers,Fenix-Deceuninck,153,12
Shirin Van Anrooij,Lidl - Trek,16,12
Niamh Fisher-Black,Team SD Worx - Protime,583,12
Sarah Gigante,AG Insurance - Soudal Team,253,10
Neve Bradbury,Canyon//SRAM Racing,0,10
Soraya Paladin,Canyon//SRAM Racing,2,10
Cédrine Kerbaol,CERATIZIT-WNT Pro Cycling Team,188,10
Grace Brown,FDJ - SUEZ,47,10
Yara Kastelijn,Fenix-Deceuninck,88,10
Mavi García,Liv AlUla Jayco,427,10
Claire Steels,Movistar Team,9,10
Riejanne Markus,Team Visma | Lease a Bike,282,10
Sofia Bertizzolo,UAE Team ADQ,21,10
Eleonora Gasparrini,UAE Team ADQ,80,10
Erica Magnaldi,UAE Team ADQ,80,10
Mireia Benito,AG Insurance - Soudal Team,32,8
Julie Van De Velde,AG Insurance - Soudal Team,32,8
Antonia Niedermaier,Canyon//SRAM Racing,91,8
Alice Maria Arzuffi,CERATIZIT-WNT Pro Cycling Team,35,8
Loes Adegeest,FDJ - SUEZ,10,8
Alessia Vigilia,FDJ - SUEZ,0,8
Katia Ragusa,Human Powered Health,0,8
Lauretta Hanson,Lidl - Trek,18,8
Ellen Van Dijk,Lidl - Trek,18,8
Ella Wyllie,Liv AlUla Jayco,19,8
Urška Žigart,Liv AlUla Jayco,19,8
Floortje Mackaij,Movistar Team,9,8
Mareille Meijering,Movistar Team,181,8
Noemi Rüegg,Switzerland,286,8
Nienke Vinke,Team dsm-firmenich PostNL,235,8
Christine Majerus,Team SD Worx - Protime,152,8
Rosita Reijnhout,Team Visma | Lease a Bike,28,8
Susanne Andersen,Uno-X Mobility,0,8
Julia Borgström,AG Insurance - Soudal Team,32,6
Tiffany Cromwell,Canyon//SRAM Racing,0,6
Sandra Alonso,CERATIZIT-WNT Pro Cycling Team,0,6
Marta Jaskulska,CERATIZIT-WNT Pro Cycling Team,0,6
Morgane Coston,Cofidis Women Team,0,6
Špela Kern,Cofidis Women Team,0,6
Marie Le Net,FDJ - SUEZ,5,6
Ceylin Alvarado,Fenix-Deceuninck,0,6
Greta Marturano,Fenix-Deceuninck,17,6
Petra Stiasny,Fenix-Deceuninck,0,6
Giada Borghesi,Human Powered Health,10,6
Henrietta Christie,Human Powered Health,0,6
Barbara Malcotti,Human Powered Health,87,6
Linda Zanetti,Human Powered Health,5,6
Ilaria Sanguineti,Lidl - Trek,18,6
Caroline Andersson,Liv AlUla Jayco,92,6
Ingvild Gåskjenn,Liv AlUla Jayco,132,6
Silke Smulders,Liv AlUla Jayco,69,6
Sara Martín,Movistar Team,9,6
Paula Patiño,Movistar Team,9,6
Natalie Grinczer,Roland,0,6
Elena Hartmann,Roland,0,6
Anna Kiesenhofer,Roland,0,6
Ginia Caluori,Switzerland,1,6
Francesca Barale,Team dsm-firmenich PostNL,12,6
Eleonora Ciabocco,Team dsm-firmenich PostNL,12,6
Josie Nelson,Team dsm-firmenich PostNL,12,6
Eglantine Rayer,Team dsm-firmenich PostNL,12,6
Femke Gerritse,Team SD Worx - Protime,141,6
Femke Markus,Team SD Worx - Protime,92,6
Carlijn Achtereekte,Team Visma | Lease a Bike,8,6
Maud Oudeman,Team Visma | Lease a Bike,6,6
Eva Van Agt,Team Visma | Lease a Bike,17,6
Anastasia Carbonari,UAE Team ADQ,0,6
Mikayla Harvey,UAE Team ADQ,0,6
Katrine Aalerud,Uno-X Mobility,0,6
Elinor Barker,Uno-X Mobility,0,6
Anouska Koster,Uno-X Mobility,19,6
Mie Bjørndal Ottestad,Uno-X Mobility,0,6
Lore De Schepper,AG Insurance - Soudal NXTG,269,4
Laura Asencio,CERATIZIT-WNT Pro Cycling Team,0,4
Nina Berton,CERATIZIT-WNT Pro Cycling Team,0,4
Julie Bego,Cofidis Women Team,40,4
Séverine Eraud,Cofidis Women Team,0,4
Hannah Ludwig,Cofidis Women Team,0,4
Nikola Nosková,Cofidis Women Team,6,4
Flora Perkins,Fenix-Deceuninck,0,4
Nathalie Eklund,Roland,0,4
Lea Huber,Switzerland,0,4
Noelle Ingold,Switzerland,15,4
Jasmin Liechti,Switzerland,12,4
Léa Stern,Switzerland,0,4
Mijntje Geurts,Team Visma | Lease a Bike,6,4
Elizabeth Holden,UAE Team ADQ,5,4
