Juan Ayuso,UAE Team Emirates,496,24
Adam Yates,UAE Team Emirates,229,22
Aleksandr Vlasov,BORA - hansgrohe,575,18
Carlos Rodríguez,INEOS Grenadiers,602,18
Simon Yates,Team Jayco AlUla,148,18
Jai Hindley,BORA - hansgrohe,60,16
Lenny Martinez,Groupama - FDJ,235,16
Brandon McNulty,UAE Team Emirates,169,16
Alexey Lutsenko,Astana Qazaqstan Team,0,14
David Gaudu,Groupama - FDJ,143,14
Egan Bernal,INEOS Grenadiers,240,14
Enric Mas,Movistar Team,323,14
Ilan Van Wilder,Soudal - Quick Step,420,14
Damiano Caruso,Bahrain - Victorious,27,12
Richard Carapaz,EF Education-EasyPost,339,12
Thymen Arensman,INEOS Grenadiers,75,12
Ethan Hayter,INEOS Grenadiers,34,12
Giulio Ciccone,Lidl - Trek,18,12
Tao Geoghegan Hart,Lidl - Trek,217,12
Pavel Sivakov,UAE Team Emirates,114,12
Sergio Higuita,BORA - hansgrohe,50,10
Guillaume Martin,Cofidis,123,10
Andreas Kron,Lotto Dstny,0,10
Milan Menten,Lotto Dstny,146,10
Alex Aranburu,Movistar Team,206,10
Julian Alaphilippe,Soudal - Quick Step,132,10
Eddie Dunbar,Team Jayco AlUla,4,10
Luke Plapp,Team Jayco AlUla,146,10
Alberto Dainese,Tudor Pro Cycling Team,0,10
Felix Großschartner,UAE Team Emirates,148,10
Cristián Rodríguez,Arkéa - B&B Hotels,158,8
Harold Tejada,Astana Qazaqstan Team,3,8
Roger Adrià,BORA - hansgrohe,78,8
Jesús Herrada,Cofidis,0,8
Bruno Armirail,Decathlon AG2R La Mondiale Team,123,8
Clément Berthet,Decathlon AG2R La Mondiale Team,96,8
Dorian Godon,Decathlon AG2R La Mondiale Team,535,8
Andrea Vendrame,Decathlon AG2R La Mondiale Team,503,8
Rigoberto Urán,EF Education-EasyPost,6,8
Rudy Molard,Groupama - FDJ,5,8
Magnus Sheffield,INEOS Grenadiers,153,8
Simone Consonni,Lidl - Trek,134,8
Patrick Konrad,Lidl - Trek,20,8
Sylvain Moniquet,Lotto Dstny,0,8
Eduardo Sepúlveda,Lotto Dstny,0,8
Rémi Cavagna,Movistar Team,25,8
Iván Ramiro Sosa,Movistar Team,30,8
Mattia Cattaneo,Soudal - Quick Step,6,8
Jan Tratnik,Team Visma | Lease a Bike,1,8
Xandro Meurisse,Alpecin-Deceuninck,20,6
Stan Van Tricht,Alpecin-Deceuninck,6,6
Luca Vergallito,Alpecin-Deceuninck,26,6
Gianni Vermeersch,Alpecin-Deceuninck,243,6
Raúl García Pierna,Arkéa - B&B Hotels,64,6
Thibault Guernalec,Arkéa - B&B Hotels,0,6
Clément Venturini,Arkéa - B&B Hotels,117,6
Anton Kuzmin,Astana Qazaqstan Team,0,6
Daniil Marukhin,Astana Qazaqstan Team,0,6
Nikias Arndt,Bahrain - Victorious,66,6
Matevž Govekar,Bahrain - Victorious,112,6
Rainer Kepplinger,Bahrain - Victorious,11,6
Johan Price-Pejtersen,Bahrain - Victorious,76,6
Edoardo Zambanini,Bahrain - Victorious,26,6
Patrick Gamper,BORA - hansgrohe,20,6
Florian Lipowitz,BORA - hansgrohe,543,6
Axel Mariault,Cofidis,0,6
Stefano Oldani,Cofidis,0,6
Benjamin Thomas,Cofidis,35,6
