Simon Yates,Team Jayco AlUla,0,20
Sergio Higuita,BORA - hansgrohe,0,18
Juan Ayuso,UAE Team Emirates,556,18
Adam Yates,UAE Team Emirates,774,18
Ethan Hayter,INEOS Grenadiers,536,16
Tobias Foss,Jumbo-Visma,275,16
Alexey Lutsenko,Astana Qazaqstan Team,0,14
Gino Mäder,Bahrain - Victorious,166,14
Romain Bardet,Team DSM,492,14
Damiano Caruso,Bahrain - Victorious,462,12
Ion Izagirre,Cofidis,0,12
Thibaut Pinot,Groupama - FDJ,315,12
Michael Woods,Israel - Premier Tech,0,12
Fernando Gaviria,Movistar Team,194,12
Matteo Jorgenson,Movistar Team,558,12
Mark Cavendish,Astana Qazaqstan Team,0,10
Cian Uijtdebroeks,BORA - hansgrohe,242,10
Magnus Cort,EF Education-EasyPost,105,10
Lenny Martinez,Groupama - FDJ,14,10
Egan Bernal,INEOS Grenadiers,217,10
Elia Viviani,INEOS Grenadiers,14,10
Giacomo Nizzolo,Israel - Premier Tech,0,10
Steven Kruijswijk,Jumbo-Visma,17,10
Rémi Cavagna,Soudal - Quick Step,170,10
Alberto Dainese,Team DSM,2,10
Rafał Majka,UAE Team Emirates,221,10
Geoffrey Bouchard,AG2R Citroën Team,40,8
Robert Stannard,Alpecin-Deceuninck,21,8
Lionel Taminiaux,Alpecin-Deceuninck,0,8
Bob Jungels,BORA - hansgrohe,0,8
Simon Geschke,Cofidis,0,8
Jesús Herrada,Cofidis,7,8
Mark Padun,EF Education-EasyPost,0,8
Jhonatan Narváez,INEOS Grenadiers,19,8
Rui Costa,Intermarché - Circus - Wanty,0,8
Louis Meintjes,Intermarché - Circus - Wanty,58,8
Dion Smith,Intermarché - Circus - Wanty,30,8
Rein Taaramäe,Intermarché - Circus - Wanty,32,8
Nick Schultz,Israel - Premier Tech,100,8
Thomas Gloag,Jumbo-Visma,201,8
Gijs Leemreize,Jumbo-Visma,7,8
Milan Menten,Lotto Dstny,195,8
Sylvain Moniquet,Lotto Dstny,2,8
Eduardo Sepúlveda,Lotto Dstny,7,8
James Knox,Soudal - Quick Step,22,8
Fausto Masnada,Soudal - Quick Step,34,8
Ethan Vernon,Soudal - Quick Step,284,8
Clément Champoussin,Team Arkéa Samsic,20,8
Luca Mozzato,Team Arkéa Samsic,70,8
Kévin Vauquelin,Team Arkéa Samsic,0,8
Oscar Onley,Team DSM,145,8
Eddie Dunbar,Team Jayco AlUla,174,8
Chris Harper,Team Jayco AlUla,2,8
Matteo Sobrero,Team Jayco AlUla,214,8
Filippo Zana,Team Jayco AlUla,77,8
Sébastien Reichenbach,Tudor Pro Cycling Team,6,8
Mikkel Bjerg,UAE Team Emirates,207,8
Clément Berthet,AG2R Citroën Team,15,6
Dorian Godon,AG2R Citroën Team,0,6
Nans Peters,AG2R Citroën Team,0,6
Clément Venturini,AG2R Citroën Team,55,6
Tobias Bayer,Alpecin-Deceuninck,15,6
Quinten Hermans,Alpecin-Deceuninck,40,6
Kristian Sbaragli,Alpecin-Deceuninck,0,6
Harold Tejada,Astana Qazaqstan Team,62,6
Nikias Arndt,Bahrain - Victorious,194,6
Johan Price-Pejtersen,Bahrain - Victorious,8,6
Ben Zwiehoff,BORA - hansgrohe,49,6
Anthony Perez,Cofidis,0,6
Andrey Amador,EF Education-EasyPost,8,6
Jonathan Klever Caicedo,EF Education-EasyPost,50,6
Simon Carr,EF Education-EasyPost,24,6
Odd Christian Eiking,EF Education-EasyPost,0,6
Sean Quinn,EF Education-EasyPost,0,6
Lewis Askey,Groupama - FDJ,64,6
Reuben Thompson,Groupama - FDJ,4,6
Jonathan Castroviejo,INEOS Grenadiers,185,6
Brandon Smith Rivera,INEOS Grenadiers,14,6
Niccolò Bonifazio,Intermarché - Circus - Wanty,0,6
Lilian Calmejane,Intermarché - Circus - Wanty,60,6
Kobe Goossens,Intermarché - Circus - Wanty,75,6
Chris Froome,Israel - Premier Tech,0,6
Rick Zabel,Israel - Premier Tech,0,6
Robert Gesink,Jumbo-Visma,26,6
Lennard Hofstede,Jumbo-Visma,6,6
Jos Van Emden,Jumbo-Visma,7,6
Thomas De Gendt,Lotto Dstny,95,6
Mathijs Paasschens,Lotto Dstny,2,6
Gregor Mühlberger,Movistar Team,29,6
Nelson Oliveira,Movistar Team,197,6
Sergio Samitier,Movistar Team,24,6
Josef Černý,Soudal - Quick Step,209,6
Casper Pedersen,Soudal - Quick Step,31,6
Jan Christen,Switzerland,0,6
Cristián Rodríguez,Team Arkéa Samsic,0,6
Marco Brenner,Team DSM,50,6
Chris Hamilton,Team DSM,30,6
Max Poole,Team DSM,370,6
Lawson Craddock,Team Jayco AlUla,19,6
Kenny Elissonde,Trek - Segafredo,6,6
Tony Gallopin,Trek - Segafredo,4,6
Thibau Nys,Trek - Segafredo,160,6
Alexander Kamp,Tudor Pro Cycling Team,43,6
Joel Suter,Tudor Pro Cycling Team,101,6
Yannis Voisard,Tudor Pro Cycling Team,74,6
Luc Wirtgen,Tudor Pro Cycling Team,6,6
Domen Novak,UAE Team Emirates,74,6
Paul Lapeira,AG2R Citroën Team,41,4
Michael Schär,AG2R Citroën Team,9,4
Jason Osborne,Alpecin-Deceuninck,0,4
Fabio Van Den Bossche,Alpecin-Deceuninck,0,4
Leonardo Basso,Astana Qazaqstan Team,0,4
Gleb Brussenskiy,Astana Qazaqstan Team,72,4
Gianmarco Garofoli,Astana Qazaqstan Team,110,4
Antonio Nibali,Astana Qazaqstan Team,0,4
Rainer Kepplinger,Bahrain - Victorious,149,4
Filip Maciejuk,Bahrain - Victorious,31,4
Dušan Rajović,Bahrain - Victorious,8,4
Cesare Benedetti,BORA - hansgrohe,0,4
Nico Denz,BORA - hansgrohe,132,4
Luis-Joe Lührs,BORA - hansgrohe,0,4
Thomas Champion,Cofidis,0,4
Eddy Finé,Cofidis,10,4
Pierre-Luc Périchon,Cofidis,0,4
Lorenzo Germani,Groupama - FDJ,4,4
Enzo Paleni,Groupama - FDJ,4,4
Cameron Wurf,INEOS Grenadiers,19,4
Reto Hollenstein,Israel - Premier Tech,0,4
Mason Hollyman,Israel - Premier Tech,0,4
Johannes Adamietz,Lotto Dstny,2,4
Harry Sweeny,Lotto Dstny,72,4
Will Barta,Movistar Team,214,4
Iván Romeo,Movistar Team,24,4
Dries Devenyns,Soudal - Quick Step,24,4
Antoine Aebi,Switzerland,15,4
Jonathan Bögli,Switzerland,0,4
Antoine Debons,Switzerland,10,4
Dario Lillo,Switzerland,42,4
Jan Sommer,Switzerland,0,4
Jan Stöckli,Switzerland,5,4
Ewen Costiou,Team Arkéa Samsic,22,4
Kévin Ledanois,Team Arkéa Samsic,5,4
Andrii Ponomar,Team Arkéa Samsic,0,4
Niklas Märkl,Team DSM,2,4
Christopher Juul-Jensen,Team Jayco AlUla,42,4
Julien Bernard,Trek - Segafredo,173,4
Marc Brustenga,Trek - Segafredo,4,4
Asbjørn Hellemose,Trek - Segafredo,4,4
Jacopo Mosca,Trek - Segafredo,84,4
Tom Bohli,Tudor Pro Cycling Team,46,4
Arthur Kluckers,Tudor Pro Cycling Team,31,4
Finn Fisher-Black,UAE Team Emirates,171,4
Ivo Oliveira,UAE Team Emirates,165,4
