Marianne Vos,Team Jumbo-Visma,1006,24
Demi Vollering,Team SD Worx,45,24
Cecilie Uttrup Ludwig,FDJ Nouvelle-Aquitaine Futuroscope,741,20
Alexandra Manly,Team BikeExchange - Jayco,798,14
Liane Lippert,Team DSM,489,14
Floortje Mackaij,Team DSM,354,14
Sofia Bertizzolo,UAE Team ADQ,325,14
Alison Jackson,Liv Racing Xstra,283,12
Niamh Fisher-Black,Team SD Worx,6,12
Lucinda Brand,Trek - Segafredo,388,12
Alice Barnes,Canyon//SRAM Racing,116,10
Sarah Roy,Canyon//SRAM Racing,46,10
Brodie Chapman,FDJ Nouvelle-Aquitaine Futuroscope,18,10
Katrine Aalerud,Movistar Team,169,10
Barbara Guarischi,Movistar Team,262,10
Yara Kastelijn,Plantur-Pura,69,10
Elena Cecchini,Team SD Worx,24,10
Sina Frei,Team SD Worx,34,10
Anna Shackley,Team SD Worx,6,10
Audrey Cordon-Ragot,Trek - Segafredo,0,10
Chloe Hosking,Trek - Segafredo,120,10
Erica Magnaldi,UAE Team ADQ,165,10
Susanne Andersen,Uno-X Pro Cycling Team,67,10
Shari Bossuyt,Canyon//SRAM Racing,615,8
Neve Bradbury,Canyon//SRAM Racing,227,8
Mikayla Harvey,Canyon//SRAM Racing,18,8
Stine Borgli,FDJ Nouvelle-Aquitaine Futuroscope,66,8
Emilia Fahlin,FDJ Nouvelle-Aquitaine Futuroscope,268,8
Gladys Verhulst,Le Col - Wahoo,204,8
Valerie Demey,Liv Racing Xstra,0,8
Jeanne Korevaar,Liv Racing Xstra,45,8
Tereza Neumanova,Liv Racing Xstra,32,8
Katia Ragusa,Liv Racing Xstra,50,8
Sarah Gigante,Movistar Team,6,8
Mischa Bredewold,Parkhotel Valkenburg,45,8
Femke Markus,Parkhotel Valkenburg,38,8
Tamara Dronova-Balabolina,Roland Cogeas Edelweiss Squad,500,8
Ruby Roseman-Gannon,Team BikeExchange - Jayco,119,8
Georgia Williams,Team BikeExchange - Jayco,90,8
Nicole Steigenga,Team Coop - Hitec Products,41,8
Leah Kirchmann,Team DSM,77,8
Blanka Vas,Team SD Worx,84,8
Maaike Boogaard,UAE Team ADQ,14,8
Eugenia Bujak,UAE Team ADQ,114,8
Joscelin Lowden,Uno-X Pro Cycling Team,0,8
Julia Borgström,AG Insurance - NXTG Team,30,6
Maud Rijnbeek,AG Insurance - NXTG Team,12,6
Ella Harris,Canyon//SRAM Racing,16,6
Marita Jensen,Denmark,0,6
Eugénie Duval,FDJ Nouvelle-Aquitaine Futuroscope,68,6
Jade Wiel,FDJ Nouvelle-Aquitaine Futuroscope,41,6
Marta Jaskulska,Liv Racing Xstra,0,6
Sara Martín,Movistar Team,4,6
Lourdes Oyarbide,Movistar Team,29,6
Gloria Rodríguez,Movistar Team,4,6
Malin Eriksen,Norway,0,6
Femke Gerritse,Parkhotel Valkenburg,137,6
Lieke Nooijen,Parkhotel Valkenburg,0,6
Kirstie Van Haaften,Parkhotel Valkenburg,0,6
Marthe Truyen,Plantur-Pura,93,6
Julie Van De Velde,Plantur-Pura,308,6
Arianna Fidanza,Team BikeExchange - Jayco,30,6
Nina Kessler,Team BikeExchange - Jayco,138,6
Ingvild Gåskjenn,Team Coop - Hitec Products,22,6
Mari Hole Mohr,Team Coop - Hitec Products,0,6
Esmée Peperkamp,Team DSM,250,6
Anouska Koster,Team Jumbo-Visma,447,6
Amber Kraak,Team Jumbo-Visma,174,6
Linda Riedmann,Team Jumbo-Visma,167,6
Elynor Bäckstedt,Trek - Segafredo,4,6
Amalie Dideriksen,Trek - Segafredo,139,6
Lauretta Hanson,Trek - Segafredo,4,6
Laura Tomasi,UAE Team ADQ,123,6
Marte Berg Edseth,Uno-X Pro Cycling Team,0,6
Wilma Olausson,Uno-X Pro Cycling Team,0,6
Mie Bjørndal Ottestad,Uno-X Pro Cycling Team,0,6
Anne Dorthe Ysland,Uno-X Pro Cycling Team,0,6
Federica Damiana Piergiovanni,Valcar - Travel & Service,45,6
Elena Pirrone,Valcar - Travel & Service,25,6
Margaux Vigie,Valcar - Travel & Service,93,6
Amber Aernouts,AG Insurance - NXTG Team,0,4
Maureen Arens,AG Insurance - NXTG Team,0,4
Britt Knaven,AG Insurance - NXTG Team,0,4
Eline Van Rooijen,AG Insurance - NXTG Team,91,4
Maja Winther Brandt,Denmark,0,4
Trine Holmsgaard,Denmark,0,4
Josefine Huitfeldt,Denmark,0,4
Marie-Louise Krogager,Denmark,0,4
Mia Sofie Rutzou,Denmark,0,4
