Lorena Wiebes,Team DSM,1382,24
Chantal Van Den Broek-Blaak,Team SD Worx,112,18
Alison Jackson,Liv Racing Xstra,459,14
Christine Majerus,Team SD Worx,0,14
Shari Bossuyt,Canyon//SRAM Racing,0,12
Lisa Klein,Canyon//SRAM Racing,0,12
Soraya Paladin,Canyon//SRAM Racing,401,12
Georgia Baker,Team BikeExchange - Jayco,117,12
Pfeiffer Georgi,Team DSM,71,12
Ashleigh Moolman,Team SD Worx,2,12
Lonneke Uneken,Team SD Worx,248,12
Susanne Andersen,Uno-X Pro Cycling Team,0,12
Chiara Consonni,Valcar - Travel & Service,109,12
Alice Barnes,Canyon//SRAM Racing,72,10
Emilia Fahlin,FDJ Nouvelle-Aquitaine Futuroscope,0,10
Jeanne Korevaar,Liv Racing Xstra,96,10
Amber Van Der Hulst,Liv Racing Xstra,2,10
Mischa Bredewold,Parkhotel Valkenburg,421,10
Femke Markus,Parkhotel Valkenburg,0,10
Tamara Dronova-Balabolina,Roland Cogeas Edelweiss Squad,290,10
Ruby Roseman-Gannon,Team BikeExchange - Jayco,421,10
Amanda Spratt,Team BikeExchange - Jayco,363,10
Leah Kirchmann,Team DSM,72,10
Charlotte Kool,Team DSM,273,10
Anna Henderson,Team Jumbo-Visma,593,10
Coryn Labecki,Team Jumbo-Visma,14,10
Riejanne Markus,Team Jumbo-Visma,604,10
Karlijn Swinkels,Team Jumbo-Visma,992,10
Elena Cecchini,Team SD Worx,7,10
Audrey Cordon-Ragot,Trek - Segafredo,672,10
Eugenia Bujak,UAE Team ADQ,55,10
Stine Borgli,FDJ Nouvelle-Aquitaine Futuroscope,0,8
Clara Copponi,FDJ Nouvelle-Aquitaine Futuroscope,90,8
Eugénie Duval,FDJ Nouvelle-Aquitaine Futuroscope,270,8
Victorie Guilman,FDJ Nouvelle-Aquitaine Futuroscope,0,8
Rachele Barbieri,Liv Racing Xstra,150,8
Julie Van De Velde,Plantur-Pura,49,8
Franziska Koch,Team DSM,87,8
Roxane Fournier,Team SD Worx,2,8
Amalie Dideriksen,Trek - Segafredo,58,8
Chloe Hosking,Trek - Segafredo,87,8
Hannah Barnes,Uno-X Pro Cycling Team,0,8
Eleonora Camilla Gasparrini,Valcar - Travel & Service,414,8
Mylène De Zoete,AG Insurance - NXTG Team,161,6
Ilse Pluimers,AG Insurance - NXTG Team,67,6
Maud Rijnbeek,AG Insurance - NXTG Team,30,6
Eline Van Rooijen,AG Insurance - NXTG Team,22,6
Ella Harris,Canyon//SRAM Racing,35,6
Maëlle Grossetête,FDJ Nouvelle-Aquitaine Futuroscope,90,6
Clara Lundmark,GT Krush Tunap Pro Cycling,0,6
Eva Buurman,Liv Racing Xstra,20,6
Silke Smulders,Liv Racing Xstra,102,6
Lieke Nooijen,Parkhotel Valkenburg,30,6
Kirstie Van Haaften,Parkhotel Valkenburg,136,6
Sanne Cant,Plantur-Pura,6,6
Julie De Wilde,Plantur-Pura,291,6
Justine Ghekiere,Plantur-Pura,151,6
Christina Schweinberger,Plantur-Pura,31,6
Caroline Baur,Roland Cogeas Edelweiss Squad,0,6
Rotem Gafinovitz,Roland Cogeas Edelweiss Squad,0,6
Jessica Allen,Team BikeExchange - Jayco,2,6
Teniel Campbell,Team BikeExchange - Jayco,19,6
Nina Kessler,Team BikeExchange - Jayco,24,6
Romy Kasper,Team Jumbo-Visma,234,6
Noemi Rüegg,Team Jumbo-Visma,86,6
Elynor Bäckstedt,Trek - Segafredo,53,6
Lauretta Hanson,Trek - Segafredo,87,6
Laura Tomasi,UAE Team ADQ,377,6
Anna Trevisi,UAE Team ADQ,0,6
Amalie Lutro,Uno-X Pro Cycling Team,0,6
Anastasia Carbonari,Valcar - Travel & Service,0,6
Elena Pirrone,Valcar - Travel & Service,4,6
Ilaria Sanguineti,Valcar - Travel & Service,137,6
Senne Knaven,AG Insurance - NXTG Team,20,4
Yuli Van Der Molen,AG Insurance - NXTG Team,0,4
Maud Oudeman,Canyon//SRAM Racing,0,4
Marissa Baks,GT Krush Tunap Pro Cycling,0,4
Femke De Vries,GT Krush Tunap Pro Cycling,0,4
Anneke Dijkstra,GT Krush Tunap Pro Cycling,0,4
Daniek Hengeveld,GT Krush Tunap Pro Cycling,55,4
Melissa Van Neck,GT Krush Tunap Pro Cycling,0,4
Quinty Schoens,Parkhotel Valkenburg,31,4
Rosalie Van Der Wolf,Parkhotel Valkenburg,0,4
Millie Couzens,Plantur-Pura,0,4
Hannah Buch,Roland Cogeas Edelweiss Squad,0,4
Aline Seitz,Roland Cogeas Edelweiss Squad,25,4
Léa Stern,Roland Cogeas Edelweiss Squad,0,4
Elise Uijen,Team DSM,92,4
Alessia Patuelli,UAE Team ADQ,13,4
Sophie Wright,UAE Team ADQ,53,4
Linda Zanetti,UAE Team ADQ,13,4
Anniina Ahtosalo,Uno-X Pro Cycling Team,5,4
Rebecca Koerner,Uno-X Pro Cycling Team,0,4
Carlotta Cipressi,Valcar - Travel & Service,4,4
