Marianne Vos,Team Jumbo-Visma Women,994,22
Cecilie Uttrup Ludwig,FDJ Nouvelle Aquitaine Futuroscope,153,20
Ellen Van Dijk,Trek-Segafredo Women,660,18
Marlen Reusser,Alé BTC Ljubljana,590,16
Amy Pieters,SD Worx,559,16
Demi Vollering,SD Worx,526,16
Lorena Wiebes,Team DSM,223,16
Katarzyna Niewiadoma,Canyon SRAM Racing ,326,14
Emma Norsgaard,Movistar Team,156,14
Chantal Van Den Broeck-Blaak,SD Worx,936,14
Elisa Balsamo,Valcar - Travel & Service,240,14
Lisa Klein,Canyon SRAM Racing ,266,12
Christine Majerus,SD Worx,104,12
Marta Bastianelli,Alé BTC Ljubljana,350,10
Maaike Boogaard,Alé BTC Ljubljana,14,10
Anastasiia Chursina,Alé BTC Ljubljana,10,10
Alice Barnes,Canyon SRAM Racing ,217,10
Maria Giulia Confalonieri,Ceratizit-WNT Pro Cycling,19,10
Kirsten Wild,Ceratizit-WNT Pro Cycling,4,10
Alison Jackson,Liv Racing,677,10
Lonneke Uneken,SD Worx,430,10
Sarah Roy,Team BikeExchange,72,10
Susanne Andersen,Team DSM,130,10
Chloe Hosking,Trek-Segafredo Women,4,10
Chiara Consonni,Valcar - Travel & Service,42,10
Hannah Barnes,Canyon SRAM Racing ,35,8
Valerie Demey,Liv Racing,12,8
Jelena Erić,Movistar Team,0,8
Charlotte Kool,NXTG Racing,119,8
Amber Van Der Hulst,Parkhotel Valkenburg,152,8
Elena Cecchini,SD Worx,20,8
Georgia Williams,Team BikeExchange,0,8
Leah Kirchmann,Team DSM,12,8
Laura Tomasi,Alé BTC Ljubljana,92,6
Ella Harris,Canyon SRAM Racing ,143,6
Alexis Ryan,Canyon SRAM Racing ,27,6
Julie Leth,Ceratizit-WNT Pro Cycling,58,6
Lea Lin Teutenberg,Ceratizit-WNT Pro Cycling,0,6
Brodie Chapman,FDJ Nouvelle Aquitaine Futuroscope,4,6
Clara Copponi,FDJ Nouvelle Aquitaine Futuroscope,63,6
Eugénie Duval,FDJ Nouvelle Aquitaine Futuroscope,84,6
Daniek Hengeveld,GT Krush Tunap,0,6
Quinty Ton,GT Krush Tunap,0,6
Nienke Wasmus,GT Krush Tunap,0,6
Marta Jaskulska,Liv Racing,54,6
Jeanne Korevaar,Liv Racing,173,6
Jesse Vandenbulcke,Lotto Soudal Ladies,0,6
Elise Vander Sande,Lotto Soudal Ladies,0,6
Aude Biannic,Movistar Team,0,6
Alicia González,Movistar Team,60,6
Barbara Guarischi,Movistar Team,120,6
Julia Borgström,NXTG Racing,40,6
Catalina Soto,NXTG Racing,0,6
Mischa Bredewold,Parkhotel Valkenburg,137,6
Nina Buysman,Parkhotel Valkenburg,52,6
Femke Markus,Parkhotel Valkenburg,54,6
Teniel Campbell,Team BikeExchange,9,6
Janneke Ensing,Team BikeExchange,59,6
Pfeiffer Georgi,Team DSM,473,6
Julia Soek,Team DSM,12,6
Teuntje Beekhuis,Team Jumbo-Visma Women,31,6
Romy Kasper,Team Jumbo-Visma Women,101,6
Anouska Koster,Team Jumbo-Visma Women,237,6
Pernille Mathiesen,Team Jumbo-Visma Women,29,6
Karlijn Swinkels,Team Jumbo-Visma Women,74,6
Amalie Dideriksen,Trek-Segafredo Women,126,6
Lauretta Hanson,Trek-Segafredo Women,6,6
Letizia Paternoster,Trek-Segafredo Women,2,6
Eleonora Camilla Gasparrini,Valcar - Travel & Service,0,6
Vittoria Guazzini,Valcar - Travel & Service,65,6
Silvia Persico,Valcar - Travel & Service,10,6
Franziska Brausse,Ceratizit-WNT Pro Cycling,7,4
Maëlle Grossetête,FDJ Nouvelle Aquitaine Futuroscope,171,4
Sanne Bouwmeester,GT Krush Tunap,0,4
Henrietta Colborne,GT Krush Tunap,0,4
Clara Lundmark,GT Krush Tunap,0,4
Evy Kuijpers,Liv Racing,12,4
Danique Braam,Lotto Soudal Ladies,20,4
Alana Castrique,Lotto Soudal Ladies,0,4
Hanna Nilsson,Lotto Soudal Ladies,80,4
Silke Smulders,Lotto Soudal Ladies,128,4
Gloria Rodríguez,Movistar Team,0,4
Britt Knaven,NXTG Racing,0,4
Ilse Pluimers,NXTG Racing,0,4
Maud Rijnbeek,NXTG Racing,0,4
Femke Gerritse,Parkhotel Valkenburg,10,4
Lieke Nooijen,Parkhotel Valkenburg,0,4
Jessica Allen,Team BikeExchange,0,4
Megan Jastrab,Team DSM,12,4
Trixi Worrack,Trek-Segafredo Women,8,4
Margaux Vigie,Valcar - Travel & Service,0,4
