Demi Vollering,FDJ - SUEZ,791,28
Marlen Reusser,Movistar Team,987,22
Katarzyna Niewiadoma,CANYON//SRAM zondacrypto,685,20
Elisa Balsamo,Lidl - Trek,222,18
Neve Bradbury,CANYON//SRAM zondacrypto,14,16
Elise Chabbey,FDJ - SUEZ,408,16
Kristen Faulkner,EF Education-Oatly,71,14
Cédrine Kerbaol,EF Education-Oatly,285,14
Niamh Fisher-Black,Lidl - Trek,494,14
Gaia Realini,Lidl - Trek,20,14
Mavi García,Liv AlUla Jayco,289,14
Noemi Rüegg,EF Education-Oatly,291,12
Monica Trinca Colonel,Liv AlUla Jayco,97,12
Mischa Bredewold,Team SD Worx - Protime,159,12
Marta Lach,Team SD Worx - Protime,294,12
Marion Bunel,Team Visma | Lease a Bike,178,12
Urška Žigart,AG Insurance - Soudal Team,394,10
Agnieszka Skalniak-Sójka,CANYON//SRAM zondacrypto,104,10
Elena Hartmann,CERATIZIT Pro Cycling Team,0,10
Amber Kraak,FDJ - SUEZ,324,10
Yara Kastelijn,Fenix-Deceuninck,339,10
Amanda Spratt,Lidl - Trek,160,10
Mareille Meijering,Movistar Team,77,10
Tamara Dronova-Balabolina,Roland,0,10
Marta Cavalli,Team Picnic PostNL,5,10
Femke De Vries,Team Visma | Lease a Bike,115,10
Mireia Benito,AG Insurance - Soudal Team,153,8
Lore De Schepper,AG Insurance - Soudal Team,43,8
Sarah Gigante,AG Insurance - Soudal Team,272,8
Ricarda Bauernfeind,CANYON//SRAM zondacrypto,19,8
Kristýna Burlová,CERATIZIT Pro Cycling Team,0,8
Sara Fiorin,CERATIZIT Pro Cycling Team,0,8
Henrietta Christie,EF Education-Oatly,42,8
Alison Jackson,EF Education-Oatly,2,8
Jade Wiel,FDJ - SUEZ,49,8
Flora Perkins,Fenix-Deceuninck,50,8
Emma Norsgaard,Lidl - Trek,50,8
Caroline Andersson,Liv AlUla Jayco,80,8
Ella Wyllie,Liv AlUla Jayco,87,8
Jelena Erić,Movistar Team,36,8
Floortje Mackaij,Movistar Team,36,8
Eleonora Ciabocco,Team Picnic PostNL,255,8
Nienke Vinke,Team Picnic PostNL,73,8
Femke Gerritse,Team SD Worx - Protime,8,8
Blanka Vas,Team SD Worx - Protime,8,8
Rosita Reijnhout,Team Visma | Lease a Bike,0,8
Julia Borgström,AG Insurance - Soudal Team,54,6
Julie Van De Velde,AG Insurance - Soudal Team,30,6
Rasa Leleivytė,Aromitalia 3T Vaiano,0,6
Argiro Milaki,Aromitalia 3T Vaiano,0,6
Nora Jenčušová,BePink - Imatra - Bongioanni,0,6
Meike Uiterwijk Winkel,BePink - Imatra - Bongioanni,0,6
Justyna Czapla,CANYON//SRAM zondacrypto,14,6
Fariba Hashimi,CERATIZIT Pro Cycling Team,6,6
Daniek Hengeveld,CERATIZIT Pro Cycling Team,79,6
Petra Zsankó,CERATIZIT Pro Cycling Team,0,6
Natalie Grinczer,DAS - Hutchinson,0,6
Magdeleine Vallieres,EF Education-Oatly,4,6
Loes Adegeest,FDJ - SUEZ,61,6
Eglantine Rayer,FDJ - SUEZ,61,6
Carina Schrempf,Fenix-Deceuninck,84,6
Inge Van Der Heijden,Fenix-Deceuninck,0,6
Annemarie Worst,Fenix-Deceuninck,0,6
Isabella Holmgren,Lidl - Trek,177,6
Jeanne Korevaar,Liv AlUla Jayco,20,6
Amber Van Der Hulst,Liv AlUla Jayco,6,6
Claire Steels,Movistar Team,36,6
Jasmin Liechti,NEXETIS,20,6
Morgane Coston,Roland,15,6
Kaja Rysz,Roland,40,6
Petra Stiasny,Roland,163,6
Francesca Barale,Team Picnic PostNL,25,6
Steffi Häberlin,Team SD Worx - Protime,20,6
Mikayla Harvey,Team SD Worx - Protime,8,6
Mijntje Geurts,Team Visma | Lease a Bike,0,6
Irene Affolati,Aromitalia 3T Vaiano,0,4
Fanny Bonini,Aromitalia 3T Vaiano,0,4
Lucia Brillante Romeo,Aromitalia 3T Vaiano,0,4
Romina Costantini,Aromitalia 3T Vaiano,0,4
Irene Cagnazzo,BePink - Imatra - Bongioanni,0,4
Linda Laporta,BePink - Imatra - Bongioanni,0,4
Silvia Milesi,BePink - Imatra - Bongioanni,0,4
Gaia Segato,BePink - Imatra - Bongioanni,38,4
Rosa Maria Klöser,CANYON//SRAM zondacrypto,14,4
Elizabeth Hermolle,DAS - Hutchinson,0,4
Lucy Lee,DAS - Hutchinson,0,4
Tamsin Miller,DAS - Hutchinson,0,4
Julia Van Bokhoven,DAS - Hutchinson,0,4
Morven Yeoman,DAS - Hutchinson,0,4
Manon De Boer,DD Group Pro Cycling Team,0,4
Britt De Grave,DD Group Pro Cycling Team,0,4
Lente Duhamel,DD Group Pro Cycling Team,0,4
Vera Tieleman,DD Group Pro Cycling Team,0,4
Yonna Van Dam,DD Group Pro Cycling Team,0,4
Julie Vlyminck,DD Group Pro Cycling Team,0,4
Ceylin del Carmen Alvarado,Fenix-Deceuninck,5,4
Lucía Ruiz Pérez,Movistar Team,36,4
Ginia Caluori,NEXETIS,48,4
Lea Huber,NEXETIS,0,4
Anina Hutter,NEXETIS,0,4
Noelle Ingold,NEXETIS,0,4
Larissa Tschenett,NEXETIS,0,4
Mia Griffin,Roland,0,4
Vittoria Ruffilli,Roland,0,4
Juliana Londoño,Team Picnic PostNL,5,4
Becky Storrie,Team Picnic PostNL,5,4
