Maximilian Schachmann,BORA - hansgrohe,641,20
Julian Alaphilippe,Deceuninck - Quick Step,577,20
Richard Carapaz,INEOS Grenadiers,927,18
Jakob Fuglsang,Astana - Premier Tech,521,16
Pavel Sivakov,INEOS Grenadiers,38,16
Esteban Chaves,Team BikeExchange,237,16
Mathieu Van Der Poel,Alpecin-Fenix,420,14
Rohan Dennis,INEOS Grenadiers,68,14
Michael Woods,Israel Start-Up Nation,625,14
Marc Soler,Movistar Team,31,14
Tom Dumoulin,Team Jumbo-Visma,124,14
Marc Hirschi,UAE-Team Emirates,107,14
Rigoberto Urán,EF Education - Nippo,696,12
Lucas Hamilton,Team BikeExchange,113,12
Michael Matthews,Team BikeExchange,186,12
Tiesj Benoot,Team DSM,195,12
Domenico Pozzovivo,Team Qhubeka ASSOS,354,12
Pierre Latour,Team Total Direct Energie,221,12
Rui Costa,UAE-Team Emirates,412,12
Benoît Cosnefroy,AG2R Citroën Team ,29,10
Gino Mäder,Bahrain - Victorious,404,10
Hermann Pernsteiner,Bahrain - Victorious,217,10
Wout Poels,Bahrain - Victorious,256,10
Søren Kragh Andersen,Team DSM,90,10
Sam Oomen,Team Jumbo-Visma,267,10
Alexis Vuillermoz,Team Total Direct Energie,10,10
Bob Jungels,AG2R Citroën Team ,63,8
Mattia Cattaneo,Deceuninck - Quick Step,620,8
Álvaro José Hodeg,Deceuninck - Quick Step,38,8
Jannik Steimle,Deceuninck - Quick Step,100,8
Mauri Vansevenant,Deceuninck - Quick Step,65,8
Stefan Bissegger,EF Education - Nippo,402,8
Stefan Küng,Groupama - FDJ,327,8
Eddie Dunbar,INEOS Grenadiers,284,8
John Degenkolb,Lotto Soudal,6,8
Iván García Cortina,Movistar Team,150,8
Dion Smith,Team BikeExchange,0,8
Antwan Tolhoek,Team Jumbo-Visma,150,8
David De La Cruz,UAE-Team Emirates,101,8
Mathias Frank,AG2R Citroën Team ,15,6
Nans Peters,AG2R Citroën Team ,35,6
Marc Sarreau,AG2R Citroën Team ,0,6
Michael Schär,AG2R Citroën Team ,0,6
Silvan Dillier,Alpecin-Fenix,24,6
Xandro Meurisse,Alpecin-Fenix,95,6
Ben Tulett,Alpecin-Fenix,29,6
Petr Vakoč,Alpecin-Fenix,24,6
Manuele Boaro,Astana - Premier Tech,16,6
Stefan De Bod,Astana - Premier Tech,65,6
Omar Fraile,Astana - Premier Tech,140,6
Hugo Houle,Astana - Premier Tech,107,6
Fred Wright,Bahrain - Victorious,101,6
Maciej Bodnar,BORA - hansgrohe,10,6
Matteo Fabbro,BORA - hansgrohe,90,6
Jordi Meeus,BORA - hansgrohe,10,6
Tom Bohli,Cofidis,44,6
Jempy Drucker,Cofidis,4,6
Rubén Fernández,Cofidis,7,6
Christophe Laporte,Cofidis,120,6
Szymon Sajnok,Cofidis,4,6
Jelle Wallays,Cofidis,4,6
Tim Declercq,Deceuninck - Quick Step,42,6
Dries Devenyns,Deceuninck - Quick Step,77,6
Neilson Powless,EF Education - Nippo,263,6
Matteo Badilatti,Groupama - FDJ,28,6
Fabian Lienhard,Groupama - FDJ,18,6
Tobias Ludvigsson,Groupama - FDJ,18,6
Jake Stewart,Groupama - FDJ,30,6
Benjamin Thomas,Groupama - FDJ,156,6
Michał Gołaś,INEOS Grenadiers,38,6
Sebastián Henao,INEOS Grenadiers,38,6
Luke Rowe,INEOS Grenadiers,38,6
Jan Hirt,Intermarché - Wanty - Gobert Matériaux,0,6
Simone Petilli,Intermarché - Wanty - Gobert Matériaux,0,6
Baptiste Planckaert,Intermarché - Wanty - Gobert Matériaux,0,6
Lorenzo Rota,Intermarché - Wanty - Gobert Matériaux,25,6
Georg Zimmermann,Intermarché - Wanty - Gobert Matériaux,0,6
André Greipel,Israel Start-Up Nation,6,6
Hugo Hofstetter,Israel Start-Up Nation,6,6
Sep Vanmarcke,Israel Start-Up Nation,6,6
Rick Zabel,Israel Start-Up Nation,6,6
Kobe Goossens,Lotto Soudal,6,6
Andreas Kron,Lotto Soudal,291,6
Florian Vermeersch,Lotto Soudal,56,6
Viktor Verschaeve,Lotto Soudal,6,6
Sergio Samitier,Movistar Team,98,6
Gonzalo Serrano,Movistar Team,250,6
Ben King,Rally Cycling,15,6
Gavin Mannion,Rally Cycling,28,6
Joey Rosskopf,Rally Cycling,132,6
Simon Pellaud,Swiss Cycling,0,6
Roland Thalmann,Swiss Cycling,0,6
Jack Bauer,Team BikeExchange,0,6
Luke Durbridge,Team BikeExchange,0,6
Amund Grøndahl Jansen,Team BikeExchange,2,6
Thymen Arensman,Team DSM,0,6
Andreas Leknessund,Team DSM,89,6
Jasha Sütterlin,Team DSM,0,6
Gijs Leemreize,Team Jumbo-Visma,54,6
Mike Teunissen,Team Jumbo-Visma,94,6
Simon Clarke,Team Qhubeka ASSOS,0,6
Kilian Frankiny,Team Qhubeka ASSOS,0,6
Reinardt Janse Van Rensburg,Team Qhubeka ASSOS,0,6
Víctor De La Parte,Team Total Direct Energie,71,6
Julien Simon,Team Total Direct Energie,2,6
Anthony Turgis,Team Total Direct Energie,42,6
Nicola Conci,Trek - Segafredo,0,6
Niklas Eg,Trek - Segafredo,79,6
Alex Kirsch,Trek - Segafredo,0,6
Edward Theuns,Trek - Segafredo,80,6
Ryan Gibbons,UAE-Team Emirates,9,6
Juan Sebastián Molano,UAE-Team Emirates,70,6
Damien Touzé,AG2R Citroën Team ,0,4
Floris De Tier,Alpecin-Fenix,24,4
Otto Vergaerde,Alpecin-Fenix,24,4
Yevgeniy Gidich,Astana - Premier Tech,20,4
Jonas Gregaard,Astana - Premier Tech,35,4
Eros Capecchi,Bahrain - Victorious,36,4
Domen Novak,Bahrain - Victorious,36,4
Stephen Williams,Bahrain - Victorious,40,4
Marcus Burghardt,BORA - hansgrohe,10,4
Anton Palzer,BORA - hansgrohe,10,4
Matthew Walls,BORA - hansgrohe,10,4
Rémy Rochas,Cofidis,16,4
Alex Howes,EF Education - Nippo,21,4
Sebastian Langeveld,EF Education - Nippo,12,4
Jonas Rutsch,EF Education - Nippo,96,4
Tom Scully,EF Education - Nippo,111,4
Alexys Brunel,Groupama - FDJ,8,4
Maurits Lammertink,Intermarché - Wanty - Gobert Matériaux,0,4
Pieter Vanspeybrouck,Intermarché - Wanty - Gobert Matériaux,0,4
Guillaume Boivin,Israel Start-Up Nation,6,4
James Piccoli,Israel Start-Up Nation,6,4
Filippo Conca,Lotto Soudal,6,4
Maxim Van Gils,Lotto Soudal,6,4
Juan Diego Alba,Movistar Team,4,4
Héctor Carretero,Movistar Team,4,4
Johan Jacobs,Movistar Team,4,4
Rob Britton,Rally Cycling,4,4
Matteo Dal-Cin,Rally Cycling,20,4
Kyle Murphy,Rally Cycling,4,4
Nickolas Zukowsky,Rally Cycling,46,4
Claudio Imhof,Swiss Cycling,127,4
Kevin Kuhn,Swiss Cycling,0,4
Lukas Ruegg,Swiss Cycling,0,4
Joel Suter,Swiss Cycling,115,4
Romain Combaud,Team DSM,0,4
Mark Donovan,Team DSM,0,4
Christoph Pfingsten,Team Jumbo-Visma,44,4
Nathan Van Hooydonck,Team Jumbo-Visma,44,4
Connor Brown,Team Qhubeka ASSOS,0,4
Nic Dlamini,Team Qhubeka ASSOS,0,4
Andreas Stokbro,Team Qhubeka ASSOS,25,4
Fabien Doubey,Team Total Direct Energie,12,4
Alexander Kamp,Trek - Segafredo,94,4
Antonio Nibali,Trek - Segafredo,90,4
Antonio Tiberi,Trek - Segafredo,15,4
Cristian Camilo Muñoz,UAE-Team Emirates,4,4
Oliviero Troia,UAE-Team Emirates,4,4
