Primož Roglič,Team Jumbo-Visma,All Rounder,2529,24
Egan Bernal,Ineos Grenadiers,All Rounder,760,22
Julian Alaphilippe,Deceuninck - Quick Step,Climber,986,18
Thibaut Pinot,Groupama - FDJ,All Rounder,178,18
Tom Dumoulin,Team Jumbo-Visma,All Rounder,1128,18
Peter Sagan,BORA - hansgrohe,Sprinter,1477,16
Richard Carapaz,Ineos Grenadiers,Climber,1145,16
Tadej Pogačar,UAE-Team Emirates,Climber,2882,16
Miguel Angel López,Astana Pro Team,Climber,1316,14
Mikel Landa,Bahrain - McLaren,Climber,1164,14
Emanuel Buchmann,BORA - hansgrohe,All Rounder,98,14
Sam Bennett,Deceuninck - Quick Step,Sprinter,1800,14
Alejandro Valverde,Movistar Team,All Rounder,644,14
Nairo Quintana,Team Arkéa Samsic,Climber,587,14
Romain Bardet,AG2R La Mondiale,Climber,350,12
Daniel Felipe Martínez,EF Pro Cycling,All Rounder,466,12
Pavel Sivakov,Ineos Grenadiers,All Rounder,220,12
Caleb Ewan,Lotto Soudal,Sprinter,965,12
Adam Yates,Mitchelton-Scott,Climber,1196,12
Wout Van Aert,Team Jumbo-Visma,Sprinter,1464,12
Sonny Colbrelli,Bahrain - McLaren,Sprinter,168,10
Lennard Kämna,BORA - hansgrohe,Climber,570,10
Guillaume Martin,Cofidis Solutions Crédits,Climber,877,10
Elia Viviani,Cofidis Solutions Crédits,Sprinter,439,10
Enric Mas,Movistar Team,All Rounder,1077,10
Giacomo Nizzolo,NTT Pro Cycling,Sprinter,349,10
George Bennett,Team Jumbo-Visma,Climber,224,10
Sepp Kuss,Team Jumbo-Visma,Climber,703,10
Richie Porte,Trek - Segafredo,All Rounder,1460,10
Pierre Latour,AG2R La Mondiale,Climber,38,8
Alexey Lutsenko,Astana Pro Team,Unclassed,432,8
Luis León Sánchez,Astana Pro Team,Unclassed,62,8
Bryan Coquard,B&B Hotels - Vital Concept p/b KTM,Sprinter,942,8
Pello Bilbao,Bahrain - McLaren,Climber,324,8
Maximilian Schachmann,BORA - hansgrohe,All Rounder,464,8
Matteo Trentin,CCC Team,Sprinter,777,8
Greg Van Avermaet,CCC Team,Unclassed,584,8
Ilnur Zakarin,CCC Team,Climber,227,8
Sergio Higuita,EF Pro Cycling,Climber,321,8
Rigoberto Urán,EF Pro Cycling,All Rounder,876,8
David Gaudu,Groupama - FDJ,Climber,20,8
André Greipel,Israel Start-Up Nation,Sprinter,110,8
Dan Martin,Israel Start-Up Nation,Climber,136,8
Thomas De Gendt,Lotto Soudal,Unclassed,57,8
Esteban Chaves,Mitchelton-Scott,Climber,299,8
Luka Mezgec,Mitchelton-Scott,Sprinter,835,8
Warren Barguil,Team Arkéa Samsic,Climber,422,8
Cees Bol,Team Sunweb,Sprinter,633,8
Lilian Calmejane,Team Total Direct Energie,Unclassed,0,8
Bauke Mollema,Trek - Segafredo,All Rounder,509,8
Jasper Stuyven,Trek - Segafredo,Sprinter,787,8
Fabio Aru,UAE-Team Emirates,Climber,36,8
Davide Formolo,UAE-Team Emirates,Climber,71,8
Alexander Kristoff,UAE-Team Emirates,Sprinter,686,8
Benoît Cosnefroy,AG2R La Mondiale,Unclassed,352,6
Oliver Naesen,AG2R La Mondiale,Unclassed,359,6
Nans Peters,AG2R La Mondiale,Unclassed,412,6
Clément Venturini,AG2R La Mondiale,Sprinter,406,6
Alexis Vuillermoz,AG2R La Mondiale,Unclassed,34,6
Omar Fraile,Astana Pro Team,Unclassed,62,6
Gorka Izagirre,Astana Pro Team,Unclassed,121,6
Ion Izagirre,Astana Pro Team,All Rounder,22,6
Jens Debusschere,B&B Hotels - Vital Concept p/b KTM,Unclassed,10,6
Cyril Gautier,B&B Hotels - Vital Concept p/b KTM,Unclassed,48,6
Pierre Rolland,B&B Hotels - Vital Concept p/b KTM,Climber,588,6
Damiano Caruso,Bahrain - McLaren,Climber,622,6
Marco Haller,Bahrain - McLaren,Unclassed,45,6
Matej Mohorič,Bahrain - McLaren,Unclassed,36,6
Wout Poels,Bahrain - McLaren,All Rounder,38,6
Felix Großschartner,BORA - hansgrohe,Climber,27,6
Gregor Mühlberger,BORA - hansgrohe,Climber,4,6
Alessandro De Marchi,CCC Team,Climber,14,6
Jan Hirt,CCC Team,Climber,10,6
Jonas Koch,CCC Team,Unclassed,37,6
Simone Consonni,Cofidis Solutions Crédits,Sprinter,199,6
Nicolas Edet,Cofidis Solutions Crédits,Unclassed,188,6
Jesús Herrada,Cofidis Solutions Crédits,Climber,435,6
Christophe Laporte,Cofidis Solutions Crédits,Sprinter,217,6
Kasper Asgreen,Deceuninck - Quick Step,Unclassed,127,6
Rémi Cavagna,Deceuninck - Quick Step,Unclassed,255,6
Dries Devenyns,Deceuninck - Quick Step,Unclassed,99,6
Bob Jungels,Deceuninck - Quick Step,All Rounder,64,6
Michael Mørkøv,Deceuninck - Quick Step,Unclassed,205,6
Alberto Bettiol,EF Pro Cycling,Unclassed,259,6
Hugh Carthy,EF Pro Cycling,Climber,211,6
Jens Keukeleire,EF Pro Cycling,Unclassed,116,6
Neilson Powless,EF Pro Cycling,Unclassed,499,6
Tejay Van Garderen,EF Pro Cycling,All Rounder,116,6
Stefan Küng,Groupama - FDJ,Unclassed,38,6
Valentin Madouas,Groupama - FDJ,Unclassed,247,6
Rudy Molard,Groupama - FDJ,Unclassed,2,6
Sébastien Reichenbach,Groupama - FDJ,Climber,342,6
Andrey Amador,Ineos Grenadiers,Unclassed,92,6
Jonathan Castroviejo,Ineos Grenadiers,Unclassed,50,6
Michał Kwiatkowski,Ineos Grenadiers,All Rounder,455,6
Luke Rowe,Ineos Grenadiers,Unclassed,157,6
Dylan Van Baarle,Ineos Grenadiers,Unclassed,58,6
Ben Hermans,Israel Start-Up Nation,Unclassed,134,6
Hugo Hofstetter,Israel Start-Up Nation,Unclassed,530,6
Krists Neilands,Israel Start-Up Nation,Unclassed,26,6
Nils Politt,Israel Start-Up Nation,Unclassed,96,6
Tom Van Asbroeck,Israel Start-Up Nation,Unclassed,44,6
Jasper De Buyst,Lotto Soudal,Unclassed,23,6
John Degenkolb,Lotto Soudal,Sprinter,0,6
Philippe Gilbert,Lotto Soudal,Unclassed,0,6
Daryl Impey,Mitchelton-Scott,Sprinter,67,6
Mikel Nieve,Mitchelton-Scott,Climber,50,6
Dario Cataldo,Movistar Team,Unclassed,142,6
Nelson Oliveira,Movistar Team,Unclassed,142,6
José Joaquín Rojas,Movistar Team,Unclassed,174,6
Marc Soler,Movistar Team,All Rounder,399,6
Edvald Boasson Hagen,NTT Pro Cycling,Sprinter,347,6
Ryan Gibbons,NTT Pro Cycling,Unclassed,67,6
Roman Kreuziger,NTT Pro Cycling,Unclassed,6,6
Domenico Pozzovivo,NTT Pro Cycling,Climber,6,6
Michael Valgren,NTT Pro Cycling,Unclassed,41,6
Max Walscheid,NTT Pro Cycling,Unclassed,103,6
Winner Anacona,Team Arkéa Samsic,Unclassed,35,6
Diego Rosa,Team Arkéa Samsic,Unclassed,0,6
Robert Gesink,Team Jumbo-Visma,Unclassed,246,6
Amund Grøndahl Jansen,Team Jumbo-Visma,Unclassed,224,6
Tony Martin,Team Jumbo-Visma,Unclassed,226,6
Nikias Arndt,Team Sunweb,Unclassed,154,6
Tiesj Benoot,Team Sunweb,All Rounder,194,6
Marc Hirschi,Team Sunweb,Unclassed,1010,6
Søren Kragh Andersen,Team Sunweb,Unclassed,840,6
Nicolas Roche,Team Sunweb,Unclassed,247,6
Niccolò Bonifazio,Team Total Direct Energie,Sprinter,166,6
Anthony Turgis,Team Total Direct Energie,Sprinter,167,6
Kenny Elissonde,Trek - Segafredo,Unclassed,208,6
Mads Pedersen,Trek - Segafredo,Sprinter,730,6
Toms Skujiņš,Trek - Segafredo,Unclassed,396,6
Edward Theuns,Trek - Segafredo,Sprinter,214,6
David De La Cruz,UAE-Team Emirates,Climber,256,6
Jan Polanc,UAE-Team Emirates,Unclassed,82,6
Mickaël Cherel,AG2R La Mondiale,Unclassed,58,4
Hugo Houle,Astana Pro Team,Unclassed,295,4
Harold Tejada,Astana Pro Team,Unclassed,53,4
Cyril Barthe,B&B Hotels - Vital Concept p/b KTM,Unclassed,22,4
Maxime Chevalier,B&B Hotels - Vital Concept p/b KTM,Unclassed,6,4
Quentin Pacher,B&B Hotels - Vital Concept p/b KTM,Unclassed,436,4
Kévin Reza,B&B Hotels - Vital Concept p/b KTM,Unclassed,34,4
Rafael Valls,Bahrain - McLaren,Unclassed,0,4
Daniel Oss,BORA - hansgrohe,Unclassed,105,4
Lukas Pöstlberger,BORA - hansgrohe,Unclassed,41,4
Simon Geschke,CCC Team,Unclassed,335,4
Michael Schär,CCC Team,Unclassed,52,4
Anthony Perez,Cofidis Solutions Crédits,Unclassed,60,4
Pierre-Luc Périchon,Cofidis Solutions Crédits,Unclassed,34,4
Tim Declercq,Deceuninck - Quick Step,Unclassed,58,4
William Bonnet,Groupama - FDJ,Unclassed,0,4
Matthieu Ladagnous,Groupama - FDJ,Unclassed,42,4
Guy Niv,Israel Start-Up Nation,Unclassed,0,4
Steff Cras,Lotto Soudal,Unclassed,8,4
Frederik Frison,Lotto Soudal,Unclassed,20,4
Roger Kluge,Lotto Soudal,Unclassed,22,4
Jack Bauer,Mitchelton-Scott,Unclassed,134,4
Sam Bewley,Mitchelton-Scott,Unclassed,46,4
Christopher Juul-Jensen,Mitchelton-Scott,Unclassed,75,4
Imanol Erviti,Movistar Team,Unclassed,224,4
Carlos Verona,Movistar Team,Unclassed,510,4
Michael Gogl,NTT Pro Cycling,Unclassed,158,4
Kévin Ledanois,Team Arkéa Samsic,Unclassed,32,4
Dayer Quintana,Team Arkéa Samsic,Unclassed,0,4
Clément Russo,Team Arkéa Samsic,Unclassed,45,4
Connor Swift,Team Arkéa Samsic,Unclassed,23,4
Joris Nieuwenhuis,Team Sunweb,Unclassed,44,4
Casper Pedersen,Team Sunweb,Unclassed,232,4
Mathieu Burgaudeau,Team Total Direct Energie,Unclassed,61,4
Jérôme Cousin,Team Total Direct Energie,Unclassed,87,4
Fabien Grellier,Team Total Direct Energie,Unclassed,69,4
Romain Sicard,Team Total Direct Energie,Unclassed,40,4
Geoffrey Soupe,Team Total Direct Energie,Unclassed,3,4
Niklas Eg,Trek - Segafredo,Unclassed,72,4
Vegard Stake Laengen,UAE-Team Emirates,Unclassed,82,4
Marco Marcato,UAE-Team Emirates,Unclassed,106,4
