Annemiek Van Vleuten,Movistar Team,889,26
Demi Vollering,Team SD Worx,913,22
Lorena Wiebes,Team DSM,460,18
Elisa Longo Borghini,Trek - Segafredo,760,18
Marta Cavalli,FDJ Nouvelle-Aquitaine Futuroscope,0,16
Elisa Balsamo,Trek - Segafredo,328,16
Cecilie Uttrup Ludwig,FDJ Nouvelle-Aquitaine Futuroscope,576,14
Marianne Vos,Team Jumbo-Visma,1035,14
Katarzyna Niewiadoma,Canyon//SRAM Racing,873,12
Lotte Kopecky,Team SD Worx,539,12
Ashleigh Moolman,Team SD Worx,223,12
Marlen Reusser,Team SD Worx,198,12
Mavi García,UAE Team ADQ,373,12
Elise Chabbey,Canyon//SRAM Racing,331,10
Lisa Brennauer,Ceratizit-WNT Pro Cycling,2,10
Emma Norsgaard,Movistar Team,102,10
Arlenis Sierra,Movistar Team,74,10
Kristen Faulkner,Team BikeExchange - Jayco,26,10
Juliette Labous,Team DSM,504,10
Liane Lippert,Team DSM,202,10
Coryn Labecki,Team Jumbo-Visma,0,10
Chantal Van Den Broek-Blaak,Team SD Worx,66,10
Ellen Van Dijk,Trek - Segafredo,37,10
Marta Bastianelli,UAE Team ADQ,120,10
Ally Wollaston,AG Insurance - NXTG Team,0,8
Soraya Paladin,Canyon//SRAM Racing,95,8
Pauliena Rooijakkers,Canyon//SRAM Racing,223,8
Maria Giulia Confalonieri,Ceratizit-WNT Pro Cycling,249,8
Kristabel Doebel-Hickok,EF Education-TIBCO-SVB,25,8
Veronica Ewers,EF Education-TIBCO-SVB,333,8
Grace Brown,FDJ Nouvelle-Aquitaine Futuroscope,131,8
Vittoria Guazzini,FDJ Nouvelle-Aquitaine Futuroscope,193,8
Évita Muzic,FDJ Nouvelle-Aquitaine Futuroscope,397,8
Gladys Verhulst,Le Col - Wahoo,0,8
Rachele Barbieri,Liv Racing Xstra,301,8
Thalita De Jong,Liv Racing Xstra,0,8
Jeanne Korevaar,Liv Racing Xstra,12,8
Sabrina Stultiens,Liv Racing Xstra,0,8
Paula Andrea Patiño,Movistar Team,76,8
Simone Boilard,St Michel - Auber93 WE,63,8
Alexandra Manly,Team BikeExchange - Jayco,60,8
Ane Santesteban,Team BikeExchange - Jayco,0,8
Amanda Spratt,Team BikeExchange - Jayco,0,8
Pfeiffer Georgi,Team DSM,18,8
Charlotte Kool,Team DSM,12,8
Anna Henderson,Team Jumbo-Visma,70,8
Riejanne Markus,Team Jumbo-Visma,214,8
Christine Majerus,Team SD Worx,81,8
Audrey Cordon-Ragot,Trek - Segafredo,46,8
Leah Thomas,Trek - Segafredo,41,8
Shirin Van Anrooij,Trek - Segafredo,124,8
Erica Magnaldi,UAE Team ADQ,67,8
Joscelin Lowden,Uno-X Pro Cycling Team,16,8
Olivia Baril,Valcar - Travel & Service,26,8
Eleonora Camilla Gasparrini,Valcar - Travel & Service,25,8
Silvia Persico,Valcar - Travel & Service,955,8
Julia Borgström,AG Insurance - NXTG Team,1,6
Yuliia Biriukova,Arkéa Pro Cycling Team,0,6
Anais Morichon,Arkéa Pro Cycling Team,0,6
Alena Amialiusik,Canyon//SRAM Racing,273,6
Tiffany Cromwell,Canyon//SRAM Racing,145,6
Sandra Alonso,Ceratizit-WNT Pro Cycling,20,6
Marta Lach,Ceratizit-WNT Pro Cycling,25,6
Kathrin Schweinberger,Ceratizit-WNT Pro Cycling,0,6
Rachel Neylan,Cofidis Women Team,11,6
Letizia Borghesi,EF Education-TIBCO-SVB,0,6
Kathrin Hammes,EF Education-TIBCO-SVB,20,6
Marie Le Net,FDJ Nouvelle-Aquitaine Futuroscope,54,6
Nina Buysman,Human Powered Health,25,6
Antri Christoforou,Human Powered Health,15,6
Barbara Malcotti,Human Powered Health,0,6
Marit Raaijmakers,Human Powered Health,3,6
Elizabeth Holden,Le Col - Wahoo,2,6
Maike Van Der Duin,Le Col - Wahoo,277,6
Marjolein Van T Geloof,Le Col - Wahoo,0,6
Jesse Vandenbulcke,Le Col - Wahoo,12,6
Valerie Demey,Liv Racing Xstra,20,6
Silke Smulders,Liv Racing Xstra,10,6
Aude Biannic,Movistar Team,29,6
Sheyla Gutiérrez,Movistar Team,39,6
Mischa Bredewold,Parkhotel Valkenburg,50,6
Nicole Frain,Parkhotel Valkenburg,29,6
Femke Gerritse,Parkhotel Valkenburg,63,6
Femke Markus,Parkhotel Valkenburg,23,6
Sanne Cant,Plantur-Pura,47,6
Julie De Wilde,Plantur-Pura,111,6
Yara Kastelijn,Plantur-Pura,129,6
Christina Schweinberger,Plantur-Pura,4,6
Tamara Dronova-Balabolina,Roland Cogeas Edelweiss Squad,214,6
Olga Zabelinskaya,Roland Cogeas Edelweiss Squad,0,6
Coralie Demay,St Michel - Auber93 WE,68,6
Ruby Roseman-Gannon,Team BikeExchange - Jayco,84,6
Urška Žigart,Team BikeExchange - Jayco,55,6
Romy Kasper,Team Jumbo-Visma,60,6
Karlijn Swinkels,Team Jumbo-Visma,62,6
Maaike Boogaard,UAE Team ADQ,4,6
Eugenia Bujak,UAE Team ADQ,4,6
Urša Pintar,UAE Team ADQ,0,6
Hannah Barnes,Uno-X Pro Cycling Team,0,6
Julie Leth,Uno-X Pro Cycling Team,0,6
Hannah Ludwig,Uno-X Pro Cycling Team,0,6
Ilaria Sanguineti,Valcar - Travel & Service,41,6
Anya Louw,AG Insurance - NXTG Team,20,4
Gaia Masetti,AG Insurance - NXTG Team,0,4
Lone Meertens,AG Insurance - NXTG Team,0,4
Ilse Pluimers,AG Insurance - NXTG Team,0,4
Pauline Allin,Arkéa Pro Cycling Team,10,4
Morgane Coston,Arkéa Pro Cycling Team,0,4
Amandine Fouquenet,Arkéa Pro Cycling Team,0,4
Greta Richioud,Arkéa Pro Cycling Team,0,4
Laura Asencio,Ceratizit-WNT Pro Cycling,31,4
Martina Alzini,Cofidis Women Team,10,4
Victoire Berteau,Cofidis Women Team,29,4
Alana Castrique,Cofidis Women Team,0,4
Valentine Fortin,Cofidis Women Team,0,4
Sandra Levenez,Cofidis Women Team,0,4
Emily Newsom,EF Education-TIBCO-SVB,14,4
Magdeleine Vallieres-Hill,EF Education-TIBCO-SVB,0,4
Henrietta Christie,Human Powered Health,0,4
Lily Williams,Human Powered Health,0,4
Eva van Agt,Le Col - Wahoo,0,4
Quinty Schoens,Parkhotel Valkenburg,0,4
Anne Van Rooijen,Parkhotel Valkenburg,0,4
Kim De Baat,Plantur-Pura,4,4
Laura Süßemilch,Plantur-Pura,4,4
Caroline Baur,Roland Cogeas Edelweiss Squad,0,4
Hannah Buch,Roland Cogeas Edelweiss Squad,0,4
Rotem Gafinovitz,Roland Cogeas Edelweiss Squad,0,4
Petra Stiasny,Roland Cogeas Edelweiss Squad,0,4
Alison Avoine,St Michel - Auber93 WE,0,4
Sandrine Bideau,St Michel - Auber93 WE,0,4
Barbara Fonseca,St Michel - Auber93 WE,0,4
Margot Pompanon,St Michel - Auber93 WE,0,4
Noémie Abgrall,Stade Rochelais Charente-Maritime,0,4
Séverine Eraud,Stade Rochelais Charente-Maritime,0,4
India Grangier,Stade Rochelais Charente-Maritime,0,4
Natalie Grinczer,Stade Rochelais Charente-Maritime,0,4
Frances Janse Van Rensburg,Stade Rochelais Charente-Maritime,0,4
Maeva Squiban,Stade Rochelais Charente-Maritime,0,4
Franziska Koch,Team DSM,28,4
Noemi Rüegg,Team Jumbo-Visma,60,4
Mie Bjørndal Ottestad,Uno-X Pro Cycling Team,74,4
Anne Dorthe Ysland,Uno-X Pro Cycling Team,10,4
Alice Maria Arzuffi,Valcar - Travel & Service,26,4
Margaux Vigie,Valcar - Travel & Service,24,4
