Jonas Vingegaard,Team Visma | Lease a Bike,951,28
Juan Ayuso,UAE Team Emirates,1044,20
Daniel Martínez,BORA - hansgrohe,48,18
Jai Hindley,BORA - hansgrohe,609,16
Thomas Pidcock,INEOS Grenadiers,324,16
Enric Mas,Movistar Team,135,16
Jasper Philipsen,Alpecin-Deceuninck,431,14
Ben O'Connor,Decathlon AG2R La Mondiale Team,382,14
Ben Healy,EF Education-EasyPost,97,14
Romain Bardet,Team dsm-firmenich PostNL,0,14
Cian Uijtdebroeks,Team Visma | Lease a Bike,312,14
Damiano Caruso,Bahrain - Victorious,83,12
Richard Carapaz,EF Education-EasyPost,47,12
Neilson Powless,EF Education-EasyPost,42,12
Tao Geoghegan Hart,Lidl - Trek,33,12
Julian Alaphilippe,Soudal - Quick Step,54,12
Tim Merlier,Soudal - Quick Step,120,12
Caleb Ewan,Team Jayco AlUla,5,12
Marc Hirschi,UAE Team Emirates,102,12
Cristián Rodríguez,Arkéa - B&B Hotels,94,10
Mark Cavendish,Astana Qazaqstan Team,0,10
Phil Bauhaus,Bahrain - Victorious,170,10
Lennard Kämna,BORA - hansgrohe,316,10
Guillaume Martin,Cofidis,37,10
Axel Zingle,Cofidis,195,10
Romain Grégoire,Groupama - FDJ,225,10
Valentin Madouas,Groupama - FDJ,2,10
Thymen Arensman,INEOS Grenadiers,379,10
Filippo Ganna,INEOS Grenadiers,270,10
Biniam Girmay,Intermarché - Wanty,90,10
Corbin Strong,Israel - Premier Tech,110,10
Andrea Bagioli,Lidl - Trek,28,10
Jonathan Milan,Lidl - Trek,760,10
Iván Ramiro Sosa,Movistar Team,69,10
Max Poole,Team dsm-firmenich PostNL,71,10
Ben Tulett,Team Visma | Lease a Bike,30,10
Attila Valter,Team Visma | Lease a Bike,30,10
Isaac Del Toro,UAE Team Emirates,534,10
Rafał Majka,UAE Team Emirates,102,10
Alexander Kristoff,Uno-X Mobility,145,10
Domenico Pozzovivo,VF Group-Bardiani CSF-Faizanè,0,10
Vincenzo Albanese,Arkéa - B&B Hotels,26,8
Amaury Capiot,Arkéa - B&B Hotels,176,8
Kévin Vauquelin,Arkéa - B&B Hotels,440,8
Wout Poels,Bahrain - Victorious,174,8
Antonio Tiberi,Bahrain - Victorious,219,8
Stanisław Aniołkowski,Cofidis,82,8
Andrea Vendrame,Decathlon AG2R La Mondiale Team,150,8
Michał Kwiatkowski,INEOS Grenadiers,56,8
Magnus Sheffield,INEOS Grenadiers,129,8
Rune Herregodts,Intermarché - Wanty,0,8
Hugo Page,Intermarché - Wanty,0,8
Laurenz Rex,Intermarché - Wanty,0,8
