Demi Vollering,Team SD Worx - Protime,999,28
Lorena Wiebes,Team SD Worx - Protime,389,22
Katarzyna Niewiadoma,Canyon//SRAM Racing,998,18
Juliette Labous,Team dsm-firmenich PostNL,336,16
Neve Bradbury,Canyon//SRAM Racing,32,14
Gaia Realini,Lidl - Trek,372,14
Marianne Vos,Team Visma | Lease a Bike,569,14
Évita Muzic,FDJ - SUEZ,589,12
Cecilie  Uttrup Ludwig,FDJ - SUEZ,42,12
Elisa Balsamo,Lidl - Trek,306,12
Liane Lippert,Movistar Team,322,12
Charlotte Kool,Team dsm-firmenich PostNL,431,12
Niamh Fisher-Black,Team SD Worx - Protime,224,12
Silvia Persico,UAE Team ADQ,29,12
Elise Chabbey,Canyon//SRAM Racing,0,10
Chloe Dygert,Canyon//SRAM Racing,172,10
Soraya Paladin,Canyon//SRAM Racing,42,10
Kristen Faulkner,EF Education-Cannondale,281,10
Yara Kastelijn,Fenix-Deceuninck,59,10
Puck Pieterse,Fenix-Deceuninck,592,10
Pauliena Rooijakkers,Fenix-Deceuninck,492,10
Daria Pikulik,Human Powered Health,85,10
Ane Santesteban,Laboral Kutxa - Fundación Euskadi,0,10
Shirin Van Anrooij,Lidl - Trek,274,10
Mavi García,Liv AlUla Jayco,25,10
Anna Henderson,Team Visma | Lease a Bike,48,10
Riejanne Markus,Team Visma | Lease a Bike,48,10
Sofia Bertizzolo,UAE Team ADQ,0,10
Justine Ghekiere,AG Insurance - Soudal Team,321,8
Sarah Gigante,AG Insurance - Soudal Team,256,8
Agnieszka Skalniak-Sójka,Canyon//SRAM Racing,32,8
Mylène De Zoete,CERATIZIT-WNT Pro Cycling Team,172,8
Cédrine Kerbaol,CERATIZIT-WNT Pro Cycling Team,652,8
Marta Lach,CERATIZIT-WNT Pro Cycling Team,12,8
Kathrin Schweinberger,CERATIZIT-WNT Pro Cycling Team,96,8
Alison Jackson,EF Education-Cannondale,18,8
Noemi Rüegg,EF Education-Cannondale,105,8
Loes Adegeest,FDJ - SUEZ,170,8
Grace Brown,FDJ - SUEZ,67,8
Coralie Demay,FDJ - SUEZ,32,8
Amber Kraak,FDJ - SUEZ,32,8
Julie De Wilde,Fenix-Deceuninck,32,8
Christina Schweinberger,Fenix-Deceuninck,0,8
Audrey Cordon-Ragot,Human Powered Health,10,8
Lucinda Brand,Lidl - Trek,420,8
Elizabeth Deignan,Lidl - Trek,62,8
Amanda Spratt,Lidl - Trek,26,8
Ellen Van Dijk,Lidl - Trek,155,8
Ruby Roseman-Gannon,Liv AlUla Jayco,27,8
Olivia Baril,Movistar Team,40,8
Floortje Mackaij,Movistar Team,27,8
Emma Norsgaard,Movistar Team,187,8
Maggie Coles-Lyster,Roland,50,8
Tamara Dronova-Balabolina,Roland,0,8
Victorie Guilman,St Michel - Mavic - Auber93 WE,0,8
Rachele Barbieri,Team dsm-firmenich PostNL,106,8
Pfeiffer Georgi,Team dsm-firmenich PostNL,31,8
Mischa Bredewold,Team SD Worx - Protime,96,8
Christine Majerus,Team SD Worx - Protime,49,8
Blanka Vas,Team SD Worx - Protime,253,8
Erica Magnaldi,UAE Team ADQ,128,8
Karlijn Swinkels,UAE Team ADQ,188,8
Anniina Ahtosalo,Uno-X Mobility,229,8
Simone Boilard,Uno-X Mobility,12,8
Maria Giulia Confalonieri,Uno-X Mobility,12,8
Anouska Koster,Uno-X Mobility,13,8
Kimberly Le Court-Pienaar,AG Insurance - Soudal Team,202,6
Gaia Masetti,AG Insurance - Soudal Team,24,6
Julie Van De Velde,AG Insurance - Soudal Team,59,6
Valentina Cavallar,Arkéa - B&B Hotels Women,150,6
Lotte Claes,Arkéa - B&B Hotels Women,97,6
Emilia Fahlin,Arkéa - B&B Hotels Women,94,6
Maëva Squiban,Arkéa - B&B Hotels Women,125,6
Alice Towers,Canyon//SRAM Racing,32,6
Sandra Alonso,CERATIZIT-WNT Pro Cycling Team,24,6
Alice Maria Arzuffi,CERATIZIT-WNT Pro Cycling Team,85,6
Martina Alzini,Cofidis Women Team,50,6
Victoire Berteau,Cofidis Women Team,10,6
Špela Kern,Cofidis Women Team,0,6
Sarah Roy,Cofidis Women Team,10,6
Clara Emond,EF Education-Cannondale,6,6
Lotta Henttala,EF Education-Cannondale,237,6
Magdeleine Vallieres,EF Education-Cannondale,42,6
Léa Curinier,FDJ - SUEZ,90,6
Carina Schrempf,Fenix-Deceuninck,33,6
Marthe Truyen,Fenix-Deceuninck,24,6
Ruth Edwards,Human Powered Health,10,6
Romy Kasper,Human Powered Health,0,6
Barbara Malcotti,Human Powered Health,0,6
Marit Raaijmakers,Human Powered Health,0,6
Lily Williams,Human Powered Health,3,6
Usoa Ostolaza,Laboral Kutxa - Fundación Euskadi,30,6
Debora Silvestri,Laboral Kutxa - Fundación Euskadi,0,6
Catalina Anais Soto,Laboral Kutxa - Fundación Euskadi,15,6
Laura Tomasi,Laboral Kutxa - Fundación Euskadi,5,6
Caroline Andersson,Liv AlUla Jayco,0,6
Amber Pate,Liv AlUla Jayco,10,6
Silke Smulders,Liv AlUla Jayco,87,6
Quinty Ton,Liv AlUla Jayco,23,6
Thalita De Jong,Lotto Dstny Ladies,400,6
Sheyla Gutiérrez,Movistar Team,20,6
Sara Martín,Movistar Team,57,6
Mareille Meijering,Movistar Team,176,6
Elena Pirrone,Roland,0,6
Giorgia Vettorello,Roland,0,6
Marion Bunel,St Michel - Mavic - Auber93 WE,94,6
Yanina Kuskova,Tashkent City Women Professional Cycling Team,0,6
Margarita Misyurina,Tashkent City Women Professional Cycling Team,0,6
Francesca Barale,Team dsm-firmenich PostNL,28,6
Franziska Koch,Team dsm-firmenich PostNL,49,6
Barbara Guarischi,Team SD Worx - Protime,35,6
Femke De Vries,Team Visma | Lease a Bike,8,6
Linda Riedmann,Team Visma | Lease a Bike,8,6
Fem Van Empel,Team Visma | Lease a Bike,27,6
Mikayla Harvey,UAE Team ADQ,0,6
Karolina Kumiega,UAE Team ADQ,0,6
Katrine Aalerud,Uno-X Mobility,63,6
Mie Bjørndal Ottestad,Uno-X Mobility,17,6
Anya Louw,AG Insurance - Soudal Team,14,4
Ilse Pluimers,AG Insurance - Soudal Team,14,4
Maaike Coljé,Arkéa - B&B Hotels Women,19,4
Michaela Drummond,Arkéa - B&B Hotels Women,9,4
Amandine Fouquenet,Arkéa - B&B Hotels Women,9,4
Nina Berton,CERATIZIT-WNT Pro Cycling Team,34,4
Hannah Ludwig,Cofidis Women Team,40,4
Nikola Nosková,Cofidis Women Team,0,4
Josie Talbot,Cofidis Women Team,0,4
Iurani Blanco,Laboral Kutxa - Fundación Euskadi,10,4
Cristina Tonetti,Laboral Kutxa - Fundación Euskadi,40,4
Jeanne Korevaar,Liv AlUla Jayco,0,4
Wilma Aintila,Lotto Dstny Ladies,0,4
Maureen Arens,Lotto Dstny Ladies,0,4
Fauve Bastiaenssen,Lotto Dstny Ladies,0,4
Audrey De Keersmaeker,Lotto Dstny Ladies,10,4
Mieke Docx,Lotto Dstny Ladies,0,4
Anna Van Wersch,Lotto Dstny Ladies,0,4
Antri Christoforou,Roland,0,4
Natalie Grinczer,Roland,0,4
Sylvie Swinkels,Roland,0,4
Alison Avoine,St Michel - Mavic - Auber93 WE,0,4
Camille Fahy,St Michel - Mavic - Auber93 WE,0,4
Célia Le Mouel,St Michel - Mavic - Auber93 WE,0,4
Dilyxine Miermont,St Michel - Mavic - Auber93 WE,0,4
Elyne Roussel,St Michel - Mavic - Auber93 WE,0,4
Mohinabonu Elmurodova,Tashkent City Women Professional Cycling Team,0,4
Madina Kakhorova,Tashkent City Women Professional Cycling Team,0,4
Ekaterina Knebeleva,Tashkent City Women Professional Cycling Team,0,4
Nafosat Kozieva,Tashkent City Women Professional Cycling Team,0,4
Asal Rizaeva,Tashkent City Women Professional Cycling Team,0,4
Becky Storrie,Team dsm-firmenich PostNL,28,4
Sophie Von Berswordt,Team Visma | Lease a Bike,8,4
Elizabeth Holden,UAE Team ADQ,0,4
Marte Berg Edseth,Uno-X Mobility,12,4
