Tadej Pogačar,UAE Team Emirates - XRG,All Rounder,4153,32
Jonas Vingegaard,Team Visma | Lease a Bike,All Rounder,3200,24
Remco Evenepoel,Soudal Quick-Step,All Rounder,900,18
João Almeida,UAE Team Emirates - XRG,All Rounder,348,16
Primož Roglič,Red Bull - BORA - hansgrohe,All Rounder,1156,14
Jasper Philipsen,Alpecin - Deceuninck,Sprinter,329,12
Jonathan Milan,Lidl - Trek,Sprinter,1343,12
Mattias Skjelmose,Lidl - Trek,Climber,235,12
Florian Lipowitz,Red Bull - BORA - hansgrohe,All Rounder,1683,12
Matteo Jorgenson,Team Visma | Lease a Bike,All Rounder,1386,12
Wout Van Aert,Team Visma | Lease a Bike,Unclassed,990,12
Simon Yates,Team Visma | Lease a Bike,Climber,860,12
Mathieu Van Der Poel,Alpecin - Deceuninck,Unclassed,1059,10
Lenny Martinez,Bahrain - Victorious,Climber,590,10
Felix Gall,Decathlon AG2R La Mondiale Team,Climber,1272,10
Carlos Rodríguez,INEOS Grenadiers,Climber,277,10
Enric Mas,Movistar Team,Climber,321,10
Tim Merlier,Soudal Quick-Step,Sprinter,575,10
Adam Yates,UAE Team Emirates - XRG,All Rounder,511,10
Tobias Halland Johannessen,Uno-X Mobility,All Rounder,1048,10
Kaden Groves,Alpecin - Deceuninck,Sprinter,759,8
Santiago Buitrago,Bahrain - Victorious,Climber,303,8
Romain Grégoire,Groupama - FDJ,Unclassed,511,8
Thymen Arensman,INEOS Grenadiers,All Rounder,1129,8
Filippo Ganna,INEOS Grenadiers,Unclassed,0,8
Geraint Thomas,INEOS Grenadiers,All Rounder,48,8
Biniam Girmay,Intermarché - Wanty,Sprinter,789,8
Thibau Nys,Lidl - Trek,Unclassed,87,8
Arnaud De Lie,Lotto,Sprinter,677,8
Jordi Meeus,Red Bull - BORA - hansgrohe,Sprinter,327,8
Aleksandr Vlasov,Red Bull - BORA - hansgrohe,All Rounder,216,8
Dylan Groenewegen,Team Jayco AlUla,Sprinter,122,8
Ben O'Connor,Team Jayco AlUla,Climber,813,8
Oscar Onley,Team Picnic PostNL,Climber,1789,8
Sepp Kuss,Team Visma | Lease a Bike,Climber,464,8
Xandro Meurisse,Alpecin - Deceuninck,Unclassed,182,6
Gianni Vermeersch,Alpecin - Deceuninck,Unclassed,78,6
Emiel Verstrynge,Alpecin - Deceuninck,Unclassed,78,6
Amaury Capiot,Arkéa - B&B Hotels,Unclassed,98,6
Ewen Costiou,Arkéa - B&B Hotels,Unclassed,125,6
Arnaud Démare,Arkéa - B&B Hotels,Sprinter,67,6
Raúl García Pierna,Arkéa - B&B Hotels,Unclassed,137,6
Cristián Rodríguez,Arkéa - B&B Hotels,Unclassed,192,6
Kévin Vauquelin,Arkéa - B&B Hotels,All Rounder,1361,6
Clément Venturini,Arkéa - B&B Hotels,Unclassed,40,6
Phil Bauhaus,Bahrain - Victorious,Sprinter,339,6
Jack Haig,Bahrain - Victorious,Unclassed,4,6
Matej Mohorič,Bahrain - Victorious,Unclassed,190,6
Fred Wright,Bahrain - Victorious,Unclassed,133,6
Alex Aranburu,Cofidis,Sprinter,58,6
