Tadej Pogačar,UAE Team Emirates - XRG,989,28
Carlos Rodríguez,INEOS Grenadiers,71,18
Tim Merlier,Soudal Quick-Step,476,18
Jasper Philipsen,Alpecin - Deceuninck,220,16
Pello Bilbao,Bahrain - Victorious,449,16
Jonathan Milan,Lidl - Trek,699,16
Olav Kooij,Team Visma | Lease a Bike,0,16
Lennert Van Eetvelt,Lotto,405,14
Jay Vine,UAE Team Emirates - XRG,299,14
Phil Bauhaus,Bahrain - Victorious,198,12
Felix Gall,Decathlon AG2R La Mondiale Team,196,12
Giulio Ciccone,Lidl - Trek,597,12
Finn Fisher-Black,Red Bull - BORA - hansgrohe,593,12
Dylan Groenewegen,Team Jayco AlUla,60,12
Oscar Onley,Team Picnic PostNL,534,12
Arvid De Kleijn,Tudor Pro Cycling Team,50,12
Sergio Higuita,XDS Astana Team,2,12
Hugh Carthy,EF Education - EasyPost,0,10
Joshua Tarling,INEOS Grenadiers,339,10
Gerben Thijssen,Intermarché - Wanty,50,10
Jan Hirt,Israel - Premier Tech,0,10
Matthew Riccitello,Israel - Premier Tech,139,10
Pablo Castrillo,Movistar Team,462,10
Iván Romeo,Movistar Team,539,10
Einer Rubio,Movistar Team,139,10
Sam Welsford,Red Bull - BORA - hansgrohe,158,10
Tobias Lund Andresen,Team Picnic PostNL,129,10
Fabio Jakobsen,Team Picnic PostNL,158,10
Michael Storer,Tudor Pro Cycling Team,104,10
Mikkel Bjerg,UAE Team Emirates - XRG,42,10
Juan Sebastián Molano,UAE Team Emirates - XRG,0,10
Timo Kielich,Alpecin - Deceuninck,6,8
Rainer Kepplinger,Bahrain - Victorious,142,8
Bruno Armirail,Decathlon AG2R La Mondiale Team,99,8
Stefan Bissegger,Decathlon AG2R La Mondiale Team,156,8
Georg Steinhauser,EF Education - EasyPost,150,8
Alexey Lutsenko,Israel - Premier Tech,27,8
Simone Consonni,Lidl - Trek,58,8
Patrick Konrad,Lidl - Trek,235,8
Lionel Taminiaux,Lotto,73,8
Fernando Gaviria,Movistar Team,100,8
Danny Van Poppel,Red Bull - BORA - hansgrohe,93,8
Ben Zwiehoff,Red Bull - BORA - hansgrohe,99,8
Junior Lecerf,Soudal Quick-Step,205,8
Luka Mezgec,Team Jayco AlUla,30,8
Max Walscheid,Team Jayco AlUla,170,8
Bart Lemmen,Team Visma | Lease a Bike,44,8
Filippo Fiorelli,VF Group - Bardiani CSF - Faizanè,0,8
Manuele Tarozzi,VF Group - Bardiani CSF - Faizanè,102,8
Aaron Gate,XDS Astana Team,95,8
Matteo Malucelli,XDS Astana Team,132,8
Harold Tejada,XDS Astana Team,326,8
Silvan Dillier,Alpecin - Deceuninck,6,6
Johan Price-Pejtersen,Alpecin - Deceuninck,6,6
Andrea Pasqualon,Bahrain - Victorious,21,6
Daniel Skerl,Bahrain - Victorious,81,6
Torstein Træen,Bahrain - Victorious,6,6
Geoffrey Bouchard,Decathlon AG2R La Mondiale Team,11,6
Rasmus Søjberg Pedersen,Decathlon AG2R La Mondiale Team,26,6
Gianluca Pollefliet,Decathlon AG2R La Mondiale Team,16,6
Paul Seixas,Decathlon AG2R La Mondiale Team,49,6
Esteban Chaves,EF Education - EasyPost,25,6
Sean Quinn,EF Education - EasyPost,0,6
Jack Rootkin-Gray,EF Education - EasyPost,0,6
Jonathan Castroviejo,INEOS Grenadiers,36,6
Kim Heiduk,INEOS Grenadiers,36,6
Victor Langellotti,INEOS Grenadiers,97,6
Michael Leonard,INEOS Grenadiers,51,6
Ben Swift,INEOS Grenadiers,36,6
Kevin Colleoni,Intermarché - Wanty,0,6
Kobe Goossens,Intermarché - Wanty,25,6
Simone Petilli,Intermarché - Wanty,0,6
Gijs Van Hoecke,Intermarché - Wanty,15,6
Pier-André Côté,Israel - Premier Tech,0,6
Chris Froome,Israel - Premier Tech,0,6
Oded Kogut,Israel - Premier Tech,85,6
Amanuel Ghebreigzabhier,Lidl - Trek,58,6
Daan Hoole,Lidl - Trek,58,6
Edward Theuns,Lidl - Trek,78,6
Lars Craps,Lotto,0,6
Logan Currie,Lotto,0,6
Steffen De Schuyteneer,Lotto,75,6
Reuben Thompson,Lotto,0,6
Will Barta,Movistar Team,64,6
Davide Cimolai,Movistar Team,74,6
Filip Maciejuk,Red Bull - BORA - hansgrohe,28,6
Ryan Mullen,Red Bull - BORA - hansgrohe,28,6
Ayco Bastiaens,Soudal Quick-Step,16,6
Josef Černý,Soudal Quick-Step,16,6
Pascal Eenkhoorn,Soudal Quick-Step,18,6
Casper Pedersen,Soudal Quick-Step,16,6
Bert Van Lerberghe,Soudal Quick-Step,16,6
Robert Donaldson,Team Jayco AlUla,0,6
Luke Durbridge,Team Jayco AlUla,0,6
Elmar Reinders,Team Jayco AlUla,40,6
Niklas Märkl,Team Picnic PostNL,8,6
Filippo Fortin,Team Solution Tech - Vini Fantini,0,6
Lorenzo Quartucci,Team Solution Tech - Vini Fantini,25,6
Dušan Rajović,Team Solution Tech - Vini Fantini,90,6
Kristian Sbaragli,Team Solution Tech - Vini Fantini,20,6
Niklas Behrens,Team Visma | Lease a Bike,0,6
Thomas Gloag,Team Visma | Lease a Bike,35,6
Daniel Mclay,Team Visma | Lease a Bike,90,6
Tosh Van Der Sande,Team Visma | Lease a Bike,0,6
Julien Vermote,Team Visma | Lease a Bike,0,6
Maikel Zijlaard,Tudor Pro Cycling Team,70,6
Rune Herregodts,UAE Team Emirates - XRG,42,6
Domen Novak,UAE Team Emirates - XRG,52,6
Florian Vermeersch,UAE Team Emirates - XRG,82,6
Lorenzo Conforti,VF Group - Bardiani CSF - Faizanè,10,6
Alessandro Pinarello,VF Group - Bardiani CSF - Faizanè,68,6
Mattia Pinazzi,VF Group - Bardiani CSF - Faizanè,0,6
Enrico Zanoncello,VF Group - Bardiani CSF - Faizanè,65,6
Florian Samuel Kajamini,XDS Astana Team,46,6
Ide Schelling,XDS Astana Team,6,6
Ramses Debruyne,Alpecin - Deceuninck,36,4
Robbe Ghys,Alpecin - Deceuninck,11,4
