Remco Evenepoel,Soudal - Quick Step,895,28
Pello Bilbao,Bahrain - Victorious,464,22
Jay Vine,UAE Team Emirates,0,22
Adam Yates,UAE Team Emirates,570,22
Brandon McNulty,UAE Team Emirates,189,18
Alexey Lutsenko,Astana Qazaqstan Team,150,16
Sepp Kuss,Jumbo-Visma,325,16
Caleb Ewan,Lotto Dstny,158,16
Tim Merlier,Soudal - Quick Step,659,16
Geoffrey Bouchard,AG2R Citroën Team,156,14
Mark Cavendish,Astana Qazaqstan Team,208,14
Wout Poels,Bahrain - Victorious,313,14
Sam Bennett,BORA - hansgrohe,315,14
Thomas Gloag,Jumbo-Visma,102,14
Olav Kooij,Jumbo-Visma,434,14
Dylan Groenewegen,Team Jayco AlUla,397,14
Phil Bauhaus,Bahrain - Victorious,190,12
Emanuel Buchmann,BORA - hansgrohe,204,12
Danny Van Poppel,BORA - hansgrohe,87,12
Arnaud Démare,Groupama - FDJ,50,12
Luke Plapp,INEOS Grenadiers,659,12
Louis Meintjes,Intermarché - Circus - Wanty,38,12
Rein Taaramäe,Intermarché - Circus - Wanty,66,12
Gerben Thijssen,Intermarché - Circus - Wanty,90,12
Jakob Fuglsang,Israel - Premier Tech,0,12
Fernando Gaviria,Movistar Team,151,12
Sam Welsford,Team DSM,285,12
Marc Soler,UAE Team Emirates,60,12
Cees Bol,Astana Qazaqstan Team,88,10
Michael Storer,Groupama - FDJ,129,10
Itamar Einhorn,Israel - Premier Tech,40,10
Einer Augusto Rubio,Movistar Team,305,10
Mauro Schmid,Soudal - Quick Step,112,10
Andreas Leknessund,Team DSM,164,10
Jon Aberasturi,Trek - Segafredo,30,10
Emīls Liepiņš,Trek - Segafredo,144,10
Antwan Tolhoek,Trek - Segafredo,0,10
Arvid De Kleijn,Tudor Pro Cycling Team,187,10
Juan Sebastián Molano,UAE Team Emirates,272,10
Simon Carr,EF Education-EasyPost,66,8
Marijn Van Den Berg,EF Education-EasyPost,134,8
Kim Heiduk,INEOS Grenadiers,76,8
Ben Swift,INEOS Grenadiers,48,8
Ben Tulett,INEOS Grenadiers,50,8
Elia Viviani,INEOS Grenadiers,53,8
Eduardo Sepúlveda,Lotto Dstny,13,8
Oier Lazkano,Movistar Team,25,8
Óscar Rodríguez,Movistar Team,45,8
Harm Vanhoucke,Team DSM,268,8
Sebastian Kolze Changizi,Tudor Pro Cycling Team,0,8
Yannis Voisard,Tudor Pro Cycling Team,45,8
Alex Baudin,AG2R Citroën Team,46,6
Clément Berthet,AG2R Citroën Team,116,6
Jaakko Hänninen,AG2R Citroën Team,46,6
Paul Lapeira,AG2R Citroën Team,0,6
Larry Warbasse,AG2R Citroën Team,43,6
Jensen Plowright,Alpecin-Deceuninck,5,6
Ramon Sinkeldam,Alpecin-Deceuninck,0,6
Javier Romo,Astana Qazaqstan Team,22,6
Harold Tejada,Astana Qazaqstan Team,22,6
Nikias Arndt,Bahrain - Victorious,166,6
Matevž Govekar,Bahrain - Victorious,33,6
Fran Miholjević,Bahrain - Victorious,33,6
Patrick Gamper,BORA - hansgrohe,6,6
Ryan Mullen,BORA - hansgrohe,6,6
Ben Zwiehoff,BORA - hansgrohe,249,6
Andrey Amador,EF Education-EasyPost,71,6
Stefan De Bod,EF Education-EasyPost,270,6
Luca Covili,Green Project-Bardiani CSF-Faizanè,0,6
Alessandro Tonelli,Green Project-Bardiani CSF-Faizanè,14,6
Laurence Pithie,Groupama - FDJ,0,6
