Demi Vollering,Team SD Worx,992,28
Annemiek Van Vleuten,Movistar Team,1014,24
Liane Lippert,Movistar Team,205,20
Katarzyna Niewiadoma,Canyon//SRAM Racing,371,18
Silvia Persico,UAE Team ADQ,308,18
Elise Chabbey,Canyon//SRAM Racing,374,16
Mavi García,Liv Racing TeqFind,277,16
Juliette Labous,Team DSM,318,16
Marianne Vos,Team Jumbo-Visma,724,16
Veronica Ewers,EF Education-TIBCO-SVB,89,14
Marta Cavalli,FDJ - SUEZ,202,14
Charlotte Kool,Team DSM,288,14
Kristen Faulkner,Team Jayco AlUla,10,14
Gaia Realini,Trek - Segafredo,734,14
Pauliena Rooijakkers,Canyon//SRAM Racing,80,12
Évita Muzic,FDJ - SUEZ,521,12
Rachele Barbieri,Liv Racing TeqFind,80,12
Floortje Mackaij,Movistar Team,54,12
Emma Norsgaard,Movistar Team,308,12
Paula Patiño,Movistar Team,59,12
Ane Santesteban,Team Jayco AlUla,123,12
Anna Henderson,Team Jumbo-Visma,211,12
Niamh Fisher-Black,Team SD Worx,163,12
Femke Markus,Team SD Worx,71,12
Marlen Reusser,Team SD Worx,356,12
Amanda Spratt,Trek - Segafredo,247,12
Silvia Zanardi,Bepink,25,10
Ricarda Bauernfeind,Canyon//SRAM Racing,493,10
Agnieszka Skalniak-Sójka,Canyon//SRAM Racing,94,10
Georgia Williams,EF Education-TIBCO-SVB,10,10
Loes Adegeest,FDJ - SUEZ,238,10
Clara Copponi,FDJ - SUEZ,158,10
Tamara Dronova-Balabolina,Israel Premier Tech Roland,118,10
Claire Steels,Israel Premier Tech Roland,84,10
Simone Boilard,St Michel - Mavic - Auber93,15,10
Esmée Peperkamp,Team DSM,106,10
Coryn Labecki,Team Jumbo-Visma,92,10
Riejanne Markus,Team Jumbo-Visma,626,10
Elizabeth Deignan,Trek - Segafredo,113,10
Olivia Baril,UAE Team ADQ,247,10
Erica Magnaldi,UAE Team ADQ,339,10
Chloe Dygert,Canyon//SRAM Racing,414,8
Marie Le Net,FDJ - SUEZ,35,8
Gladys Verhulst,FDJ - SUEZ,39,8
Jade Wiel,FDJ - SUEZ,59,8
Anna Kiesenhofer,Israel Premier Tech Roland,10,8
Katia Ragusa,Liv Racing TeqFind,0,8
Silke Smulders,Liv Racing TeqFind,0,8
Quinty Ton,Liv Racing TeqFind,0,8
Aude Biannic,Movistar Team,54,8
Coralie Demay,St Michel - Mavic - Auber93,10,8
Roxane Fournier,St Michel - Mavic - Auber93,0,8
Nina Kessler,Team Jayco AlUla,50,8
Urška Žigart,Team Jayco AlUla,0,8
Amber Kraak,Team Jumbo-Visma,185,8
Elena Cecchini,Team SD Worx,52,8
Blanka Vas,Team SD Worx,238,8
Lisa Klein,Trek - Segafredo,34,8
Ilaria Sanguineti,Trek - Segafredo,34,8
Eugenia Bujak,UAE Team ADQ,44,8
Mikayla Harvey,UAE Team ADQ,44,8
Matilde Vitillo,Bepink,0,6
Daniela Campos,Bizkaia Durango,0,6
Catalina Soto,Bizkaia Durango,0,6
Susana Perez,Cantabria Deporte - Rio Miera,0,6
Alice Towers,Canyon//SRAM Racing,80,6
Femke Beuling,EF Education-TIBCO-SVB,0,6
Kathrin Hammes,EF Education-TIBCO-SVB,0,6
Sara Poidevin,EF Education-TIBCO-SVB,0,6
