Primož Roglič,Red Bull - BORA - hansgrohe,All Rounder,2928,24
Sepp Kuss,Team Visma | Lease a Bike,Climber,601,20
João Almeida,UAE Team Emirates,All Rounder,406,20
Adam Yates,UAE Team Emirates,All Rounder,939,20
Wout Van Aert,Team Visma | Lease a Bike,Sprinter,2026,18
Enric Mas,Movistar Team,Climber,1805,16
Carlos Rodríguez,INEOS Grenadiers,All Rounder,762,14
Daniel Martínez,Red Bull - BORA - hansgrohe,All Rounder,194,14
Mikel Landa,Soudal - Quick Step,Climber,1156,14
Kaden Groves,Alpecin-Deceuninck,Sprinter,1431,12
Richard Carapaz,EF Education-EasyPost,Climber,1275,12
Mattias Skjelmose,Lidl - Trek,All Rounder,1282,12
Cian Uijtdebroeks,Team Visma | Lease a Bike,Climber,56,12
Isaac Del Toro,UAE Team Emirates,Climber,546,12
Antonio Tiberi,Bahrain - Victorious,All Rounder,373,10
Bryan Coquard,Cofidis,Sprinter,250,10
Felix Gall,Decathlon AG2R La Mondiale Team,Climber,703,10
Ben O'Connor,Decathlon AG2R La Mondiale Team,Climber,1808,10
Thymen Arensman,INEOS Grenadiers,All Rounder,0,10
Jhonatan Narváez,INEOS Grenadiers,Unclassed,551,10
Giulio Ciccone,Lidl - Trek,Climber,16,10
Tao Geoghegan Hart,Lidl - Trek,All Rounder,18,10
Lennert Van Eetvelt,Lotto Dstny,Climber,538,10
Aleksandr Vlasov,Red Bull - BORA - hansgrohe,All Rounder,983,10
Max Poole,Team dsm-firmenich PostNL,Climber,979,10
Brandon McNulty,UAE Team Emirates,All Rounder,682,10
Jay Vine,UAE Team Emirates,All Rounder,913,10
Ide Schelling,Astana Qazaqstan Team,Sprinter,20,8
Damiano Caruso,Bahrain - Victorious,All Rounder,0,8
Guillaume Martin,Cofidis,Climber,282,8
Victor Lafay,Decathlon AG2R La Mondiale Team,Unclassed,210,8
Valentin Paret-Peintre,Decathlon AG2R La Mondiale Team,Climber,238,8
David Gaudu,Groupama - FDJ,Climber,1110,8
Joshua Tarling,INEOS Grenadiers,Unclassed,141,8
Matthew Riccitello,Israel - Premier Tech,Climber,304,8
Corbin Strong,Israel - Premier Tech,Sprinter,687,8
Michael Woods,Israel - Premier Tech,Climber,300,8
Patrick Konrad,Lidl - Trek,Unclassed,56,8
Oier Lazkano,Movistar Team,Unclassed,208,8
Nairo Quintana,Movistar Team,Climber,34,8
Einer Rubio,Movistar Team,Climber,91,8
Pelayo Sánchez,Movistar Team,Unclassed,75,8
Florian Lipowitz,Red Bull - BORA - hansgrohe,Climber,1271,8
Mauri Vansevenant,Soudal - Quick Step,Unclassed,271,8
Pavel Bittner,Team dsm-firmenich PostNL,Sprinter,749,8
Mauro Schmid,Team Jayco AlUla,Unclassed,936,8
Pavel Sivakov,UAE Team Emirates,Climber,1109,8
Marc Soler,UAE Team Emirates,All Rounder,1370,8
Maurice Ballerstedt,Alpecin-Deceuninck,Sprinter,38,6
Quinten Hermans,Alpecin-Deceuninck,Unclassed,350,6
Xandro Meurisse,Alpecin-Deceuninck,Unclassed,134,6
Élie Gesbert,Arkéa - B&B Hotels,Unclassed,0,6
Thibault Guernalec,Arkéa - B&B Hotels,Unclassed,52,6
Cristián Rodríguez,Arkéa - B&B Hotels,Climber,556,6
Gleb Brussenskiy,Astana Qazaqstan Team,Unclassed,0,6
Lorenzo Fortunato,Astana Qazaqstan Team,Climber,240,6
Harold Martin López,Astana Qazaqstan Team,Unclassed,0,6
Harold Tejada,Astana Qazaqstan Team,Unclassed,533,6
Jack Haig,Bahrain - Victorious,Climber,242,6
Torstein Træen,Bahrain - Victorious,Unclassed,20,6
Kenny Elissonde,Cofidis,Unclassed,0,6
Jesús Herrada,Cofidis,Climber,45,6
Ion Izagirre,Cofidis,All Rounder,397,6
Bruno Armirail,Decathlon AG2R La Mondiale Team,Unclassed,453,6
Clément Berthet,Decathlon AG2R La Mondiale Team,Unclassed,478,6
Geoffrey Bouchard,Decathlon AG2R La Mondiale Team,Climber,210,6
Sander De Pestel,Decathlon AG2R La Mondiale Team,Sprinter,148,6
Jefferson Alexander Cepeda,EF Education-EasyPost,Climber,8,6
Rui Costa,EF Education-EasyPost,All Rounder,0,6
Owain Doull,EF Education-EasyPost,Sprinter,8,6
Darren Rafferty,EF Education-EasyPost,Unclassed,28,6
James Shaw,EF Education-EasyPost,Unclassed,28,6
Harry Sweeny,EF Education-EasyPost,Unclassed,78,6
Rigoberto Urán,EF Education-EasyPost,All Rounder,0,6
Pablo Castrillo,Equipo Kern Pharma,Unclassed,989,6
Pau Miquel,Equipo Kern Pharma,Sprinter,749,6
Antonio Jesús Soto,Equipo Kern Pharma,Sprinter,214,6
Jon Aberasturi,Euskaltel - Euskadi,Sprinter,291,6
Mikel Bizkarra,Euskaltel - Euskadi,Unclassed,159,6
Joan Bou,Euskaltel - Euskadi,Unclassed,52,6
Txomin Juaristi,Euskaltel - Euskadi,Unclassed,132,6
Gotzon Martín,Euskaltel - Euskadi,Unclassed,113,6
Luis Ángel Maté,Euskaltel - Euskadi,Unclassed,124,6
Sven Erik Bystrøm,Groupama - FDJ,Unclassed,30,6
Kevin Geniets,Groupama - FDJ,Unclassed,4,6
Stefan Küng,Groupama - FDJ,Unclassed,972,6
Quentin Pacher,Groupama - FDJ,Unclassed,470,6
Rémy Rochas,Groupama - FDJ,Unclassed,39,6
Laurens De Plus,INEOS Grenadiers,All Rounder,0,6
Kim Heiduk,INEOS Grenadiers,Sprinter,45,6
Brandon Smith Rivera,INEOS Grenadiers,Unclassed,86,6
Óscar Rodríguez,INEOS Grenadiers,Climber,167,6
Vito Braet,Intermarché - Wanty,Sprinter,230,6
Kobe Goossens,Intermarché - Wanty,Unclassed,0,6
Arne Marit,Intermarché - Wanty,Sprinter,242,6
Louis Meintjes,Intermarché - Wanty,Climber,136,6
Lorenzo Rota,Intermarché - Wanty,Unclassed,155,6
Rein Taaramäe,Intermarché - Wanty,Climber,2,6
George Bennett,Israel - Premier Tech,Unclassed,403,6
Marco Frigo,Israel - Premier Tech,Unclassed,497,6
Riley Sheehan,Israel - Premier Tech,Sprinter,36,6
Dylan Teuns,Israel - Premier Tech,Climber,61,6
Sam Oomen,Lidl - Trek,Unclassed,245,6
Mathias Vacek,Lidl - Trek,Sprinter,964,6
Carlos Verona,Lidl - Trek,Unclassed,214,6
Victor Campenaerts,Lotto Dstny,Unclassed,265,6
Thomas De Gendt,Lotto Dstny,Unclassed,4,6
Jonas Gregaard,Lotto Dstny,Unclassed,92,6
Andreas Kron,Lotto Dstny,Unclassed,38,6
Sylvain Moniquet,Lotto Dstny,Unclassed,155,6
Eduardo Sepúlveda,Lotto Dstny,Unclassed,4,6
Carlos Canal,Movistar Team,Sprinter,222,6
Nelson Oliveira,Movistar Team,Unclassed,143,6
Roger Adrià,Red Bull - BORA - hansgrohe,Sprinter,300,6
Giovanni Aleotti,Red Bull - BORA - hansgrohe,Unclassed,214,6
Nico Denz,Red Bull - BORA - hansgrohe,Unclassed,202,6
Patrick Gamper,Red Bull - BORA - hansgrohe,Unclassed,174,6
Kasper Asgreen,Soudal - Quick Step,Unclassed,134,6
Mattia Cattaneo,Soudal - Quick Step,Unclassed,261,6
James Knox,Soudal - Quick Step,Unclassed,6,6
William Junior Lecerf,Soudal - Quick Step,Unclassed,217,6
Casper Pedersen,Soudal - Quick Step,Sprinter,2,6
Louis Vervaeke,Soudal - Quick Step,Unclassed,52,6
