Primož Roglič;Team Jumbo-Visma;LEADER;3733;26
Tom Dumoulin;Team Jumbo-Visma;LEADER;125;22
Richard Carapaz;Ineos Grenadiers;CLIMBER;2877;20
Thibaut Pinot;Groupama - FDJ;LEADER;0;18
Enric Mas;Movistar Team;LEADER;1657;18
Aleksandr Vlasov;Astana Pro Team;CLIMBER;1078;16
Chris Froome;Ineos Grenadiers;LEADER;90;16
Alejandro Valverde;Movistar Team;LEADER;1249;16
Sepp Kuss;Team Jumbo-Visma;CLIMBER;1227;16
David Gaudu;Groupama - FDJ;CLIMBER;1110;14
Iván Ramiro Sosa;Ineos Grenadiers;CLIMBER;110;14
Guillaume Martin;Cofidis Solutions Crédits;CLIMBER;1601;12
Sam Bennett;Deceuninck - Quick Step;SPRINTER;457;12
Daniel Felipe Martínez;EF Pro Cycling;LEADER;0;12
Esteban Chaves;Mitchelton-Scott;CLIMBER;530;12
Marc Soler;Movistar Team;LEADER;1226;12
Ion Izagirre;Astana Pro Team;LEADER;553;10
Wout Poels;Bahrain - McLaren;LEADER;1056;10
Pascal Ackermann;BORA - hansgrohe;SPRINTER;885;10
Michael Woods;EF Pro Cycling;CLIMBER;865;10
George Bennett;Team Jumbo-Visma;CLIMBER;934;10
David De La Cruz;UAE-Team Emirates;LEADER;880;10
Alex Aranburu;Astana Pro Team;UNCLASSED;473;8
Gorka Izagirre;Astana Pro Team;LEADER;348;8
Luis León Sánchez;Astana Pro Team;UNCLASSED;76;8
Jan Hirt;CCC Team;CLIMBER;2;8
Andrea Bagioli;Deceuninck - Quick Step;CLIMBER;355;8
Hugh Carthy;EF Pro Cycling;CLIMBER;1910;8
Dan Martin;Israel Start-Up Nation;CLIMBER;2211;8
Tim Wellens;Lotto Soudal;UNCLASSED;838;8
Mikel Nieve;Mitchelton-Scott;CLIMBER;489;8
Rui Costa;UAE-Team Emirates;UNCLASSED;467;8
Davide Formolo;UAE-Team Emirates;CLIMBER;156;8
Jasper Philipsen;UAE-Team Emirates;SPRINTER;880;8
Clément Champoussin;AG2R La Mondiale;UNCLASSED;144;6
Mathias Frank;AG2R La Mondiale;CLIMBER;0;6
Dorian Godon;AG2R La Mondiale;UNCLASSED;320;6
Quentin Jauregui;AG2R La Mondiale;UNCLASSED;84;6
Nans Peters;AG2R La Mondiale;CLIMBER;208;6
Omar Fraile;Astana Pro Team;CLIMBER;268;6
Dmitriy Gruzdev;Astana Pro Team;UNCLASSED;68;6
Merhawi Kudus;Astana Pro Team;UNCLASSED;68;6
Grega Bole;Bahrain - McLaren;UNCLASSED;0;6
Santiago Buitrago;Bahrain - McLaren;CLIMBER;0;6
